_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-01,140175,253079,136758.0,93231,208561.0,150898,103932,78.5,79.7,77.9,81.8,81.4,79.0,76.4,2.1,0.8,2.2,-0.6,1.0,2.2,3.5,-0.2,-0.1,-0.3,-1.1,0.7,-0.3,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1447.0,1344.0,103.0,495.0,924.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-02,139360,251782,135892.0,92185,209525.0,149822,103521,78.0,79.3,77.4,80.9,81.7,78.5,76.1,1.7,0.4,1.9,-1.8,-0.1,1.7,3.4,-0.6,-0.5,-0.6,-1.1,0.5,-0.7,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1384.0,1228.0,156.0,474.0,859.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-03,140028,253703,136365.0,92485,213881.0,150458,103885,78.4,79.9,77.6,81.2,83.4,78.8,76.4,3.2,2.1,3.4,0.0,2.5,2.9,5.0,0.5,0.8,0.3,0.3,2.1,0.4,0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1426.0,1224.0,202.0,452.0,920.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-04,139056,252799,135329.0,91536,213438.0,149219,103095,77.9,79.6,77.1,80.3,83.3,78.2,75.8,2.5,2.3,2.6,-0.4,2.0,2.2,3.6,-0.7,-0.4,-0.8,-1.0,-0.2,-0.8,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,537.0,493.0,44.0,173.0,348.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-05,139170,253626,135173.0,91670,216676.0,149462,102888,77.9,79.9,77.0,80.4,84.5,78.3,75.6,1.9,2.4,1.7,-0.3,4.3,1.7,2.3,0.1,0.3,-0.1,0.1,1.5,0.2,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,785.0,734.0,51.0,262.0,504.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-06,139826,254221,135974.0,91760,215850.0,150481,103428,78.3,80.1,77.4,80.5,84.2,78.8,76.0,1.6,2.0,1.4,-0.9,4.1,1.7,1.7,0.5,0.2,0.6,0.1,-0.4,0.7,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1151.0,1040.0,111.0,358.0,764.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-07,142385,257743,138706.0,94046,216990.0,153498,105362,79.7,81.2,79.0,82.5,84.6,80.4,77.5,2.6,2.4,2.7,-0.1,3.3,2.9,3.1,1.8,1.4,2.0,2.5,0.5,2.0,1.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1324.0,1201.0,123.0,481.0,806.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-08,144032,260491,140510.0,95109,217197.0,155346,106611,80.6,82.0,80.0,83.5,84.7,81.4,78.4,3.0,2.7,3.1,0.7,2.8,3.5,3.2,1.2,1.1,1.3,1.1,0.1,1.2,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1472.0,1318.0,154.0,468.0,965.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-09,144297,261607,140743.0,95070,217872.0,155405,106807,80.8,82.4,80.1,83.4,85.0,81.4,78.5,2.6,2.6,2.8,0.1,1.9,3.2,2.6,0.2,0.4,0.2,0.0,0.3,0.0,0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1693.0,1525.0,168.0,563.0,1086.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-10,145885,264968,142457.0,95432,218446.0,156900,108132,81.7,83.4,81.1,83.7,85.2,82.2,79.5,3.7,4.1,3.9,0.7,3.1,4.0,3.6,1.1,1.3,1.2,0.4,0.3,1.0,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1985.0,1844.0,141.0,698.0,1246.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-11,146887,265964,143741.0,95482,216567.0,157608,109530,82.2,83.8,81.8,83.8,84.5,82.6,80.5,4.6,4.7,4.9,0.9,3.3,4.3,5.5,0.7,0.4,0.9,0.1,-0.9,0.5,1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1932.0,1784.0,148.0,626.0,1250.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2020-12,148929,269768,145850.0,96850,218356.0,159588,111153,83.4,85.0,83.0,85.0,85.2,83.6,81.7,6.0,6.4,6.3,2.7,5.4,5.5,6.8,1.4,1.4,1.5,1.4,0.8,1.3,1.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,2130.0,1962.0,168.0,691.0,1381.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-01,149933,269840,147013.0,98494,217872.0,160698,112214,83.9,85.0,83.7,86.4,85.0,84.2,82.5,7.0,6.6,7.5,5.6,4.5,6.5,8.0,0.7,0.0,0.8,1.7,-0.2,0.7,1.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1613.0,1444.0,169.0,557.0,1053.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-02,152304,272223,149371.0,101064,221017.0,163050,114498,85.3,85.7,85.1,88.7,86.2,85.4,84.2,9.3,8.1,9.9,9.6,5.5,8.8,10.6,1.6,0.9,1.6,2.6,1.4,1.5,2.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1992.0,1797.0,195.0,656.0,1336.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-03,153872,272428,150999.0,103191,222458.0,164533,116407,86.2,85.8,86.0,90.6,86.8,86.2,85.6,9.9,7.4,10.7,11.6,4.0,9.4,12.1,1.0,0.1,1.1,2.1,0.7,0.9,1.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,2722.0,2431.0,291.0,914.0,1801.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-04,154763,273933,151692.0,103655,226061.0,164915,117520,86.6,86.3,86.4,91.0,88.2,86.4,86.4,11.3,8.4,12.1,13.2,5.9,10.5,14.0,0.6,0.6,0.5,0.4,1.6,0.2,1.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1905.0,1730.0,175.0,641.0,1259.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-05,154940,274742,151839.0,103571,226665.0,164953,117636,86.7,86.5,86.5,90.9,88.4,86.4,86.5,11.3,8.3,12.3,13.0,4.6,10.4,14.3,0.1,0.3,0.1,-0.1,0.3,0.0,0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1852.0,1684.0,168.0,618.0,1229.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-06,158972,280623,156081.0,105948,228936.0,168877,121450,89.0,88.4,88.9,93.0,89.3,88.5,89.3,13.7,10.4,14.8,15.5,6.1,12.2,17.4,2.6,2.1,2.8,2.3,1.0,2.4,3.2,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,3131.0,2821.0,310.0,1114.0,2008.0
http://landregistry.data.gov.uk/data/ukhpi/region/lancashire/month/2021-07,159068,280334,156143.0,105123,229505.0,169263,121675,89.1,88.3,88.9,92.2,89.5,88.7,89.5,11.7,8.8,12.6,11.8,5.8,10.3,15.5,0.1,-0.1,0.0,-0.8,0.2,0.2,0.2,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lancashire,1865.0,1687.0,178.0,570.0,1286.0
