_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-01,184947,343635,181851.0,124750,272909.0,199319,149502,80.8,81.2,80.3,84.2,83.4,80.6,79.5,3.9,3.7,4.0,2.0,3.1,4.5,4.4,0.0,0.1,-0.1,-0.2,0.7,-0.1,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,916.0,847.0,69.0,198.0,694.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-02,184198,342165,181052.0,124056,274005.0,198419,149133,80.5,80.8,80.0,83.7,83.8,80.2,79.3,3.5,3.2,3.7,1.2,1.5,4.0,4.2,-0.4,-0.4,-0.4,-0.6,0.4,-0.5,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,746.0,676.0,70.0,188.0,531.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-03,182392,339218,179093.0,122907,275166.0,196497,147513,79.7,80.1,79.1,82.9,84.1,79.4,78.4,2.0,1.7,2.1,0.1,1.1,2.4,2.7,-1.0,-0.9,-1.1,-0.9,0.4,-1.0,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,776.0,691.0,85.0,158.0,586.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-04,180154,336176,176883.0,120567,271968.0,194052,146002,78.7,79.4,78.1,81.4,83.2,78.5,77.6,1.5,1.8,1.6,-0.9,0.4,1.9,2.1,-1.2,-0.9,-1.2,-1.9,-1.2,-1.2,-1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,327.0,284.0,43.0,72.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-05,180718,337882,177167.0,121024,276606.0,194826,146086,78.9,79.8,78.3,81.7,84.6,78.8,77.6,0.9,1.8,0.8,-1.1,2.5,1.3,1.1,0.3,0.5,0.2,0.4,1.7,0.4,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,482.0,459.0,23.0,102.0,375.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-06,183398,342148,180031.0,122496,277452.0,197874,148481,80.1,80.8,79.5,82.7,84.8,80.0,78.9,2.8,3.7,2.8,0.4,4.1,3.4,3.0,1.5,1.3,1.6,1.2,0.3,1.6,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,758.0,691.0,67.0,176.0,570.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-07,187892,348997,184605.0,126209,281934.0,202713,152041,82.1,82.5,81.6,85.2,86.2,82.0,80.8,3.5,3.9,3.6,1.5,3.6,4.1,3.6,2.5,2.0,2.5,3.0,1.6,2.4,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,772.0,706.0,66.0,170.0,583.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-08,191172,355097,187987.0,127854,284595.0,206409,154895,83.5,83.9,83.1,86.3,87.0,83.5,82.3,4.7,5.1,4.8,2.4,4.1,5.4,4.8,1.7,1.7,1.8,1.3,0.9,1.8,1.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,838.0,747.0,91.0,191.0,627.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-09,192814,359607,189480.0,128742,288704.0,208096,156092,84.2,85.0,83.7,86.9,88.3,84.1,83.0,4.4,5.1,4.5,1.9,3.6,5.3,4.3,0.9,1.3,0.8,0.7,1.4,0.8,0.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,899.0,829.0,70.0,189.0,693.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-10,194638,364090,191467.0,129363,288747.0,210074,157681,85.0,86.0,84.6,87.3,88.3,84.9,83.8,5.4,6.4,5.6,2.9,4.2,6.0,5.4,0.9,1.2,1.0,0.5,0.0,1.0,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1135.0,1044.0,91.0,228.0,883.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-11,197864,370115,194925.0,131590,289648.0,213199,160602,86.4,87.4,86.1,88.8,88.6,86.2,85.4,7.3,8.2,7.6,5.1,5.8,7.5,7.8,1.7,1.7,1.8,1.7,0.3,1.5,1.9,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1164.0,1085.0,79.0,261.0,876.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2020-12,199787,373407,196988.0,132611,290155.0,215117,162558,87.3,88.2,87.0,89.5,88.7,87.0,86.4,8.0,8.8,8.2,6.1,7.1,7.9,8.7,1.0,0.9,1.1,0.8,0.2,0.9,1.2,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1111.0,1023.0,88.0,240.0,841.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-01,202374,375398,199731.0,135432,291345.0,217631,164922,88.4,88.7,88.2,91.4,89.1,88.0,87.7,9.4,9.2,9.8,8.6,6.8,9.2,10.3,1.3,0.5,1.4,2.1,0.4,1.2,1.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,958.0,915.0,43.0,247.0,709.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-02,201774,371093,199165.0,136009,290250.0,216604,164969,88.1,87.7,88.0,91.8,88.8,87.6,87.7,9.5,8.5,10.0,9.6,5.9,9.2,10.6,-0.3,-1.1,-0.3,0.4,-0.4,-0.5,0.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1130.0,1072.0,58.0,256.0,874.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-03,202185,368648,199563.0,137744,291129.0,216608,165630,88.3,87.1,88.2,93.0,89.0,87.6,88.0,10.9,8.7,11.4,12.1,5.8,10.2,12.3,0.2,-0.7,0.2,1.3,0.3,0.0,0.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1649.0,1513.0,136.0,369.0,1277.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-04,201018,366653,198184.0,136837,292857.0,215053,164996,87.8,86.6,87.6,92.3,89.5,86.9,87.7,11.6,9.1,12.0,13.5,7.7,10.8,13.0,-0.6,-0.5,-0.7,-0.7,0.6,-0.7,-0.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1070.0,1006.0,64.0,255.0,814.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-05,201200,367695,198345.0,136741,293394.0,215238,165085,87.9,86.9,87.6,92.3,89.7,87.0,87.7,11.3,8.8,12.0,13.0,6.1,10.5,13.0,0.1,0.3,0.1,-0.1,0.2,0.1,0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1002.0,935.0,67.0,233.0,767.0
http://landregistry.data.gov.uk/data/ukhpi/region/leeds/month/2021-06,206222,375681,203601.0,139932,296243.0,220338,169915,90.1,88.8,90.0,94.4,90.6,89.1,90.3,12.4,9.8,13.1,14.2,6.8,11.4,14.4,2.5,2.2,2.6,2.3,1.0,2.4,2.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/leeds,1876.0,1749.0,127.0,438.0,1435.0
