_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-01,176542,305653,174767.0,118466,251361.0,200732,156710,76.2,77.3,75.9,78.0,80.2,76.1,75.5,4.0,3.5,4.0,1.5,3.7,4.5,4.5,0.2,0.5,0.2,-0.1,1.2,0.2,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,215.0,206.0,9.0,44.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-02,178791,310086,176953.0,120165,256080.0,203019,158705,77.1,78.4,76.8,79.2,81.7,77.0,76.4,7.7,7.2,7.8,4.8,6.0,8.2,8.3,1.3,1.5,1.3,1.4,1.9,1.1,1.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,220.0,215.0,5.0,41.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-03,180797,314423,178793.0,121946,262590.0,205083,160293,78.0,79.5,77.6,80.3,83.8,77.8,77.2,10.1,9.6,10.2,8.0,9.1,10.4,10.6,1.1,1.4,1.0,1.5,2.5,1.0,1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,174.0,169.0,5.0,48.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-04,179516,313038,177480.0,120289,261699.0,203551,159426,77.5,79.2,77.0,79.2,83.5,77.2,76.8,7.5,7.6,7.6,4.9,6.8,7.9,8.0,-0.7,-0.4,-0.7,-1.4,-0.3,-0.7,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,94.0,94.0,,24.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-05,179564,313875,177344.0,119999,265353.0,203862,159330,77.5,79.4,77.0,79.0,84.7,77.3,76.7,4.8,5.6,4.7,2.5,6.8,5.2,4.9,0.0,0.3,-0.1,-0.2,1.4,0.2,-0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,133.0,132.0,1.0,30.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-06,179441,313088,177364.0,119418,262437.0,203954,159379,77.4,79.2,77.0,78.7,83.7,77.4,76.7,3.4,4.4,3.3,0.5,5.5,4.0,3.6,-0.1,-0.3,0.0,-0.5,-1.1,0.0,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,140.0,139.0,1.0,30.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-07,184165,319651,182198.0,123404,266064.0,209297,163485,79.5,80.8,79.1,81.3,84.9,79.4,78.7,6.0,6.6,6.0,3.6,6.6,6.7,6.1,2.6,2.1,2.7,3.3,1.4,2.6,2.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,156.0,155.0,1.0,32.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-08,184400,319607,182549.0,123231,264060.0,209681,163835,79.6,80.8,79.2,81.2,84.2,79.5,78.9,5.7,6.2,5.8,3.0,5.5,6.5,5.8,0.1,0.0,0.2,-0.1,-0.8,0.2,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,159.0,157.0,2.0,42.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-09,183862,319320,181948.0,122747,264593.0,208991,163358,79.3,80.7,79.0,80.9,84.4,79.3,78.7,5.1,5.7,5.2,2.1,4.6,6.1,5.0,-0.3,-0.1,-0.3,-0.4,0.2,-0.3,-0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,169.0,169.0,,42.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicester/month/2020-10,185079,322207,183265.0,123179,264188.0,210335,164509,79.9,81.5,79.6,81.1,84.3,79.8,79.2,5.4,6.2,5.5,2.6,4.5,6.0,5.4,0.7,0.9,0.7,0.4,-0.2,0.6,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicester,245.0,238.0,7.0,53.0,189.0
