_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-01,225285,330755,217804.0,115389,314456.0,204708,164688,81.0,81.7,80.1,83.7,84.3,80.5,79.8,1.5,1.3,1.4,-0.4,1.5,1.8,1.7,0.2,0.3,0.1,-0.3,0.7,0.1,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,774.0,669.0,105.0,197.0,551.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-02,223814,328458,216226.0,114444,314193.0,203424,163745,80.4,81.1,79.5,83.0,84.3,80.0,79.4,1.5,1.1,1.7,-0.4,0.5,1.9,2.0,-0.7,-0.7,-0.7,-0.8,-0.1,-0.6,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,829.0,731.0,98.0,212.0,599.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-03,223966,328760,216063.0,114314,317247.0,203719,163648,80.5,81.2,79.4,82.9,85.1,80.1,79.3,2.2,1.7,2.4,0.9,1.6,2.6,2.8,0.1,0.1,-0.1,-0.1,1.0,0.1,-0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,841.0,661.0,180.0,195.0,620.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-04,223569,328844,215417.0,113312,318745.0,203070,163373,80.3,81.2,79.2,82.2,85.5,79.8,79.2,2.5,2.2,2.5,0.9,2.3,2.7,2.9,-0.2,0.0,-0.3,-0.9,0.5,-0.3,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,301.0,262.0,39.0,60.0,232.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-05,224763,331083,215995.0,113649,324787.0,204131,163893,80.8,81.8,79.4,82.4,87.1,80.2,79.4,2.4,2.6,2.0,0.4,4.9,2.4,2.2,0.5,0.7,0.3,0.3,1.9,0.5,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,455.0,399.0,56.0,97.0,353.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-06,225682,331881,217280.0,113686,323108.0,205251,164823,81.1,82.0,79.9,82.4,86.6,80.7,79.9,2.2,2.4,1.8,-0.6,4.6,2.3,2.0,0.4,0.2,0.6,0.0,-0.5,0.5,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,828.0,710.0,118.0,204.0,613.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-07,227131,333247,219208.0,115015,321058.0,206841,166045,81.6,82.3,80.6,83.4,86.1,81.3,80.5,2.4,2.5,2.3,-0.1,3.2,2.6,2.2,0.6,0.4,0.9,1.2,-0.6,0.8,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,802.0,692.0,110.0,203.0,580.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-08,229917,337374,222291.0,115665,321982.0,209407,168237,82.6,83.3,81.7,83.9,86.3,82.3,81.5,2.7,2.6,2.8,0.0,2.4,3.2,2.6,1.2,1.2,1.4,0.6,0.3,1.2,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,879.0,754.0,125.0,192.0,670.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-09,232795,342748,224791.0,116607,328111.0,211516,170116,83.7,84.7,82.7,84.5,88.0,83.1,82.4,3.2,3.4,3.3,0.1,2.7,3.7,2.7,1.3,1.6,1.1,0.8,1.9,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,941.0,802.0,139.0,214.0,704.0
http://landregistry.data.gov.uk/data/ukhpi/region/leicestershire/month/2020-10,235617,347300,227892.0,117479,329289.0,213774,172402,84.7,85.8,83.8,85.2,88.3,84.0,83.6,3.7,4.1,4.0,0.2,2.7,3.9,3.3,1.2,1.3,1.4,0.7,0.4,1.1,1.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/leicestershire,1123.0,993.0,130.0,307.0,790.0
