_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-01,434797,944551,429638.0,356847,505488.0,641866,495429,91.0,88.3,89.9,94.3,95.7,87.5,87.0,1.8,2.2,1.9,0.8,-0.7,3.0,3.2,-0.8,-0.9,-0.9,-0.9,-0.2,-0.9,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,230.0,210.0,20.0,28.0,192.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-02,438054,952651,433151.0,358421,513930.0,648180,501286,91.6,89.1,90.7,94.7,97.3,88.4,88.0,3.6,4.2,4.0,2.0,0.0,5.2,5.7,0.7,0.9,0.8,0.4,1.7,1.0,1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,231.0,217.0,14.0,19.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-03,438066,954939,432860.0,357869,522411.0,650107,502135,91.6,89.3,90.6,94.6,98.9,88.6,88.2,2.8,3.5,3.2,1.3,0.7,4.5,4.9,0.0,0.2,-0.1,-0.2,1.7,0.3,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,240.0,193.0,47.0,48.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-04,438990,961054,433801.0,357984,523319.0,651670,504495,91.8,89.9,90.8,94.6,99.1,88.8,88.6,3.2,4.8,3.6,1.6,0.4,5.0,5.3,0.2,0.6,0.2,0.0,0.2,0.2,0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,117.0,83.0,34.0,14.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-05,444030,968786,437613.0,363284,537062.0,657639,507973,92.9,90.6,91.6,96.0,101.7,89.6,89.2,3.6,5.1,3.7,2.6,3.8,5.0,4.9,1.1,0.8,0.9,1.5,2.6,0.9,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,131.0,102.0,29.0,19.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-06,449079,979217,443441.0,366945,537623.0,665729,514707,93.9,91.6,92.8,97.0,101.8,90.7,90.4,4.5,6.1,4.7,3.4,4.4,6.1,6.0,1.1,1.1,1.3,1.0,0.1,1.2,1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,174.0,151.0,23.0,20.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-07,446541,970451,441613.0,364772,530062.0,662341,512029,93.4,90.8,92.5,96.4,100.4,90.3,89.9,2.5,3.9,2.9,1.3,0.9,4.2,4.1,-0.6,-0.9,-0.4,-0.6,-1.4,-0.5,-0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,219.0,202.0,17.0,21.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-08,445722,973313,441866.0,362269,522039.0,664811,514438,93.2,91.0,92.5,95.7,98.9,90.6,90.3,0.9,2.3,1.5,-0.7,-1.8,2.8,2.8,-0.2,0.3,0.1,-0.7,-1.5,0.4,0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,237.0,221.0,16.0,25.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-09,451671,991138,447700.0,366138,529418.0,676820,522811,94.5,92.7,93.7,96.7,100.3,92.3,91.8,1.6,3.6,2.3,-0.2,-2.0,4.3,3.8,1.3,1.8,1.3,1.1,1.4,1.8,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,274.0,256.0,18.0,19.0,250.0
http://landregistry.data.gov.uk/data/ukhpi/region/lewisham/month/2020-10,460316,1017167,457153.0,372045,533860.0,692430,534669,96.3,95.1,95.7,98.3,101.1,94.4,93.9,3.4,5.5,4.2,1.6,0.1,5.9,5.7,1.9,2.6,2.1,1.6,0.8,2.3,2.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lewisham,276.0,262.0,14.0,28.0,240.0
