_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-01,176005,241045,173749.0,88728,213594.0,158191,124401,79.0,78.8,78.4,82.2,81.4,79.3,78.4,0.1,-0.2,0.1,-2.1,-0.1,0.5,0.6,-0.7,-0.8,-0.8,-0.8,0.4,-0.7,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,856.0,785.0,71.0,307.0,532.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-02,175041,239203,172722.0,88539,214572.0,157334,124243,78.5,78.2,77.9,82.0,81.8,78.9,78.3,-0.5,-0.9,-0.4,-2.5,-1.2,0.0,0.4,-0.5,-0.8,-0.6,-0.2,0.5,-0.5,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,911.0,801.0,110.0,305.0,579.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-03,176236,240352,173718.0,89606,218925.0,158569,125374,79.1,78.5,78.4,83.0,83.4,79.5,79.0,-0.4,-0.9,-0.3,-1.8,0.2,0.2,0.5,0.7,0.5,0.6,1.2,2.0,0.8,0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,888.0,764.0,124.0,334.0,529.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-04,177203,241616,174648.0,89851,220330.0,159328,126303,79.5,79.0,78.8,83.3,84.0,79.9,79.6,0.5,0.3,0.6,-1.2,0.5,0.9,1.0,0.5,0.5,0.5,0.3,0.6,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,415.0,368.0,47.0,125.0,276.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-05,176832,240861,173940.0,89785,222955.0,159258,126011,79.3,78.7,78.5,83.2,85.0,79.9,79.5,0.8,0.6,0.6,-0.3,3.2,1.2,1.1,-0.2,-0.3,-0.4,-0.1,1.2,0.0,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,570.0,533.0,37.0,214.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-06,177519,241520,174913.0,90039,221198.0,159867,126853,79.7,78.9,78.9,83.4,84.3,80.2,80.0,1.6,1.2,1.5,0.5,3.4,2.0,2.3,0.4,0.3,0.6,0.3,-0.8,0.4,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,694.0,632.0,62.0,260.0,425.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-07,178184,242828,175759.0,90312,220280.0,160364,126993,80.0,79.4,79.3,83.7,83.9,80.4,80.1,1.6,1.5,1.6,-0.1,2.3,1.9,1.7,0.4,0.5,0.5,0.3,-0.4,0.3,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,917.0,822.0,95.0,311.0,587.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-08,179744,245365,177506.0,90209,220314.0,161735,127897,80.7,80.2,80.1,83.6,84.0,81.1,80.6,1.2,1.2,1.3,-0.9,1.6,1.7,1.2,0.9,1.0,1.0,-0.1,0.0,0.9,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,887.0,803.0,84.0,306.0,559.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-09,180010,246664,177602.0,89415,222106.0,161839,127399,80.8,80.6,80.1,82.9,84.6,81.2,80.3,1.0,1.3,1.1,-1.7,1.5,1.5,0.3,0.1,0.5,0.1,-0.9,0.8,0.1,-0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1001.0,888.0,113.0,337.0,641.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-10,180674,247882,178530.0,89291,220507.0,162133,127956,81.1,81.0,80.5,82.7,84.0,81.3,80.7,1.1,1.3,1.2,-1.5,1.1,1.2,0.8,0.4,0.5,0.5,-0.1,-0.7,0.2,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1210.0,1118.0,92.0,449.0,726.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-11,182386,250671,180594.0,90315,219343.0,163139,129189,81.8,81.9,81.5,83.7,83.6,81.8,81.5,2.4,2.8,2.7,0.1,1.7,2.1,2.6,0.9,1.1,1.2,1.1,-0.5,0.6,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1199.0,1105.0,94.0,459.0,709.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2020-12,185380,254821,183772.0,91833,221081.0,165544,131549,83.2,83.3,82.9,85.1,84.2,83.0,82.9,4.6,4.9,4.9,2.6,3.9,3.9,5.2,1.6,1.7,1.8,1.7,0.8,1.5,1.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1315.0,1233.0,82.0,500.0,774.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2021-01,187040,256330,185617.0,93833,221355.0,167178,133150,83.9,83.8,83.7,86.9,84.3,83.8,84.0,6.3,6.3,6.8,5.8,3.6,5.7,7.0,0.9,0.6,1.0,2.2,0.1,1.0,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1086.0,982.0,104.0,416.0,669.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2021-02,189409,258409,187940.0,96017,224462.0,169519,135713,85.0,84.5,84.8,89.0,85.5,85.0,85.6,8.2,8.0,8.8,8.4,4.6,7.7,9.2,1.3,0.8,1.3,2.3,1.4,1.4,1.9,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1438.0,1300.0,138.0,551.0,885.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2021-03,190919,259348,189401.0,98149,226697.0,171057,137550,85.7,84.8,85.4,90.9,86.4,85.8,86.7,8.3,7.9,9.0,9.5,3.6,7.9,9.7,0.8,0.4,0.8,2.2,1.0,0.9,1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1940.0,1725.0,215.0,805.0,1130.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2021-04,191929,260334,190129.0,98764,230456.0,171923,138786,86.1,85.1,85.8,91.5,87.8,86.2,87.5,8.3,7.7,8.9,9.9,4.6,7.9,9.9,0.5,0.4,0.4,0.6,1.7,0.5,0.9,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1313.0,1215.0,98.0,520.0,791.0
http://landregistry.data.gov.uk/data/ukhpi/region/lincolnshire/month/2021-05,191781,260084,189973.0,98698,230367.0,171740,138794,86.1,85.0,85.7,91.5,87.8,86.1,87.5,8.5,8.0,9.2,9.9,3.3,7.8,10.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,0.0,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lincolnshire,1223.0,1097.0,126.0,491.0,730.0
