_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-01,158744,81.9,3.9,0.8,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-02,158744,81.9,3.9,0.8,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-03,158744,81.9,3.9,0.8,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-04,161483,83.3,3.3,1.7,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-05,161483,83.3,3.3,1.7,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-06,161483,83.3,3.3,1.7,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-07,163552,84.3,3.6,1.3,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-08,163552,84.3,3.6,1.3,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-09,163552,84.3,3.6,1.3,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-10,166493,85.8,5.7,1.8,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-11,166493,85.8,5.7,1.8,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2020-12,166493,85.8,5.7,1.8,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-01,168248,86.8,6.0,1.1,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-02,168248,86.8,6.0,1.1,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-03,168248,86.8,6.0,1.1,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-04,172929,89.2,7.1,2.8,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,284.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-05,172929,89.2,7.1,2.8,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,284.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-06,172929,89.2,7.1,2.8,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,284.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-07,174858,90.2,6.9,1.1,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-08,174858,90.2,6.9,1.1,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-09,174858,90.2,6.9,1.1,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-10,176848,91.2,6.2,1.1,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-11,176848,91.2,6.2,1.1,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2021-12,176848,91.2,6.2,1.1,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-01,180250,92.9,7.1,1.9,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-02,180250,92.9,7.1,1.9,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-03,180250,92.9,7.1,1.9,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-04,186356,96.1,7.8,3.4,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-05,186356,96.1,7.8,3.4,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-06,186356,96.1,7.8,3.4,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-07,196605,101.4,12.4,5.5,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-08,196605,101.4,12.4,5.5,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-09,196605,101.4,12.4,5.5,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-10,198075,102.1,12.0,0.7,2022-10,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-11,198075,102.1,12.0,0.7,2022-11,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2022-12,198075,102.1,12.0,0.7,2022-12,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2023-01,193943,100.0,7.6,-2.1,2023-01,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/lisburn-and-castlereagh/month/2023-02,193943,100.0,7.6,-2.1,2023-02,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lisburn-and-castlereagh,150.0
