_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-01,115457,241933,114634.0,89516,103437.0,143243,104065,71.1,70.4,70.1,76.0,75.6,70.4,69.0,-5.6,-5.4,-5.5,-7.3,-5.8,-4.9,-5.1,-2.9,-2.6,-3.0,-2.9,-2.2,-2.9,-2.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,458.0,411.0,47.0,133.0,312.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-02,119159,251381,118363.0,91931,106802.0,147950,107678,73.4,73.1,72.3,78.0,78.1,72.7,71.4,-3.1,-2.6,-2.6,-5.8,-5.1,-2.2,-2.0,3.2,3.9,3.3,2.7,3.3,3.3,3.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,420.0,397.0,23.0,110.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-03,121669,257940,120766.0,93743,109542.0,151308,109869,74.9,75.0,73.8,79.6,80.1,74.4,72.9,0.9,1.5,1.5,-1.9,-1.2,1.8,2.2,2.1,2.6,2.0,2.0,2.6,2.3,2.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,434.0,380.0,54.0,137.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-04,123192,262618,122495.0,94108,110127.0,153456,111750,75.9,76.4,74.9,79.9,80.5,75.4,74.1,3.5,5.0,4.4,-0.3,0.1,4.8,5.1,1.3,1.8,1.4,0.4,0.5,1.4,1.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,184.0,166.0,18.0,61.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-05,121975,259848,120730.0,93851,111011.0,151893,110083,75.1,75.6,73.8,79.7,81.1,74.6,73.0,3.1,4.9,3.2,0.7,2.8,4.1,3.7,-1.0,-1.1,-1.4,-0.3,0.8,-1.0,-1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,275.0,242.0,33.0,108.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-06,125842,268264,124930.0,96183,113236.0,157093,113977,77.5,78.0,76.3,81.6,82.8,77.2,75.6,3.5,5.9,3.7,0.4,2.8,4.9,4.3,3.2,3.2,3.5,2.5,2.0,3.4,3.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,349.0,327.0,22.0,115.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-07,128410,272178,127603.0,98425,115108.0,160162,116221,79.1,79.2,78.0,83.5,84.1,78.7,77.1,3.2,5.2,3.6,0.6,2.2,4.6,3.9,2.0,1.5,2.1,2.3,1.7,2.0,2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,341.0,317.0,24.0,110.0,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-08,131415,279148,130928.0,100180,116586.0,164283,119230,80.9,81.2,80.0,85.0,85.2,80.7,79.1,4.7,7.0,5.3,1.4,2.6,6.4,5.5,2.3,2.6,2.6,1.8,1.3,2.6,2.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,403.0,381.0,22.0,123.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-09,131697,280332,131053.0,100569,117368.0,164512,119336,81.1,81.5,80.1,85.4,85.8,80.8,79.1,5.3,7.7,5.9,2.3,3.4,7.3,5.9,0.2,0.4,0.1,0.4,0.7,0.1,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,430.0,415.0,15.0,130.0,293.0
http://landregistry.data.gov.uk/data/ukhpi/region/liverpool/month/2020-10,133022,284919,132802.0,100828,117067.0,166598,120912,81.9,82.9,81.2,85.6,85.6,81.9,80.2,5.7,8.6,6.5,2.4,3.1,7.4,6.7,1.0,1.6,1.3,0.3,-0.3,1.3,1.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/liverpool,517.0,501.0,16.0,175.0,332.0
