_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-01,509527,976741,504220.0,431945,490371.0,511055,600366,545159,89.3,83.0,87.9,93.6,97.0,89.5,84.0,86.2,1.3,-1.9,0.8,1.4,4.3,0.4,2.1,-0.7,-1.8,-1.5,-0.4,5.7,-0.8,-0.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6527.0,5787.0,740.0,1204.0,5131.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-02,507956,999839,506495.0,426206,468520.0,512708,604905,548511,89.0,85.0,88.3,92.4,92.7,89.8,84.6,86.8,1.8,1.8,2.5,0.8,-2.0,2.4,3.4,-0.3,2.4,0.5,-1.3,-4.5,0.8,0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6465.0,5465.0,1000.0,1277.0,4919.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-03,516654,1004839,513539.0,436597,485063.0,524163,612235,553011,90.5,85.4,89.5,94.6,95.9,91.8,85.6,87.5,4.0,4.3,4.1,3.5,3.5,4.4,4.6,1.7,0.5,1.4,2.4,3.5,1.2,0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6842.0,5778.0,1064.0,1381.0,5160.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-04,509754,1009192,505226.0,427955,486354.0,513113,605806,549921,89.3,85.8,88.0,92.8,96.2,89.9,84.7,87.0,1.4,3.9,1.3,0.2,2.8,2.6,2.6,-1.3,0.4,-1.6,-2.0,0.3,-1.1,-0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,3206.0,2684.0,522.0,654.0,2422.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-05,506613,994054,501307.0,426483,487723.0,507444,602341,544391,88.7,84.5,87.4,92.4,96.5,88.9,84.2,86.1,2.1,3.4,1.6,1.7,5.7,2.6,2.3,-0.6,-1.5,-0.8,-0.3,0.3,-0.6,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,2929.0,2601.0,328.0,589.0,2255.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-06,513833,992977,514689.0,430062,462027.0,515494,613671,558429,90.0,84.4,89.7,93.2,91.4,90.3,85.8,88.3,2.0,1.6,2.5,1.0,0.1,2.4,3.9,1.4,-0.1,2.7,0.8,-5.3,1.9,2.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,4511.0,3994.0,517.0,785.0,3613.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-07,517966,1007513,515582.0,435364,482402.0,513013,615880,559085,90.7,85.7,89.8,94.4,95.4,89.9,86.1,88.4,1.1,2.2,1.5,0.0,-0.8,2.4,2.4,0.8,1.5,0.2,1.2,4.4,0.4,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,5988.0,5149.0,839.0,1153.0,4708.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-08,523954,1026800,522139.0,437230,484876.0,521960,627678,570321,91.8,87.3,91.0,94.8,95.9,91.4,87.8,90.2,3.5,3.9,3.6,2.9,4.0,4.5,4.2,1.2,1.9,1.3,0.4,0.5,1.9,2.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6148.0,5349.0,799.0,1109.0,4873.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-09,528003,1030371,527212.0,440934,483254.0,523387,630723,575246,92.5,87.6,91.9,95.6,95.6,91.7,88.2,91.0,3.4,4.3,4.1,1.6,0.0,5.3,5.5,0.8,0.3,1.0,0.8,-0.3,0.5,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7087.0,6118.0,969.0,1301.0,5626.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-10,520515,1028452,520898.0,431367,470481.0,520903,626489,571831,91.2,87.4,90.8,93.5,93.0,91.2,87.6,90.5,2.9,4.2,3.7,1.1,-0.9,3.6,5.5,-1.4,-0.2,-1.2,-2.2,-2.6,-0.7,-0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8083.0,7233.0,850.0,1506.0,6410.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-11,529444,1050484,531230.0,438632,471549.0,531204,637779,581284,92.7,89.3,92.6,95.1,93.3,93.1,89.2,92.0,5.5,6.1,5.9,4.3,4.9,6.2,7.3,1.7,2.1,2.0,1.7,0.2,1.8,1.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7825.0,7074.0,751.0,1389.0,6223.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2020-12,529060,1048235,530696.0,436892,471945.0,529722,640537,583008,92.7,89.1,92.5,94.7,93.3,92.8,89.6,92.2,3.1,5.4,3.6,0.7,1.8,5.8,6.0,-0.1,-0.2,-0.1,-0.4,0.1,0.4,0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,9201.0,8103.0,1098.0,1617.0,7264.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-01,529101,1028178,530420.0,442097,473563.0,528130,633069,575732,92.7,87.4,92.4,95.8,93.7,92.5,88.5,91.1,3.8,5.3,5.2,2.4,-3.4,5.4,5.6,0.0,-1.9,-0.1,1.2,0.3,-1.2,-1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8030.0,7200.0,830.0,1386.0,6626.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-02,525153,1019466,524424.0,439619,483087.0,528245,628394,569633,92.0,86.7,91.4,95.3,95.5,92.5,87.9,90.1,3.4,2.0,3.5,3.1,3.1,3.9,3.9,-0.7,-0.8,-1.1,-0.6,2.0,-0.7,-1.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,10070.0,9045.0,1025.0,1742.0,8304.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-03,534311,1023764,533462.0,450063,492203.0,534123,633357,577649,93.6,87.0,93.0,97.6,97.3,93.6,88.6,91.4,3.4,1.9,3.9,3.1,1.5,3.4,4.5,1.7,0.4,1.7,2.4,1.9,0.8,1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,16466.0,14554.0,1912.0,3298.0,13121.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-04,523423,1032231,522256.0,436460,484369.0,529288,629937,568226,91.7,87.8,91.0,94.6,95.8,92.7,88.1,89.9,2.7,2.3,3.4,2.0,-0.4,4.0,3.3,-2.0,0.8,-2.1,-3.0,-1.6,-0.5,-1.6,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,9151.0,8348.0,803.0,1531.0,7601.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-05,522672,1032432,522716.0,435476,475828.0,532431,629779,567691,91.6,87.8,91.1,94.4,94.1,93.3,88.1,89.8,3.2,3.9,4.3,2.1,-2.4,4.6,4.3,-0.1,0.0,0.1,-0.2,-1.8,0.0,-0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7696.0,6858.0,838.0,1412.0,6256.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-06,538199,1044162,539929.0,447070,479271.0,537090,643890,591954,94.3,88.8,94.1,96.9,94.8,94.1,90.0,93.6,4.7,5.2,4.9,4.0,3.7,4.9,6.0,3.0,1.1,3.3,2.7,0.7,2.2,4.3,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,26412.0,24228.0,2184.0,5029.0,21336.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-07,529788,1053648,528167.0,448420,493145.0,526936,627542,564200,92.8,89.6,92.0,97.2,97.5,92.3,87.8,89.3,2.3,4.6,2.4,3.0,2.2,1.9,0.9,-1.6,0.9,-2.2,0.3,2.9,-2.5,-4.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,3030.0,2609.0,421.0,542.0,2474.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-08,545831,1094123,547826.0,454212,484561.0,538143,658035,592354,95.6,93.0,95.5,98.4,95.8,94.3,92.0,93.7,4.2,6.6,4.9,3.9,-0.1,4.8,3.9,3.0,3.8,3.7,1.3,-1.7,4.9,5.0,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6063.0,5395.0,668.0,1111.0,4931.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-09,541876,1080050,544300.0,447568,478291.0,536326,657828,594208,94.9,91.8,94.9,97.0,94.6,93.9,92.0,94.0,2.6,4.8,3.2,1.5,-1.0,4.3,3.3,-0.7,-1.3,-0.6,-1.5,-1.3,0.0,0.3,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,12748.0,11634.0,1114.0,2371.0,10338.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-10,539606,1111134,543410.0,444620,467744.0,539883,661716,587385,94.5,94.5,94.7,96.4,92.5,94.6,92.5,92.9,3.7,8.0,4.3,3.1,-0.6,5.6,2.7,-0.4,2.9,-0.2,-0.7,-2.2,0.6,-1.1,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,4935.0,4318.0,617.0,897.0,4011.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-11,547647,1114967,549129.0,453822,489430.0,544956,667860,593226,95.9,94.8,95.7,98.4,96.8,95.5,93.4,93.8,3.4,6.1,3.4,3.5,3.8,4.7,2.1,1.5,0.3,1.1,2.1,4.6,0.9,1.0,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6837.0,6051.0,786.0,1300.0,5505.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2021-12,547837,1110144,551570.0,451268,475663.0,546323,669304,599668,96.0,94.4,96.1,97.8,94.1,95.7,93.6,94.9,3.5,5.9,3.9,3.3,0.8,4.5,2.9,0.0,-0.4,0.4,-0.6,-2.8,0.2,1.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7655.0,6721.0,934.0,1490.0,6096.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-01,550635,1115172,554020.0,452858,480334.0,551430,674273,603709,96.5,94.8,96.5,98.2,95.0,96.6,94.3,95.5,4.1,8.5,4.4,2.4,1.4,6.5,4.9,0.5,0.5,0.4,0.4,1.0,0.7,0.7,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,6363.0,5781.0,582.0,1211.0,5128.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-02,551066,1120979,553626.0,455139,492637.0,555019,675151,599827,96.5,95.3,96.5,98.7,97.4,97.2,94.4,94.9,4.9,10.0,5.6,3.5,2.0,7.4,5.3,0.1,0.5,-0.1,0.5,2.6,0.1,-0.6,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7143.0,6452.0,691.0,1362.0,5719.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-03,550480,1126359,553240.0,451643,489160.0,554208,678002,602636,96.4,95.8,96.4,97.9,96.7,97.1,94.8,95.3,3.0,10.0,3.7,0.4,-0.6,7.0,4.3,-0.1,0.5,-0.1,-0.8,-0.7,0.4,0.5,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8630.0,7537.0,1093.0,1648.0,6916.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-04,554765,1126010,558146.0,454612,484359.0,561034,680406,610671,97.2,95.7,97.3,98.5,95.8,98.3,95.2,96.6,6.0,9.1,6.9,4.2,0.0,8.0,7.5,0.8,0.0,0.9,0.7,-1.0,0.4,1.3,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7432.0,6695.0,737.0,1432.0,5936.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-05,554380,1137718,558045.0,450631,479959.0,561853,688592,611999,97.1,96.7,97.2,97.7,94.9,98.4,96.3,96.8,6.1,10.2,6.8,3.5,0.9,9.3,7.8,-0.1,1.0,0.0,-0.9,-0.9,1.2,0.2,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,7768.0,7007.0,761.0,1515.0,6208.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-06,572418,1163283,575987.0,466965,498616.0,570282,706654,631836,100.3,98.9,100.4,101.2,98.6,99.9,98.8,100.0,6.4,11.4,6.7,4.5,4.0,9.7,6.7,3.3,2.2,3.2,3.6,3.9,2.6,3.2,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8528.0,7065.0,1463.0,1550.0,6859.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-07,575261,1160773,579108.0,467596,497424.0,571014,709549,639419,100.8,98.7,100.9,101.4,98.4,100.0,99.2,101.2,8.6,10.2,9.6,4.3,0.9,13.1,13.3,0.5,-0.2,0.5,0.1,-0.2,0.4,1.2,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,9356.0,8355.0,1001.0,1717.0,7531.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-08,581320,1182726,585536.0,470873,498060.0,573593,720113,646971,101.8,100.5,102.0,102.1,98.5,100.5,100.7,102.3,6.5,8.1,6.9,3.7,2.8,9.4,9.2,1.1,1.9,1.1,0.7,0.1,1.5,1.2,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,9432.0,8499.0,933.0,1795.0,7538.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-09,579330,1187582,583414.0,468325,497994.0,573403,720216,644506,101.5,101.0,101.7,101.5,98.5,100.4,100.7,102.0,6.9,10.0,7.2,4.6,4.1,9.5,8.5,-0.3,0.4,-0.4,-0.5,0.0,0.0,-0.4,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,9508.0,8593.0,915.0,1741.0,7581.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-10,573946,1175309,578005.0,462931,493185.0,574627,714950,640019,100.5,99.9,100.7,100.3,97.5,100.7,100.0,101.2,6.4,5.8,6.4,4.1,5.4,8.0,9.0,-0.9,-1.0,-0.9,-1.2,-1.0,-0.7,-0.7,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8976.0,8051.0,925.0,1713.0,7044.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-11,575480,1186681,579519.0,463480,494934.0,573929,718324,641610,100.8,100.9,101.0,100.5,97.9,100.5,100.5,101.5,5.1,6.4,5.5,2.1,1.1,7.6,8.2,0.3,1.0,0.3,0.1,0.4,0.5,0.2,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8978.0,7915.0,1063.0,1708.0,7052.0
http://landregistry.data.gov.uk/data/ukhpi/region/london/month/2022-12,572384,1177169,576732.0,461725,487666.0,572470,715829,636298,100.3,100.1,100.5,100.1,96.4,100.3,100.1,100.7,4.5,6.0,4.6,2.3,2.5,7.0,6.1,-0.5,-0.8,-0.5,-0.4,-1.5,-0.3,-0.8,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/london,8125.0,7015.0,1110.0,1590.0,6201.0
