_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-01,233604,388722,233686.0,144281,198424.0,265538,213300,81.7,81.6,81.2,85.5,84.8,81.1,80.7,-4.5,-4.3,-4.2,-7.4,-7.6,-3.6,-3.6,-0.8,-0.7,-0.9,-1.0,-0.3,-0.8,-0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,166.0,157.0,9.0,26.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-02,235546,392179,235496.0,145812,202322.0,267456,215002,82.3,82.3,81.8,86.4,86.5,81.7,81.4,-3.8,-3.4,-3.3,-7.1,-7.7,-2.8,-2.6,0.8,0.9,0.8,1.1,2.0,0.7,0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,178.0,168.0,10.0,27.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-03,236715,393926,236280.0,147304,207002.0,268432,215625,82.8,82.7,82.1,87.3,88.5,82.0,81.6,-1.5,-1.4,-1.2,-3.9,-3.9,-0.8,-0.7,0.5,0.4,0.3,1.0,2.3,0.4,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,149.0,141.0,8.0,15.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-04,237236,395384,236813.0,147169,207379.0,268982,216554,82.9,83.0,82.3,87.2,88.7,82.1,82.0,-1.1,-0.5,-0.7,-4.1,-4.3,-0.2,-0.1,0.2,0.4,0.2,-0.1,0.2,0.2,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,58.0,55.0,3.0,4.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-05,236290,393102,235487.0,147158,208868.0,267806,215280,82.6,82.5,81.8,87.2,89.3,81.8,81.5,-0.5,0.1,-0.4,-2.3,-1.0,0.1,-0.1,-0.4,-0.6,-0.6,0.0,0.7,-0.4,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,86.0,86.0,,13.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-06,235549,392261,235179.0,145653,205630.0,267595,215061,82.3,82.3,81.7,86.3,87.9,81.7,81.4,-0.6,0.3,-0.4,-3.2,-1.8,0.3,0.0,-0.3,-0.2,-0.1,-1.0,-1.6,-0.1,-0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,117.0,116.0,1.0,19.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-07,232470,386585,232302.0,143810,201729.0,264205,212179,81.3,81.1,80.7,85.2,86.2,80.7,80.3,-1.8,-1.0,-1.5,-4.6,-4.0,-0.8,-1.3,-1.3,-1.4,-1.2,-1.3,-1.9,-1.3,-1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,110.0,108.0,2.0,15.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-08,232404,387696,232636.0,142516,199245.0,264734,212680,81.2,81.3,80.8,84.5,85.2,80.8,80.5,-1.7,-0.5,-1.1,-5.5,-5.2,-0.3,-0.9,0.0,0.3,0.1,-0.9,-1.2,0.2,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,131.0,122.0,9.0,22.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-09,232676,389202,232814.0,142581,200036.0,264917,212965,81.3,81.7,80.9,84.5,85.5,80.9,80.6,-2.1,-0.6,-1.6,-6.3,-6.4,-0.6,-1.5,0.1,0.4,0.1,0.0,0.4,0.1,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,138.0,132.0,6.0,17.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/luton/month/2020-10,238024,400297,238530.0,144943,202461.0,271257,218218,83.2,84.0,82.9,85.9,86.6,82.8,82.6,-0.2,1.7,0.4,-4.0,-3.9,1.0,0.6,2.3,2.9,2.5,1.7,1.2,2.4,2.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/luton,193.0,190.0,3.0,32.0,157.0
