_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-01,175233,330453,175755.0,146850,163382.0,221021,168074,75.8,75.2,75.0,79.6,80.4,74.5,73.5,1.7,1.9,1.6,0.2,2.6,2.6,2.5,-1.6,-1.3,-1.6,-1.7,-0.9,-1.5,-1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,498.0,354.0,144.0,158.0,321.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-02,171338,323877,171790.0,142926,161215.0,216374,164905,74.1,73.7,73.3,77.4,79.3,72.9,72.1,0.4,0.8,0.5,-1.4,-0.1,1.4,1.6,-2.2,-2.0,-2.3,-2.7,-1.3,-2.1,-1.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,461.0,371.0,90.0,111.0,327.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-03,174004,329404,174272.0,145010,166199.0,219891,167506,75.3,75.0,74.4,78.6,81.8,74.1,73.3,2.0,2.2,2.0,0.1,2.1,2.9,3.2,1.6,1.7,1.4,1.5,3.1,1.6,1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,455.0,361.0,94.0,118.0,317.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-04,169425,322078,169680.0,140585,161876.0,214283,163624,73.3,73.3,72.4,76.2,79.6,72.2,71.6,-1.2,-0.4,-1.1,-3.2,-1.5,-0.2,-0.1,-2.6,-2.2,-2.6,-3.1,-2.6,-2.6,-2.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,221.0,166.0,55.0,69.0,141.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-05,166771,317631,166761.0,138547,161417.0,211168,160670,72.1,72.3,71.2,75.1,79.4,71.2,70.3,-2.9,-1.7,-3.1,-4.7,-0.7,-1.8,-2.1,-1.6,-1.4,-1.7,-1.4,-0.3,-1.5,-1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,272.0,201.0,71.0,89.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-06,166010,315203,166261.0,137731,158644.0,210325,160143,71.8,71.7,71.0,74.6,78.0,70.9,70.0,-2.8,-1.5,-2.9,-4.8,-1.0,-1.5,-2.0,-0.5,-0.8,-0.3,-0.6,-1.7,-0.4,-0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,371.0,288.0,83.0,97.0,265.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-07,175019,330289,175466.0,145688,165786.0,221386,168615,75.7,75.2,74.9,78.9,81.5,74.6,73.7,2.2,3.2,2.3,0.5,3.0,3.5,3.0,5.4,4.8,5.5,5.8,4.5,5.3,5.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,448.0,333.0,115.0,155.0,268.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-08,184754,348272,185434.0,153314,173355.0,234136,178314,79.9,79.2,79.2,83.1,85.3,78.9,78.0,6.0,6.8,6.1,4.0,6.0,7.4,6.7,5.6,5.4,5.7,5.2,4.6,5.8,5.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,395.0,322.0,73.0,93.0,286.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-09,186042,351635,186644.0,154205,175188.0,235918,179609,80.5,80.0,79.7,83.5,86.2,79.5,78.5,5.7,6.8,5.9,3.7,5.3,7.5,6.3,0.7,1.0,0.7,0.6,1.1,0.8,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,410.0,342.0,68.0,94.0,295.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-10,187069,354828,187899.0,154694,174419.0,237353,180867,80.9,80.7,80.2,83.8,85.8,80.0,79.1,5.4,6.7,5.6,3.4,4.0,6.7,6.1,0.6,0.9,0.7,0.3,-0.4,0.6,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,523.0,464.0,59.0,128.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-11,188973,358060,190118.0,156359,173841.0,239157,183019,81.7,81.5,81.2,84.7,85.5,80.6,80.0,5.9,6.9,6.2,4.0,4.0,6.7,7.0,1.0,0.9,1.2,1.1,-0.3,0.8,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,559.0,452.0,107.0,142.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2020-12,193243,366162,194593.0,159519,176402.0,244497,187650,83.6,83.3,83.1,86.4,86.8,82.4,82.1,8.6,9.3,8.9,6.8,7.0,9.0,10.0,2.3,2.3,2.4,2.0,1.5,2.2,2.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,564.0,482.0,82.0,153.0,383.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2021-01,199296,374107,200887.0,165362,180437.0,251339,193285,86.2,85.1,85.8,89.6,88.8,84.7,84.5,13.7,13.2,14.3,12.6,10.4,13.7,15.0,3.1,2.2,3.2,3.7,2.3,2.8,3.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,494.0,409.0,85.0,154.0,340.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2021-02,201691,375708,203279.0,167885,182539.0,253457,195748,87.2,85.5,86.8,91.0,89.8,85.4,85.6,17.7,16.0,18.3,17.5,13.2,17.1,18.7,1.2,0.4,1.2,1.5,1.2,0.8,1.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,522.0,465.0,57.0,140.0,381.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2021-03,209849,386631,211336.0,176007,190534.0,262287,203298,90.8,88.0,90.2,95.4,93.7,88.4,88.9,20.6,17.4,21.3,21.4,14.6,19.3,21.4,4.0,2.9,4.0,4.8,4.4,3.5,3.9,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,928.0,689.0,239.0,281.0,635.0
http://landregistry.data.gov.uk/data/ukhpi/region/manchester/month/2021-04,210199,387775,211325.0,176168,192766.0,262330,204033,90.9,88.2,90.2,95.4,94.8,88.4,89.2,24.1,20.4,24.5,25.3,19.1,22.4,24.7,0.2,0.3,0.0,0.1,1.2,0.0,0.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/manchester,567.0,461.0,106.0,147.0,412.0
