_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-01,236334,427378,231503.0,150085,320478.0,276666,213487,78.2,78.6,77.6,83.0,81.6,78.1,77.1,-3.3,-3.5,-3.4,-4.8,-3.7,-2.9,-3.0,-0.9,-0.8,-0.9,-1.2,-0.2,-0.9,-0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,302.0,264.0,38.0,46.0,245.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-02,235914,426565,231271.0,149346,322218.0,275991,213391,78.1,78.4,77.5,82.6,82.1,77.9,77.0,-3.2,-3.5,-3.1,-5.5,-5.1,-2.8,-2.7,-0.2,-0.2,-0.1,-0.5,0.5,-0.2,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,307.0,279.0,28.0,40.0,260.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-03,238838,432167,234141.0,150825,330730.0,279671,216035,79.0,79.4,78.5,83.4,84.2,78.9,78.0,-1.8,-2.2,-1.6,-3.9,-2.9,-1.5,-1.2,1.2,1.3,1.2,1.0,2.6,1.3,1.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,288.0,259.0,29.0,42.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-04,238531,432095,233845.0,150003,330241.0,279165,216022,78.9,79.4,78.4,83.0,84.1,78.8,78.0,-2.0,-1.9,-1.8,-4.4,-3.4,-1.7,-1.4,-0.1,0.0,-0.1,-0.5,-0.1,-0.2,0.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,122.0,106.0,16.0,20.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-05,240974,436267,235918.0,152075,337902.0,282325,217912,79.7,80.2,79.1,84.1,86.0,79.7,78.7,-0.3,0.0,-0.2,-1.9,1.0,0.1,0.0,1.0,1.0,0.9,1.4,2.3,1.1,0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,143.0,138.0,5.0,29.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-06,241360,436361,236581.0,151604,334711.0,282958,218553,79.9,80.2,79.3,83.9,85.2,79.8,78.9,-0.1,0.2,0.0,-2.2,0.9,0.3,0.1,0.2,0.0,0.3,-0.3,-0.9,0.2,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,246.0,232.0,14.0,49.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-07,242566,437750,237935.0,152588,334075.0,284380,219651,80.3,80.5,79.7,84.4,85.1,80.2,79.3,0.3,0.5,0.5,-1.8,0.3,0.9,0.5,0.5,0.3,0.6,0.6,-0.2,0.5,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,260.0,234.0,26.0,45.0,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-08,243393,440470,238931.0,151670,332742.0,285542,220754,80.5,81.0,80.1,83.9,84.7,80.6,79.7,0.7,1.1,1.0,-2.2,0.1,1.4,1.0,0.3,0.6,0.4,-0.6,-0.4,0.4,0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,281.0,254.0,27.0,60.0,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-09,246102,446968,241432.0,152882,338483.0,288674,223224,81.4,82.2,80.9,84.6,86.2,81.5,80.6,1.9,2.8,2.2,-1.2,1.2,2.9,2.1,1.1,1.5,1.0,0.8,1.7,1.1,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,295.0,272.0,23.0,51.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/medway/month/2020-10,248712,453235,244236.0,153505,338900.0,291782,225794,82.3,83.3,81.8,84.9,86.3,82.3,81.5,2.8,4.0,3.2,-0.8,1.5,3.5,3.2,1.1,1.4,1.2,0.4,0.1,1.1,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/medway,330.0,307.0,23.0,56.0,271.0
