_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-01,107243,188006,107112.0,54071,204276.0,115345,91094,74.5,75.3,74.5,80.0,76.7,74.9,74.1,9.6,9.3,9.4,11.1,9.9,9.8,9.5,-5.7,-5.6,-5.7,-6.0,-5.0,-5.7,-5.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,47.0,47.0,12.0,35.0,
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-02,107331,188105,107170.0,53775,206034.0,115473,91191,74.6,75.3,74.6,79.6,77.4,74.9,74.2,9.9,9.2,9.8,9.0,8.7,10.1,10.0,0.1,0.1,0.1,-0.5,0.9,0.1,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,39.0,38.0,7.0,32.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-03,105243,184525,105031.0,52287,205530.0,113312,89401,73.1,73.9,73.1,77.4,77.2,73.5,72.7,9.3,8.6,9.3,6.3,9.3,9.5,9.6,-1.9,-1.9,-2.0,-2.8,-0.2,-1.9,-2.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,58.0,55.0,12.0,44.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-04,104224,182831,104011.0,51311,203735.0,112100,88578,72.4,73.2,72.4,75.9,76.5,72.8,72.1,3.1,2.8,3.1,-0.2,3.1,3.2,3.3,-1.0,-0.9,-1.0,-1.9,-0.9,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,23.0,22.0,5.0,18.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-05,101115,177010,100873.0,49902,200659.0,108767,85974,70.3,70.9,70.2,73.8,75.4,70.6,70.0,-1.3,-1.5,-1.4,-3.6,1.4,-1.1,-1.3,-3.0,-3.2,-3.0,-2.7,-1.5,-3.0,-2.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,28.0,28.0,9.0,19.0,
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-06,101720,177857,101500.0,50043,199889.0,109459,86507,70.7,71.2,70.6,74.0,75.1,71.0,70.4,-0.1,-0.3,-0.2,-2.7,2.5,0.1,-0.1,0.6,0.5,0.6,0.3,-0.4,0.6,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,46.0,44.0,14.0,31.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-07,103467,180789,103266.0,51086,201357.0,111425,87973,71.9,72.4,71.9,75.6,75.6,72.3,71.6,0.4,0.3,0.4,-2.1,1.6,0.9,0.4,1.7,1.6,1.7,2.1,0.7,1.8,1.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,45.0,43.0,12.0,33.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-08,108337,189775,108155.0,53013,208549.0,116684,92068,75.3,76.0,75.3,78.4,78.3,75.7,74.9,4.5,4.6,4.4,1.0,4.8,5.0,4.3,4.7,5.0,4.7,3.8,3.6,4.7,4.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,42.0,40.0,11.0,29.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-09,105566,185447,105380.0,51333,203863.0,113570,89700,73.4,74.3,73.3,75.9,76.6,73.7,73.0,0.8,1.3,0.8,-3.2,0.5,1.4,0.6,-2.6,-2.3,-2.6,-3.2,-2.2,-2.7,-2.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,37.0,36.0,14.0,23.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/merthyr-tydfil/month/2020-10,106026,186700,105862.0,50934,202855.0,113900,90112,73.7,74.8,73.7,75.4,76.2,73.9,73.3,-2.8,-2.1,-2.8,-7.8,-3.6,-2.6,-2.9,0.4,0.7,0.5,-0.8,-0.5,0.3,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/merthyr-tydfil,67.0,61.0,20.0,45.0,6.0
