_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-01,534167,1865606,538449.0,377557,421346.0,788526,572233,87.6,83.9,87.5,90.7,93.3,85.8,86.1,-2.5,-2.6,-2.5,-3.8,-3.2,-1.8,-1.4,1.0,0.5,0.9,0.8,1.6,0.9,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,180.0,179.0,1.0,25.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-02,535206,1881698,539210.0,377863,424542.0,789742,573532,87.7,84.6,87.6,90.7,94.0,85.9,86.3,-3.7,-2.9,-3.6,-5.4,-5.9,-3.0,-2.5,0.2,0.9,0.1,0.1,0.8,0.2,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,141.0,140.0,1.0,20.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-03,545738,1925191,549468.0,384980,437935.0,807065,584742,89.5,86.6,89.3,92.4,97.0,87.8,88.0,1.0,2.2,1.1,-0.5,-0.3,1.9,2.1,2.0,2.3,1.9,1.9,3.2,2.2,2.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,170.0,168.0,2.0,31.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-04,543893,1946916,547666.0,382056,434877.0,804187,583990,89.2,87.6,89.0,91.7,96.3,87.5,87.9,1.5,4.3,1.5,-0.3,-0.5,2.6,2.5,-0.3,1.1,-0.3,-0.8,-0.7,-0.4,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,74.0,73.0,1.0,14.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-05,553608,1981392,557232.0,389389,448626.0,817985,593900,90.8,89.1,90.5,93.5,99.3,89.0,89.4,6.3,9.9,6.3,4.9,6.8,7.3,6.9,1.8,1.8,1.7,1.9,3.2,1.7,1.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,68.0,64.0,4.0,10.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-06,558828,1981823,562730.0,392530,446246.0,825037,600876,91.6,89.1,91.4,94.3,98.8,89.8,90.4,5.2,8.0,5.1,3.7,5.2,6.1,6.0,0.9,0.0,1.0,0.8,-0.5,0.9,1.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,136.0,128.0,8.0,24.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-07,564788,1979822,568839.0,397593,448024.0,833127,607012,92.6,89.0,92.4,95.5,99.2,90.7,91.4,5.2,7.5,5.1,3.8,4.1,5.9,5.9,1.1,-0.1,1.1,1.3,0.4,1.0,1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,159.0,151.0,8.0,21.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-08,565302,1988036,569559.0,395906,442829.0,837155,609341,92.7,89.4,92.5,95.1,98.1,91.1,91.7,2.4,4.6,2.4,0.8,0.6,3.4,3.4,0.1,0.4,0.1,-0.4,-1.2,0.5,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,154.0,146.0,8.0,25.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-09,566320,2014530,570507.0,395147,445697.0,841940,610954,92.8,90.6,92.7,94.9,98.7,91.6,92.0,2.8,5.7,2.9,0.9,0.7,4.4,3.8,0.2,1.3,0.2,-0.2,0.6,0.6,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,194.0,185.0,9.0,30.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/merton/month/2020-10,578074,2058632,582554.0,402073,449405.0,860664,624953,94.8,92.6,94.7,96.5,99.5,93.7,94.1,6.5,8.3,6.5,4.3,3.7,7.8,7.7,2.1,2.2,2.1,1.8,0.8,2.2,2.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/merton,236.0,225.0,11.0,25.0,207.0
