_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-01,118843,81.0,2.9,-0.5,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-02,118843,81.0,2.9,-0.5,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-03,118843,81.0,2.9,-0.5,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-04,119933,81.7,2.2,0.9,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-05,119933,81.7,2.2,0.9,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-06,119933,81.7,2.2,0.9,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-07,119962,81.8,1.4,0.0,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-08,119962,81.8,1.4,0.0,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-09,119962,81.8,1.4,0.0,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-10,124169,84.6,4.0,3.5,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-11,124169,84.6,4.0,3.5,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2020-12,124169,84.6,4.0,3.5,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-01,124601,84.9,4.8,0.3,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-02,124601,84.9,4.8,0.3,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-03,124601,84.9,4.8,0.3,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-04,131619,89.7,9.7,5.6,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-05,131619,89.7,9.7,5.6,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-06,131619,89.7,9.7,5.6,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-07,132977,90.6,10.8,1.0,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-08,132977,90.6,10.8,1.0,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-09,132977,90.6,10.8,1.0,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-10,134732,91.8,8.5,1.3,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-11,134732,91.8,8.5,1.3,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2021-12,134732,91.8,8.5,1.3,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-01,139087,94.8,11.6,3.2,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-02,139087,94.8,11.6,3.2,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-03,139087,94.8,11.6,3.2,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-04,141103,96.2,7.2,1.4,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-05,141103,96.2,7.2,1.4,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-06,141103,96.2,7.2,1.4,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-07,145974,99.5,9.8,3.5,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-08,145974,99.5,9.8,3.5,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-09,145974,99.5,9.8,3.5,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-and-east-antrim/month/2022-10,147536,100.6,9.5,1.1,2022-10,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-and-east-antrim,173.0
