_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-01,126758,82.6,1.9,-1.5,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-02,126758,82.6,1.9,-1.5,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-03,126758,82.6,1.9,-1.5,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-04,125577,81.8,-0.7,-0.9,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-05,125577,81.8,-0.7,-0.9,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-06,125577,81.8,-0.7,-0.9,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-07,126506,82.4,-1.3,0.7,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-08,126506,82.4,-1.3,0.7,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-09,126506,82.4,-1.3,0.7,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-10,131072,85.4,1.8,3.6,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-11,131072,85.4,1.8,3.6,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2020-12,131072,85.4,1.8,3.6,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2021-01,134269,87.5,5.9,2.4,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2021-02,134269,87.5,5.9,2.4,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2021-03,134269,87.5,5.9,2.4,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2021-04,135925,88.5,8.2,1.2,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/mid-ulster/month/2021-05,135925,88.5,8.2,1.2,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/mid-ulster,125.0
