_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-01,105226,193560,102269.0,62271,183699.0,113747,79630,78.9,80.4,77.9,80.6,81.4,79.2,76.8,3.0,2.6,3.0,0.9,3.2,3.4,3.2,0.9,1.3,0.8,0.4,1.8,0.9,0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,142.0,131.0,11.0,40.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-02,103702,191184,100677.0,61238,182554.0,111938,78547,77.7,79.4,76.7,79.3,80.8,77.9,75.8,1.4,0.8,1.7,-0.7,0.6,1.7,1.9,-1.4,-1.2,-1.6,-1.7,-0.6,-1.6,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,124.0,112.0,12.0,32.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-03,103305,191202,100088.0,60804,183932.0,111511,78040,77.5,79.4,76.2,78.7,81.5,77.6,75.3,3.3,2.8,3.5,1.5,2.8,3.5,3.8,-0.4,0.0,-0.6,-0.7,0.8,-0.4,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,129.0,102.0,27.0,38.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-04,98719,182878,95606.0,57763,176042.0,106441,74696,74.0,75.9,72.8,74.8,78.0,74.1,72.1,-2.9,-3.1,-2.7,-4.9,-3.5,-2.8,-2.5,-4.4,-4.4,-4.5,-5.0,-4.3,-4.5,-4.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,49.0,42.0,7.0,16.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-05,99182,184600,95724.0,57866,179099.0,107003,74672,74.4,76.6,72.9,74.9,79.3,74.5,72.1,-4.7,-4.1,-5.0,-6.7,-3.1,-4.7,-5.0,0.5,0.9,0.1,0.2,1.7,0.5,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,64.0,59.0,5.0,19.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-06,99333,184279,96111.0,57913,177772.0,107276,74933,74.5,76.5,73.2,75.0,78.7,74.7,72.3,-4.7,-3.9,-4.9,-7.0,-3.0,-4.6,-5.0,0.2,-0.2,0.4,0.1,-0.7,0.3,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,105.0,89.0,16.0,20.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-07,103503,191156,100402.0,60697,183481.0,111907,78228,77.6,79.4,76.4,78.6,81.3,77.9,75.5,-1.8,-1.5,-1.8,-3.9,-1.2,-1.5,-2.1,4.2,3.7,4.5,4.8,3.2,4.3,4.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,136.0,116.0,20.0,47.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-08,104119,191820,101224.0,60649,183043.0,112676,78868,78.1,79.6,77.1,78.5,81.1,78.4,76.1,-1.8,-1.6,-1.6,-4.3,-1.7,-1.3,-2.1,0.6,0.3,0.8,-0.1,-0.2,0.7,0.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,134.0,114.0,20.0,48.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-09,104261,192679,101262.0,60309,183951.0,112729,78917,78.2,80.0,77.1,78.1,81.5,78.5,76.2,-3.4,-3.2,-3.2,-6.5,-3.6,-2.9,-3.9,0.1,0.4,0.0,-0.6,0.5,0.0,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,130.0,110.0,20.0,46.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/middlesbrough/month/2020-10,105451,195039,102599.0,60716,184842.0,113971,79854,79.1,81.0,78.1,78.6,81.9,79.3,77.1,-0.7,-0.2,-0.5,-4.2,-1.1,-0.5,-1.0,1.1,1.2,1.3,0.7,0.5,1.1,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/middlesbrough,187.0,167.0,20.0,60.0,123.0
