_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-01,214683,371274,187116.0,130387,296625.0,221612,177820,82.3,81.9,81.9,84.2,84.0,81.3,81.6,-2.1,-0.8,-2.4,-4.5,-1.2,-1.8,-2.0,-1.4,-0.9,-1.7,-1.8,-0.7,-1.6,-1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,147.0,125.0,22.0,35.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-02,220040,382398,190971.0,132836,306836.0,227457,182193,84.3,84.3,83.6,85.8,86.9,83.5,83.6,0.3,1.6,0.2,-2.2,0.6,0.8,0.6,2.5,3.0,2.1,1.9,3.4,2.6,2.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,113.0,92.0,21.0,26.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-03,225219,392103,194619.0,136103,317240.0,232731,186275,86.3,86.5,85.2,87.9,89.8,85.4,85.5,1.3,2.0,1.1,-0.1,1.7,1.7,1.6,2.4,2.5,1.9,2.5,3.4,2.3,2.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,111.0,74.0,37.0,18.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-04,225133,392918,194310.0,135155,318335.0,232509,186567,86.3,86.6,85.1,87.3,90.2,85.3,85.6,1.7,3.1,1.5,-0.1,2.2,1.9,1.8,0.0,0.2,-0.2,-0.7,0.3,-0.1,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,51.0,42.0,9.0,6.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-05,222709,388448,191670.0,133633,317662.0,229845,184798,85.4,85.7,83.9,86.3,90.0,84.3,84.8,1.1,2.9,0.3,-0.9,3.4,1.3,1.1,-1.1,-1.1,-1.4,-1.1,-0.2,-1.1,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,73.0,70.0,3.0,12.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-06,218700,381431,188613.0,130361,309998.0,226393,181834,83.8,84.1,82.6,84.2,87.8,83.1,83.5,1.3,4.0,0.2,-2.1,3.9,1.7,1.1,-1.8,-1.8,-1.6,-2.4,-2.4,-1.5,-1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,76.0,61.0,15.0,11.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-07,224898,392096,194420.0,134819,316417.0,232718,186479,86.2,86.5,85.1,87.1,89.6,85.4,85.6,2.9,5.3,2.2,0.1,4.4,3.5,2.6,2.8,2.8,3.1,3.4,2.1,2.8,2.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,104.0,72.0,32.0,18.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-08,222232,385704,192679.0,133382,309833.0,230400,184715,85.2,85.1,84.4,86.2,87.7,84.5,84.8,1.8,3.6,1.3,-1.1,2.5,2.7,1.9,-1.2,-1.6,-0.9,-1.1,-2.1,-1.0,-0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,130.0,96.0,34.0,25.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-09,225753,390002,195683.0,135799,314981.0,234059,188217,86.5,86.0,85.7,87.7,89.2,85.9,86.4,5.5,6.5,5.3,3.1,5.7,6.6,5.8,1.6,1.1,1.6,1.8,1.7,1.6,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,195.0,164.0,31.0,34.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-10,223052,382224,194001.0,134343,307946.0,231831,186946,85.5,84.3,85.0,86.8,87.2,85.1,85.8,3.5,3.9,3.5,1.5,3.0,4.5,4.4,-1.2,-2.0,-0.9,-1.1,-2.2,-1.0,-0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,260.0,212.0,48.0,42.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-11,231309,397569,201672.0,139168,316966.0,239954,193664,88.7,87.7,88.3,89.9,89.8,88.0,88.9,7.5,8.0,7.5,5.6,6.8,8.1,8.4,3.7,4.0,4.0,3.6,2.9,3.5,3.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,216.0,170.0,46.0,35.0,181.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2020-12,231657,400178,202205.0,138860,316326.0,239963,193633,88.8,88.3,88.5,89.7,89.6,88.0,88.9,6.4,6.8,6.2,4.5,5.9,6.6,7.3,0.2,0.7,0.3,-0.2,-0.2,0.0,0.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,258.0,205.0,53.0,40.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-01,229924,395940,201223.0,138892,311428.0,237873,192047,88.1,87.3,88.1,89.7,88.2,87.3,88.2,7.1,6.6,7.5,6.5,5.0,7.3,8.0,-0.7,-1.1,-0.5,0.0,-1.5,-0.9,-0.8,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,121.0,101.0,20.0,34.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-02,230108,395153,201440.0,139701,311403.0,238001,192254,88.2,87.1,88.2,90.3,88.2,87.3,88.3,4.6,3.3,5.5,5.2,1.5,4.6,5.5,0.1,-0.2,0.1,0.6,0.0,0.1,0.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,128.0,88.0,40.0,27.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-03,229400,390612,200961.0,140528,309765.0,237444,192082,87.9,86.1,88.0,90.8,87.7,87.1,88.2,1.9,-0.4,3.3,3.3,-2.4,2.0,3.1,-0.3,-1.1,-0.2,0.6,-0.5,-0.2,-0.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,248.0,177.0,71.0,47.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-04,237510,405641,207384.0,145155,323977.0,245840,198675,91.0,89.5,90.8,93.8,91.7,90.2,91.2,5.5,3.2,6.7,7.4,1.8,5.7,6.5,3.5,3.8,3.2,3.3,4.6,3.5,3.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,129.0,78.0,51.0,26.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-05,237457,404616,207374.0,145171,323725.0,246034,198861,91.0,89.2,90.8,93.8,91.7,90.3,91.3,6.6,4.2,8.2,8.6,1.9,7.0,7.6,0.0,-0.3,0.0,0.0,-0.1,0.1,0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,161.0,121.0,40.0,28.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-06,244243,416176,214005.0,149607,329675.0,252126,204698,93.6,91.8,93.7,96.7,93.4,92.5,94.0,11.7,9.1,13.5,14.8,6.3,11.4,12.6,2.9,2.9,3.2,3.1,1.8,2.5,2.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,228.0,160.0,68.0,41.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-07,246410,422308,215407.0,149606,335049.0,255403,206263,94.5,93.1,94.3,96.7,94.9,93.7,94.7,9.6,7.7,10.8,11.0,5.9,9.7,10.6,0.9,1.5,0.7,0.0,1.6,1.3,0.8,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,197.0,161.0,36.0,29.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-08,249661,428440,218699.0,151601,337357.0,259228,208549,95.7,94.5,95.8,97.9,95.5,95.1,95.7,12.3,11.1,13.5,13.7,8.9,12.5,12.9,1.3,1.5,1.5,1.3,0.7,1.5,1.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,173.0,125.0,48.0,33.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-09,251051,432467,219719.0,151772,340146.0,261563,209244,96.2,95.4,96.2,98.1,96.3,96.0,96.1,11.2,10.9,12.3,11.8,8.0,11.8,11.2,0.6,0.9,0.5,0.1,0.8,0.9,0.3,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,155.0,121.0,34.0,24.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-10,251971,432964,221915.0,153535,334692.0,261880,209658,96.6,95.5,97.2,99.2,94.8,96.1,96.3,13.0,13.3,14.4,14.3,8.7,13.0,12.1,0.4,0.1,1.0,1.2,-1.6,0.1,0.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,184.0,149.0,35.0,41.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-11,252146,435624,221724.0,153343,336543.0,261681,209282,96.7,96.1,97.1,99.1,95.3,96.0,96.1,9.0,9.6,9.9,10.2,6.2,9.1,8.1,0.1,0.6,-0.1,-0.1,0.6,-0.1,-0.2,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,166.0,113.0,53.0,41.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2021-12,251303,434604,221373.0,152932,333625.0,260829,208310,96.3,95.8,96.9,98.8,94.5,95.7,95.6,8.5,8.6,9.5,10.1,5.5,8.7,7.6,-0.3,-0.2,-0.2,-0.3,-0.9,-0.3,-0.5,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,174.0,109.0,65.0,35.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-01,250074,433852,220118.0,151586,332793.0,259574,207256,95.9,95.7,96.4,97.9,94.2,95.2,95.1,8.8,9.6,9.4,9.1,6.9,9.1,7.9,-0.5,-0.2,-0.6,-0.9,-0.2,-0.5,-0.5,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,127.0,103.0,24.0,20.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-02,249395,432667,219212.0,150711,333377.0,259480,206817,95.6,95.4,96.0,97.4,94.4,95.2,94.9,8.4,9.5,8.8,7.9,7.1,9.0,7.6,-0.3,-0.3,-0.4,-0.6,0.2,0.0,-0.2,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,103.0,73.0,30.0,17.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-03,251221,437600,219924.0,151032,339996.0,261873,208084,96.3,96.5,96.3,97.6,96.3,96.1,95.5,9.5,12.0,9.4,7.5,9.8,10.3,8.3,0.7,1.1,0.3,0.2,2.0,0.9,0.6,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,146.0,101.0,45.0,35.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-04,252570,439348,220972.0,151565,342451.0,263103,209776,96.8,96.9,96.8,97.9,97.0,96.5,96.3,6.3,8.3,6.6,4.4,5.7,7.0,5.6,0.5,0.4,0.5,0.4,0.7,0.5,0.8,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,179.0,108.0,71.0,31.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-05,255157,442081,223887.0,153531,342859.0,265718,212406,97.8,97.5,98.0,99.2,97.1,97.5,97.5,7.5,9.3,8.0,5.8,5.9,8.0,6.8,1.0,0.6,1.3,1.3,0.1,1.0,1.3,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,177.0,125.0,52.0,39.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-06,259563,451055,227994.0,156018,347626.0,269515,216047,99.5,99.5,99.8,100.8,98.4,98.9,99.2,6.3,8.4,6.5,4.3,5.4,6.9,5.5,1.7,2.0,1.8,1.6,1.4,1.4,1.7,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,176.0,118.0,58.0,40.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-07,262060,453134,230331.0,157494,350288.0,272890,218720,100.5,99.9,100.9,101.8,99.2,100.1,100.4,6.4,7.3,6.9,5.3,4.5,6.8,6.0,1.0,0.5,1.0,0.9,0.8,1.3,1.2,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,189.0,121.0,68.0,31.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-08,264591,457158,232527.0,158573,353807.0,275467,221372,101.4,100.8,101.8,102.5,100.2,101.1,101.6,6.0,6.7,6.3,4.6,4.9,6.3,6.1,1.0,0.9,1.0,0.7,1.0,0.9,1.2,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,169.0,130.0,39.0,35.0,134.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-09,269819,462630,237548.0,161871,358788.0,281907,226627,103.4,102.0,104.0,104.6,101.6,103.4,104.0,7.5,7.0,8.1,6.7,5.5,7.8,8.3,2.0,1.2,2.2,2.1,1.4,2.3,2.4,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,184.0,119.0,65.0,29.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-10,270361,465301,238168.0,161976,358841.0,282097,226699,103.6,102.6,104.3,104.7,101.6,103.5,104.1,7.3,7.5,7.3,5.5,7.2,7.7,8.1,0.2,0.6,0.3,0.1,0.0,0.1,0.0,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,158.0,110.0,48.0,33.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-11,269971,466337,237460.0,161055,360047.0,281813,226112,103.5,102.8,104.0,104.1,102.0,103.4,103.8,7.1,7.1,7.1,5.0,7.0,7.7,8.0,-0.1,0.2,-0.3,-0.6,0.3,-0.1,-0.3,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,175.0,121.0,54.0,40.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2022-12,264312,458035,232358.0,157533,353078.0,275445,221088,101.3,101.0,101.7,101.8,100.0,101.1,101.5,5.2,5.4,5.0,3.0,5.8,5.6,6.1,-2.1,-1.8,-2.1,-2.2,-1.9,-2.3,-2.2,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,176.0,101.0,75.0,40.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-01,260870,453456,228368.0,154777,353113.0,272538,217826,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,4.5,3.7,2.1,6.1,5.0,5.1,-1.3,-1.0,-1.7,-1.7,0.0,-1.1,-1.5,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,119.0,82.0,37.0,23.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-02,263478,460132,229794.0,156016,360536.0,275338,219258,101.0,101.5,100.6,100.8,102.1,101.0,100.7,5.6,6.3,4.8,3.5,8.1,6.1,6.0,1.0,1.5,0.6,0.8,2.1,1.0,0.7,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,109.0,82.0,27.0,22.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-03,262855,460967,227743.0,155211,366379.0,275592,217702,100.8,101.7,99.7,100.3,103.8,101.1,99.9,4.6,5.3,3.6,2.8,7.8,5.2,4.6,-0.2,0.2,-0.9,-0.5,1.6,0.1,-0.7,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,153.0,109.0,44.0,49.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-04,265900,465255,229892.0,157098,372448.0,279404,220277,101.9,102.6,100.7,101.5,105.5,102.5,101.1,5.3,5.9,4.0,3.7,8.8,6.2,5.0,1.2,0.9,0.9,1.2,1.7,1.4,1.2,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,122.0,83.0,39.0,22.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-05,266194,464095,230075.0,157909,373120.0,279814,220587,102.0,102.3,100.7,102.0,105.7,102.7,101.3,4.3,5.0,2.8,2.9,8.8,5.3,3.9,0.1,-0.2,0.1,0.5,0.2,0.1,0.1,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,124.0,87.0,37.0,28.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/midlothian/month/2023-06,265594,459262,230639.0,158222,368298.0,278886,221295,101.8,101.3,101.0,102.2,104.3,102.3,101.6,2.3,1.8,1.2,1.4,5.9,3.5,2.4,-0.2,-1.0,0.2,0.2,-1.3,-0.3,0.3,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/midlothian,198.0,118.0,80.0,43.0,155.0
