_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-01,262513,443382,247470.0,146279,389407.0,259221,213589,81.5,81.5,80.7,84.6,83.7,81.1,80.1,0.1,0.1,0.1,-1.1,0.1,0.5,0.6,-0.7,-0.6,-0.9,-1.0,-0.1,-0.7,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,304.0,258.0,46.0,61.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-02,262381,443475,247000.0,145764,392608.0,259126,213772,81.5,81.5,80.5,84.3,84.4,81.1,80.2,0.6,0.6,0.9,-1.2,-0.4,1.0,1.4,-0.1,0.0,-0.2,-0.4,0.8,0.0,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,328.0,264.0,64.0,55.0,267.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-03,266146,450354,249792.0,147706,403989.0,262967,216657,82.7,82.8,81.4,85.5,86.8,82.3,81.2,2.8,2.7,2.9,1.3,2.7,3.2,3.5,1.4,1.6,1.1,1.3,2.9,1.5,1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,290.0,200.0,90.0,48.0,222.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-04,266460,452233,249944.0,146951,405303.0,263278,217208,82.8,83.2,81.5,85.0,87.1,82.4,81.5,3.0,3.4,3.1,1.0,2.8,3.3,3.6,0.1,0.4,0.1,-0.5,0.3,0.1,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,110.0,99.0,11.0,17.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-05,264829,449232,247650.0,146263,407238.0,262047,215416,82.3,82.6,80.7,84.6,87.5,82.0,80.8,1.9,2.5,1.5,0.4,3.9,2.3,2.0,-0.6,-0.7,-0.9,-0.5,0.5,-0.5,-0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,164.0,148.0,16.0,32.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-06,258595,438040,242472.0,142518,393961.0,256091,210835,80.3,80.5,79.0,82.5,84.6,80.2,79.1,-1.0,-0.5,-1.4,-2.8,0.8,-0.5,-0.9,-2.4,-2.5,-2.1,-2.6,-3.3,-2.3,-2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,233.0,197.0,36.0,35.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-07,263670,445221,247810.0,146119,398302.0,260865,215086,81.9,81.9,80.8,84.5,85.6,81.6,80.7,-1.3,-1.1,-1.3,-2.5,-0.6,-0.8,-1.1,2.0,1.6,2.2,2.5,1.1,1.9,2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,269.0,209.0,60.0,49.0,207.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-08,267921,453377,252265.0,147560,402043.0,264937,219171,83.2,83.4,82.2,85.4,86.4,82.9,82.2,1.3,1.7,1.4,-0.4,1.4,1.8,1.7,1.6,1.8,1.8,1.0,0.9,1.6,1.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,232.0,183.0,49.0,32.0,192.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-09,272277,462607,255963.0,149279,410855.0,269102,222599,84.6,85.1,83.4,86.4,88.3,84.2,83.5,3.0,3.8,3.1,0.9,3.0,3.6,3.2,1.6,2.0,1.5,1.2,2.2,1.6,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,321.0,259.0,62.0,50.0,264.0
http://landregistry.data.gov.uk/data/ukhpi/region/milton-keynes/month/2020-10,269523,459450,253871.0,146862,403873.0,266302,220601,83.7,84.5,82.7,85.0,86.8,83.3,82.7,2.7,4.0,3.0,0.0,2.3,3.1,3.0,-1.0,-0.7,-0.8,-1.6,-1.7,-1.0,-0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/milton-keynes,415.0,336.0,79.0,66.0,329.0
