_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-01,264795,395571,260227.0,132900,320932.0,235127,184160,82.1,82.1,81.2,85.9,84.9,81.9,81.2,1.7,1.5,1.8,0.4,1.2,2.3,2.1,0.7,0.7,0.6,0.4,1.5,0.6,0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,103.0,93.0,10.0,30.0,69.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-02,263768,393991,259275.0,131982,322609.0,233998,183830,81.7,81.8,80.9,85.3,85.3,81.5,81.0,0.5,0.2,0.7,-1.6,-0.8,1.0,1.2,-0.4,-0.4,-0.4,-0.7,0.5,-0.5,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,93.0,80.0,13.0,32.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-03,267551,400182,262749.0,133459,332262.0,237143,186289,82.9,83.1,82.0,86.3,87.9,82.6,82.1,4.1,3.9,4.3,1.8,4.1,4.5,4.8,1.4,1.6,1.3,1.1,3.0,1.3,1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,88.0,75.0,13.0,27.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-04,268237,401789,263304.0,132491,333971.0,237581,186887,83.1,83.4,82.1,85.6,88.3,82.7,82.4,6.1,6.3,6.3,2.8,6.2,6.3,6.5,0.3,0.4,0.2,-0.7,0.5,0.2,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,37.0,28.0,9.0,13.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-05,260308,389408,254933.0,129198,328238.0,230929,181255,80.7,80.8,79.5,83.5,86.8,80.4,79.9,1.3,1.6,1.1,-1.2,3.9,1.4,1.3,-3.0,-3.1,-3.2,-2.5,-1.7,-2.8,-3.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,33.0,28.0,5.0,10.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-06,260841,389490,255908.0,129246,325772.0,231794,182097,80.8,80.8,79.8,83.5,86.2,80.7,80.3,-0.9,-0.8,-1.0,-3.4,1.5,-0.6,-0.7,0.2,0.0,0.4,0.0,-0.8,0.4,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,70.0,58.0,12.0,16.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-07,263175,392596,258631.0,131165,325600.0,233938,183730,81.6,81.5,80.7,84.8,86.1,81.5,81.0,-0.9,-0.9,-0.8,-3.0,0.0,-0.5,-0.7,0.9,0.8,1.1,1.5,-0.1,0.9,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,59.0,56.0,3.0,26.0,32.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-08,279639,417954,275268.0,138342,342734.0,248160,195235,86.7,86.7,85.9,89.4,90.7,86.4,86.1,6.6,6.5,6.8,4.0,6.8,7.0,6.9,6.3,6.5,6.4,5.5,5.3,6.1,6.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,79.0,75.0,4.0,24.0,52.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-09,274161,410972,269686.0,134856,337319.0,242789,190966,85.0,85.3,84.1,87.2,89.2,84.6,84.2,4.4,4.7,4.7,1.1,4.2,4.8,4.3,-2.0,-1.7,-2.0,-2.5,-1.6,-2.2,-2.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,76.0,69.0,7.0,27.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-10,274921,412900,270841.0,133859,335434.0,243203,191519,85.2,85.7,84.5,86.5,88.7,84.7,84.4,5.6,6.1,6.0,1.3,5.1,5.7,5.6,0.3,0.5,0.4,-0.7,-0.6,0.2,0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,106.0,104.0,2.0,32.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-11,271406,407768,267908.0,131775,327529.0,239803,189381,84.1,84.6,83.6,85.2,86.6,83.5,83.5,2.6,3.2,3.1,-1.6,1.8,2.4,3.0,-1.3,-1.2,-1.1,-1.6,-2.4,-1.4,-1.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,128.0,124.0,4.0,40.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2020-12,281934,423490,278667.0,136777,337742.0,248873,197124,87.4,87.9,86.9,88.4,89.3,86.7,86.9,7.2,7.8,7.7,3.3,6.9,6.5,7.8,3.9,3.9,4.0,3.8,3.1,3.8,4.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,150.0,147.0,3.0,63.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-01,286024,427713,283197.0,140928,339379.0,252883,200713,88.6,88.8,88.3,91.1,89.8,88.1,88.5,8.0,8.1,8.8,6.0,5.7,7.6,9.0,1.5,1.0,1.6,3.0,0.5,1.6,1.8,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,94.0,90.0,4.0,34.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-02,281482,418998,278721.0,140390,334145.0,249386,198336,87.2,87.0,86.9,90.7,88.4,86.9,87.4,6.7,6.3,7.5,6.4,3.6,6.6,7.9,-1.6,-2.0,-1.6,-0.4,-1.5,-1.4,-1.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,146.0,134.0,12.0,43.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-03,278253,411996,275493.0,141104,330986.0,247008,196971,86.2,85.5,85.9,91.2,87.5,86.0,86.8,4.0,3.0,4.9,5.7,-0.4,4.2,5.7,-1.1,-1.7,-1.2,0.5,-0.9,-1.0,-0.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,228.0,182.0,46.0,97.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-04,274051,405854,270827.0,138406,330147.0,243168,194203,84.9,84.2,84.5,89.5,87.3,84.7,85.6,2.2,1.0,2.9,4.5,-1.1,2.4,3.9,-1.5,-1.5,-1.7,-1.9,-0.3,-1.6,-1.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,160.0,141.0,19.0,59.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-05,277354,411221,274080.0,139452,334215.0,245895,196462,86.0,85.4,85.5,90.1,88.4,85.6,86.6,6.5,5.6,7.5,7.9,1.8,6.5,8.4,1.2,1.3,1.2,0.8,1.2,1.1,1.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,134.0,120.0,14.0,33.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-06,277862,411447,275068.0,139863,330889.0,246149,197521,86.1,85.4,85.8,90.4,87.5,85.7,87.1,6.5,5.6,7.5,8.2,1.6,6.2,8.5,0.2,0.1,0.4,0.3,-1.0,0.1,0.5,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,325.0,283.0,42.0,113.0,212.0
http://landregistry.data.gov.uk/data/ukhpi/region/monmouthshire/month/2021-07,279886,414458,276980.0,140179,334070.0,248378,198717,86.7,86.0,86.4,90.6,88.4,86.5,87.6,6.3,5.6,7.1,6.9,2.6,6.2,8.2,0.7,0.7,0.7,0.2,1.0,0.9,0.6,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/monmouthshire,106.0,95.0,11.0,32.0,73.0
