_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-01,145539,224660,141270.0,84483,183463.0,141544,110691,76.3,75.6,76.0,78.2,78.5,76.8,76.0,-1.0,-0.3,-1.0,-3.4,-0.3,-0.7,-1.0,-1.8,-1.5,-1.9,-2.0,-0.9,-1.9,-1.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,127.0,122.0,5.0,46.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-02,142413,220474,137908.0,82408,181870.0,138344,108136,74.7,74.2,74.2,76.3,77.8,75.1,74.3,-3.0,-2.1,-3.0,-5.7,-2.9,-2.9,-2.9,-2.1,-1.9,-2.4,-2.5,-0.9,-2.3,-2.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,99.0,89.0,10.0,41.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-03,144843,223844,139926.0,84312,187474.0,140739,109911,76.0,75.3,75.3,78.0,80.2,76.4,75.5,-0.2,0.1,-0.3,-1.6,0.2,-0.2,0.0,1.7,1.5,1.5,2.3,3.1,1.7,1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,90.0,71.0,19.0,26.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-04,153122,236795,147838.0,88576,199002.0,148694,116538,80.3,79.6,79.6,82.0,85.1,80.7,80.1,2.1,2.8,2.0,0.3,2.7,2.0,2.3,5.7,5.8,5.7,5.1,6.1,5.7,6.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,41.0,40.0,1.0,7.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-05,151901,234175,146486.0,88068,199013.0,147687,115894,79.7,78.8,78.8,81.5,85.2,80.1,79.6,-0.7,-0.1,-1.1,-2.4,1.5,-0.8,-0.8,-0.8,-1.1,-0.9,-0.6,0.0,-0.7,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,41.0,39.0,2.0,11.0,30.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-06,154100,238108,148807.0,88584,200069.0,149907,117584,80.8,80.1,80.1,82.0,85.6,81.4,80.8,-0.6,0.8,-1.0,-3.7,1.8,-0.7,-1.0,1.4,1.7,1.6,0.6,0.5,1.5,1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,69.0,66.0,3.0,23.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-07,149266,231200,144324.0,86138,192067.0,144954,113449,78.3,77.8,77.7,79.7,82.2,78.7,77.9,-1.2,0.4,-1.5,-4.1,0.0,-1.4,-1.9,-3.1,-2.9,-3.0,-2.8,-4.0,-3.3,-3.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,129.0,109.0,20.0,49.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-08,151674,234286,146836.0,87464,193465.0,147633,115533,79.6,78.8,79.0,81.0,82.8,80.1,79.4,3.3,4.5,3.1,0.1,3.9,3.5,2.8,1.6,1.3,1.7,1.5,0.7,1.8,1.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,128.0,107.0,21.0,54.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-09,152384,234133,147450.0,88119,195027.0,148730,116535,79.9,78.7,79.4,81.6,83.4,80.7,80.1,3.9,4.3,3.8,1.3,4.1,4.6,3.8,0.5,-0.1,0.4,0.7,0.8,0.7,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,174.0,144.0,30.0,78.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/moray/month/2020-10,154856,236900,150099.0,89496,195862.0,151466,118988,81.2,79.7,80.8,82.8,83.8,82.2,81.7,4.3,4.4,4.3,2.0,3.8,4.8,4.8,1.6,1.2,1.8,1.6,0.4,1.8,2.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/moray,234.0,219.0,15.0,87.0,147.0
