_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-01,120307,150105,120263.0,63778,107411.0,99585,75536,86.0,85.3,85.9,87.4,87.5,86.5,86.3,6.2,6.7,6.2,3.6,4.7,6.3,5.8,3.5,3.7,3.5,3.1,4.4,3.3,3.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,17.0,17.0,8.0,9.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-02,125168,156510,125141.0,66193,110714.0,103273,78323,89.5,89.0,89.4,90.7,90.1,89.8,89.5,14.4,15.1,14.4,11.1,9.5,14.1,13.7,4.0,4.3,4.1,3.8,3.1,3.7,3.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,24.0,22.0,10.0,14.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-03,111969,139974,111955.0,59478,98762.0,92511,69930,80.0,79.6,80.0,81.5,80.4,80.4,79.9,-6.0,-5.6,-6.0,-7.6,-10.4,-6.1,-6.5,-10.5,-10.6,-10.5,-10.1,-10.8,-10.4,-10.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,17.0,17.0,12.0,5.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-04,126976,158798,126984.0,66946,109606.0,104820,79496,90.7,90.3,90.7,91.7,89.2,91.1,90.8,13.9,14.5,14.0,11.2,5.9,13.5,13.3,13.4,13.4,13.4,12.6,11.0,13.3,13.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,11.0,11.0,6.0,5.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-05,118382,147738,118366.0,62677,104484.0,98106,74210,84.6,84.0,84.6,85.9,85.1,85.3,84.8,0.4,0.9,0.5,-1.7,-2.6,0.4,-0.4,-6.8,-7.0,-6.8,-6.4,-4.7,-6.4,-6.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,7.0,7.0,3.0,4.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-06,129535,161901,129528.0,68116,113356.0,107116,81178,92.6,92.0,92.5,93.3,92.3,93.1,92.8,11.3,12.3,11.4,7.7,8.1,10.9,9.7,9.4,9.6,9.4,8.7,8.5,9.2,9.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,6.0,5.0,2.0,4.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-07,120011,150185,120004.0,63452,105039.0,99042,74902,85.8,85.4,85.7,86.9,85.5,86.1,85.6,2.5,3.5,2.5,-0.7,-1.3,1.9,0.4,-7.4,-7.2,-7.4,-6.8,-7.3,-7.5,-7.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,25.0,24.0,8.0,17.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-08,112932,141206,112925.0,59554,98883.0,93380,70600,80.7,80.3,80.7,81.6,80.5,81.2,80.7,-4.6,-3.8,-4.6,-7.8,-8.7,-5.0,-5.8,-5.9,-6.0,-5.9,-6.1,-5.9,-5.7,-5.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,19.0,19.0,12.0,7.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-09,124126,154820,124102.0,65378,110256.0,103086,77907,88.7,88.0,88.7,89.6,89.8,89.6,89.0,-1.8,-1.3,-1.7,-4.9,-4.7,-1.5,-2.6,9.9,9.6,9.9,9.8,11.5,10.4,10.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,28.0,28.0,14.0,14.0,
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-10,117043,145887,117042.0,61333,101955.0,97321,73668,83.6,82.9,83.6,84.0,83.0,84.6,84.2,-5.9,-5.5,-5.9,-9.2,-9.6,-5.8,-6.3,-5.7,-5.8,-5.7,-6.2,-7.5,-5.6,-5.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,36.0,35.0,13.0,23.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/na-h-eileanan-siar/month/2020-11,130663,163451,130694.0,68058,110718.0,108064,81890,93.4,92.9,93.4,93.2,90.1,93.9,93.6,6.6,7.4,6.7,3.1,0.8,6.3,5.5,11.6,12.0,11.7,11.0,8.6,11.0,11.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/na-h-eileanan-siar,36.0,35.0,15.0,21.0,1.0
