_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-01,111922,180467,111785.0,63136,204019.0,113321,92912,72.5,73.2,72.4,75.6,75.8,72.8,71.7,9.3,8.8,9.3,7.6,8.9,9.6,9.4,-1.0,-0.9,-1.0,-1.3,-0.2,-1.0,-1.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,122.0,122.0,40.0,81.0,
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-02,111659,180143,111437.0,63043,206139.0,112961,92751,72.4,73.1,72.2,75.5,76.6,72.5,71.6,10.1,9.5,10.2,8.4,8.7,10.4,10.4,-0.2,-0.2,-0.3,-0.1,1.0,-0.3,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,127.0,122.0,29.0,97.0,5.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-03,111962,180762,111635.0,63088,210346.0,113245,92995,72.6,73.3,72.3,75.6,78.1,72.7,71.8,9.1,8.5,9.1,7.6,9.2,9.3,9.5,0.3,0.3,0.2,0.1,2.0,0.3,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,134.0,126.0,31.0,102.0,8.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-04,112199,181283,111850.0,62885,211878.0,113378,93282,72.7,73.5,72.5,75.3,78.7,72.8,72.0,6.7,6.4,6.7,5.0,7.2,6.7,7.1,0.2,0.3,0.2,-0.3,0.7,0.1,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,65.0,64.0,19.0,44.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-05,113190,182854,112775.0,63315,216878.0,114421,94086,73.4,74.2,73.1,75.8,80.6,73.5,72.6,6.2,6.3,6.0,4.7,9.6,6.2,6.2,0.9,0.9,0.8,0.7,2.4,0.9,0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,78.0,77.0,24.0,53.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-06,112163,180986,111807.0,62578,212242.0,113462,93239,72.7,73.4,72.5,74.9,78.9,72.8,72.0,2.7,2.9,2.6,0.9,5.7,2.9,2.6,-0.9,-1.0,-0.9,-1.2,-2.1,-0.8,-0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,84.0,77.0,28.0,55.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-07,114240,184111,113933.0,63950,213369.0,115634,94953,74.1,74.7,73.8,76.6,79.3,74.2,73.3,5.5,5.6,5.4,3.8,6.7,5.8,5.2,1.9,1.7,1.9,2.2,0.5,1.9,1.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,90.0,90.0,32.0,57.0,
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-08,113059,182173,112812.0,62856,208342.0,114498,93962,73.3,73.9,73.1,75.3,77.4,73.5,72.5,3.2,3.2,3.1,1.2,3.2,3.6,2.9,-1.0,-1.1,-1.0,-1.7,-2.4,-1.0,-1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,118.0,116.0,39.0,78.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-09,113771,183750,113497.0,62731,210868.0,115072,94601,73.7,74.5,73.6,75.1,78.3,73.9,73.0,3.1,3.3,3.1,0.4,3.0,3.5,2.7,0.6,0.9,0.6,-0.2,1.2,0.5,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,132.0,131.0,30.0,101.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/neath-port-talbot/month/2020-10,116008,187902,115761.0,63503,213431.0,117196,96459,75.2,76.2,75.0,76.1,79.3,75.2,74.4,3.9,4.4,3.8,0.4,3.5,3.9,3.7,2.0,2.3,2.0,1.2,1.2,1.8,2.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/neath-port-talbot,217.0,207.0,66.0,149.0,10.0
