_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-01,156566,302767,149212.0,103275,260535.0,175671,151966,84.5,86.5,83.7,85.9,87.4,84.0,83.2,-0.1,0.5,-0.3,-2.4,1.1,0.8,0.6,-0.2,0.2,-0.2,-0.4,0.7,-0.1,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,289.0,235.0,54.0,101.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-02,153816,297432,146516.0,101481,258808.0,172628,149309,83.1,84.9,82.2,84.4,86.8,82.5,81.8,0.3,0.5,0.4,-1.9,0.4,1.2,1.2,-1.8,-1.8,-1.8,-1.7,-0.7,-1.7,-1.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,220.0,197.0,23.0,61.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-03,152188,294451,144815.0,100502,259377.0,170799,147647,82.2,84.1,81.3,83.6,87.0,81.7,80.9,0.1,-0.1,0.2,-1.5,0.4,0.7,0.8,-1.1,-1.0,-1.2,-1.0,0.2,-1.1,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,296.0,215.0,81.0,105.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-04,152894,297327,145350.0,100259,262083.0,171714,148614,82.6,84.9,81.6,83.4,87.9,82.1,81.4,0.2,0.7,0.2,-1.9,0.5,0.9,0.9,0.5,1.0,0.4,-0.2,1.0,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,97.0,88.0,9.0,21.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-05,153434,300060,145536.0,100290,266543.0,172697,148805,82.8,85.7,81.7,83.4,89.4,82.6,81.5,1.2,2.7,0.9,-0.9,4.1,2.1,1.4,0.4,0.9,0.1,0.0,1.7,0.6,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,132.0,122.0,10.0,32.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-06,156399,304324,148596.0,102131,269074.0,176212,151988,84.5,86.9,83.4,84.9,90.2,84.2,83.2,1.9,3.2,1.6,-0.6,4.9,3.1,2.1,1.9,1.4,2.1,1.8,0.9,2.0,2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,229.0,187.0,42.0,66.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-07,159199,307186,151576.0,104682,270391.0,179039,154803,86.0,87.7,85.1,87.1,90.7,85.6,84.8,2.3,3.0,2.3,0.4,4.0,3.4,2.6,1.8,0.9,2.0,2.5,0.5,1.6,1.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,290.0,253.0,37.0,73.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-08,161951,311369,154444.0,106177,272378.0,182012,158132,87.4,88.9,86.7,88.3,91.3,87.0,86.6,0.1,0.5,0.2,-2.0,1.1,1.2,0.6,1.7,1.4,1.9,1.4,0.7,1.7,2.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,307.0,269.0,38.0,85.0,220.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-09,164579,317690,156848.0,107579,277882.0,184798,160857,88.9,90.7,88.0,89.5,93.2,88.3,88.1,-1.2,-0.6,-1.2,-3.6,-0.5,-0.1,-0.8,1.6,2.0,1.6,1.3,2.0,1.5,1.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,280.0,254.0,26.0,71.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/newcastle-upon-tyne/month/2020-10,163889,316401,156369.0,106863,274827.0,184061,160408,88.5,90.4,87.8,88.9,92.1,88.0,87.8,-0.8,-0.2,-0.7,-3.0,-0.5,0.0,-0.2,-0.4,-0.4,-0.3,-0.7,-1.1,-0.4,-0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/newcastle-upon-tyne,389.0,348.0,41.0,97.0,283.0
