_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-01,382047,672283,375576.0,338384,388321.0,457555,414649,90.0,86.4,88.0,93.6,94.6,85.9,85.6,2.1,2.6,2.4,1.3,1.2,3.7,3.4,1.3,1.5,1.0,1.3,1.7,1.1,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,130.0,117.0,13.0,23.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-02,387885,686310,380845.0,342882,394927.0,466407,422184,91.4,88.2,89.2,94.8,96.2,87.5,87.1,2.1,4.0,3.2,0.8,0.1,4.7,4.5,1.5,2.1,1.4,1.3,1.7,1.9,1.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,115.0,91.0,24.0,14.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-03,386671,682185,378147.0,342029,396517.0,464764,420237,91.1,87.7,88.6,94.6,96.6,87.2,86.7,0.9,2.6,1.6,-0.4,-0.6,3.1,3.0,-0.3,-0.6,-0.7,-0.2,0.4,-0.4,-0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,135.0,111.0,24.0,19.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-04,383751,676717,375385.0,338938,393324.0,462367,418100,90.4,87.0,87.9,93.7,95.8,86.8,86.3,0.1,1.8,1.0,-1.2,-1.5,2.6,2.4,-0.8,-0.8,-0.7,-0.9,-0.8,-0.5,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,63.0,51.0,12.0,18.0,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-05,390966,686862,379682.0,347166,406507.0,466869,422175,92.1,88.3,88.9,96.0,99.0,87.6,87.1,1.6,2.7,1.3,1.1,2.2,2.9,2.4,1.9,1.5,1.1,2.4,3.4,1.0,1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,75.0,63.0,12.0,5.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-06,397332,699491,387083.0,352347,410614.0,475428,430016,93.6,89.9,90.7,97.4,100.0,89.2,88.7,5.8,7.0,5.4,5.3,6.4,7.1,6.5,1.6,1.8,1.9,1.5,1.0,1.8,1.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,102.0,68.0,34.0,15.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-07,397626,699753,388698.0,352172,408111.0,476547,431239,93.7,89.9,91.1,97.4,99.4,89.4,89.0,5.8,7.5,6.0,5.1,5.5,7.6,6.9,0.1,0.0,0.4,0.0,-0.6,0.2,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,168.0,83.0,85.0,37.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-08,390322,687764,383963.0,343711,395555.0,471584,427442,92.0,88.4,89.9,95.0,96.3,88.5,88.2,3.1,5.0,3.6,2.2,2.0,5.1,4.7,-1.8,-1.7,-1.2,-2.4,-3.1,-1.0,-0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,180.0,91.0,89.0,33.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-09,386132,680309,379829.0,339471,391335.0,466902,424047,91.0,87.4,89.0,93.9,95.3,87.6,87.5,0.2,2.5,0.9,-1.1,-1.4,2.8,2.2,-1.1,-1.1,-1.1,-1.2,-1.1,-1.0,-0.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,199.0,113.0,86.0,37.0,156.0
http://landregistry.data.gov.uk/data/ukhpi/region/newham/month/2020-10,391311,694461,386488.0,342895,393386.0,474859,432094,92.2,89.2,90.5,94.8,95.8,89.1,89.2,1.4,4.4,2.4,0.1,-0.6,3.8,3.7,1.3,2.1,1.8,1.0,0.5,1.7,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/newham,189.0,94.0,95.0,42.0,137.0
