_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-01,174663,311598,171543.0,95779,283723.0,186587,141067,79.9,81.0,79.5,81.5,82.6,79.9,78.8,5.1,4.9,5.0,3.4,4.6,5.5,5.3,1.8,2.1,1.7,1.6,2.7,1.8,1.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,177.0,175.0,2.0,38.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-02,173633,309642,170280.0,95476,284191.0,185216,140333,79.4,80.5,78.9,81.2,82.8,79.3,78.4,3.4,3.0,3.6,1.5,2.0,3.8,3.9,-0.6,-0.6,-0.7,-0.3,0.2,-0.7,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,187.0,178.0,9.0,27.0,156.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-03,176456,315312,172720.0,97159,292038.0,188285,142384,80.7,81.9,80.1,82.7,85.1,80.6,79.5,4.1,3.7,4.2,2.9,3.5,4.5,4.7,1.6,1.8,1.4,1.8,2.8,1.7,1.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,173.0,155.0,18.0,38.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-04,175953,314894,172164.0,96259,292016.0,187559,142166,80.5,81.8,79.8,81.9,85.1,80.3,79.4,3.5,3.5,3.6,1.8,2.9,3.7,3.9,-0.3,-0.1,-0.3,-0.9,0.0,-0.4,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,63.0,61.0,2.0,15.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-05,177086,317380,172971.0,96660,297668.0,189044,142841,81.0,82.5,80.2,82.2,86.7,81.0,79.8,3.5,4.0,3.2,2.1,5.4,3.8,3.5,0.6,0.8,0.5,0.4,1.9,0.8,0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,80.0,78.0,2.0,11.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-06,177714,317752,173822.0,96845,295805.0,189889,143508,81.3,82.6,80.6,82.4,86.2,81.3,80.1,4.1,4.6,3.8,2.5,5.9,4.4,4.0,0.4,0.1,0.5,0.2,-0.6,0.4,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,116.0,115.0,1.0,16.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-07,178266,317757,174608.0,97694,293618.0,190615,143971,81.5,82.6,80.9,83.1,85.5,81.6,80.4,2.9,3.1,2.8,1.6,3.2,3.4,2.8,0.3,0.0,0.5,0.9,-0.7,0.4,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,127.0,121.0,6.0,28.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-08,177649,316982,174187.0,96819,290298.0,189978,143542,81.3,82.4,80.7,82.4,84.6,81.4,80.1,2.8,3.0,2.8,1.3,2.7,3.4,2.7,-0.3,-0.2,-0.2,-0.9,-1.1,-0.3,-0.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,108.0,97.0,11.0,22.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-09,177895,318710,174276.0,96361,292549.0,190114,143640,81.4,82.8,80.8,82.0,85.2,81.4,80.2,2.8,3.4,2.8,0.7,2.6,3.6,2.5,0.1,0.5,0.1,-0.5,0.8,0.1,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,140.0,124.0,16.0,29.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/newport/month/2020-10,178784,320998,175299.0,96336,292134.0,190962,144388,81.8,83.4,81.2,82.0,85.1,81.8,80.6,4.5,5.3,4.4,2.0,4.1,4.9,4.2,0.5,0.7,0.6,0.0,-0.1,0.4,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/newport,173.0,162.0,11.0,29.0,138.0
