_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-01,223356,323312,219115.0,125748,288731.0,210537,172273,79.3,79.1,78.8,83.5,81.1,79.1,78.4,-0.2,-0.3,-0.2,-2.3,-0.2,0.2,0.1,-0.6,-0.5,-0.7,-0.7,0.3,-0.6,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1075.0,999.0,76.0,432.0,622.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-02,224266,324549,219723.0,126555,293540.0,211172,173063,79.7,79.4,79.0,84.0,82.4,79.4,78.7,-0.1,-0.2,0.0,-2.3,-1.0,0.3,0.3,0.4,0.4,0.3,0.6,1.7,0.3,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1162.0,1045.0,117.0,421.0,712.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-03,224676,325327,219682.0,126866,299099.0,211468,173252,79.8,79.6,79.0,84.2,84.0,79.5,78.8,0.5,0.4,0.5,-1.1,0.9,1.0,0.9,0.2,0.2,0.0,0.2,1.9,0.1,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1099.0,936.0,163.0,403.0,663.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-04,224344,325896,219232.0,125100,299785.0,211263,172840,79.7,79.7,78.9,83.1,84.2,79.4,78.6,1.0,1.5,1.0,-2.1,1.5,1.5,1.0,-0.1,0.2,-0.2,-1.4,0.2,-0.1,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,478.0,404.0,74.0,162.0,302.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-05,223452,324050,217944.0,125227,302255.0,210783,171984,79.4,79.3,78.4,83.1,84.9,79.2,78.3,0.9,1.3,0.6,-1.1,3.8,1.4,0.6,-0.4,-0.6,-0.6,0.1,0.8,-0.2,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,601.0,533.0,68.0,208.0,380.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-06,223548,324199,218315.0,124630,299993.0,211224,172103,79.4,79.3,78.5,82.7,84.3,79.4,78.3,0.7,1.1,0.3,-1.7,3.7,1.2,0.5,0.0,0.0,0.2,-0.5,-0.7,0.2,0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,890.0,760.0,130.0,318.0,553.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-07,226091,327247,221180.0,126856,300027.0,213518,174274,80.3,80.0,79.6,84.2,84.3,80.3,79.3,1.6,1.7,1.4,0.2,3.7,2.0,1.4,1.1,0.9,1.3,1.8,0.0,1.1,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1074.0,966.0,108.0,394.0,662.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-08,228609,331964,224015.0,126191,300085.0,216022,176318,81.2,81.2,80.6,83.8,84.3,81.2,80.2,2.6,3.0,2.5,-0.3,4.0,3.3,2.4,1.1,1.4,1.3,-0.5,0.0,1.2,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1085.0,975.0,110.0,393.0,675.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-09,232242,338188,227458.0,127450,305856.0,219292,178838,82.5,82.7,81.8,84.6,85.9,82.4,81.4,3.8,4.6,3.8,0.1,4.9,4.6,3.2,1.6,1.9,1.5,1.0,1.9,1.5,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1241.0,1111.0,130.0,478.0,732.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-10,234633,342476,230174.0,128285,305816.0,221106,180613,83.3,83.8,82.8,85.2,85.9,83.1,82.2,4.1,5.3,4.2,-0.2,4.1,4.6,3.5,1.0,1.3,1.2,0.7,0.0,0.8,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1524.0,1393.0,131.0,569.0,917.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-11,236297,344704,232213.0,129711,304524.0,222018,182348,83.9,84.3,83.5,86.1,85.5,83.5,83.0,5.2,6.1,5.4,1.9,4.7,5.1,5.1,0.7,0.7,0.9,1.1,-0.4,0.4,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1560.0,1429.0,131.0,602.0,915.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2020-12,237061,345378,233348.0,130229,302263.0,222304,183655,84.2,84.5,83.9,86.5,84.9,83.6,83.6,5.5,6.3,5.8,2.8,5.0,5.0,6.0,0.3,0.2,0.5,0.4,-0.7,0.1,0.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1722.0,1556.0,166.0,643.0,1020.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2021-01,237274,344664,233742.0,130750,301009.0,222899,184167,84.3,84.3,84.1,86.8,84.5,83.8,83.8,6.2,6.6,6.7,4.0,4.3,5.9,6.9,0.1,-0.2,0.2,0.4,-0.4,0.3,0.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1486.0,1354.0,132.0,591.0,894.0
http://landregistry.data.gov.uk/data/ukhpi/region/norfolk/month/2021-02,238545,345110,235041.0,132683,302300.0,224252,185602,84.7,84.4,84.5,88.1,84.9,84.3,84.5,6.4,6.3,7.0,4.8,3.0,6.2,7.2,0.5,0.1,0.6,1.5,0.4,0.6,0.8,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/norfolk,1834.0,1691.0,143.0,739.0,1094.0
