_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-01,97799,190423,93230.0,65572,177514.0,111128,85844,78.8,77.5,78.7,80.6,81.0,78.7,77.6,-2.4,-1.2,-2.4,-4.4,-1.6,-1.6,-1.8,1.3,1.7,1.2,1.0,2.6,1.2,1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,176.0,157.0,19.0,74.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-02,98040,191493,93426.0,65550,180228.0,111408,86100,79.0,78.0,78.9,80.6,82.2,78.9,77.8,-0.7,0.7,-0.7,-2.9,-0.3,0.1,0.1,0.2,0.6,0.2,0.0,1.5,0.3,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,187.0,169.0,18.0,101.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-03,97802,190604,93164.0,65621,182007.0,110946,85844,78.8,77.6,78.7,80.7,83.0,78.6,77.6,-3.2,-2.6,-3.2,-4.3,-2.3,-2.9,-2.6,-0.2,-0.5,-0.3,0.1,1.0,-0.4,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,163.0,149.0,14.0,77.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-04,95157,185476,90639.0,63577,177424.0,107964,83896,76.6,75.5,76.6,78.2,80.9,76.5,75.8,-6.8,-5.8,-6.9,-8.1,-5.9,-6.7,-6.3,-2.7,-2.7,-2.7,-3.1,-2.5,-2.7,-2.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,69.0,66.0,3.0,26.0,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-05,97449,189173,92793.0,65211,183415.0,110633,86031,78.5,77.0,78.4,80.2,83.7,78.3,77.7,-6.5,-5.5,-6.6,-7.6,-3.5,-6.3,-6.1,2.4,2.0,2.4,2.6,3.4,2.5,2.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,78.0,76.0,2.0,30.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-06,99787,194483,95046.0,66313,186266.0,113661,88244,80.4,79.2,80.3,81.5,85.0,80.5,79.7,-4.1,-2.1,-4.2,-6.3,-0.3,-3.6,-3.7,2.4,2.8,2.4,1.7,1.6,2.7,2.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,107.0,101.0,6.0,43.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-07,102618,200444,97768.0,68449,190035.0,116633,90349,82.7,81.6,82.6,84.1,86.7,82.6,81.6,-0.1,2.2,-0.1,-2.1,2.8,0.5,0.1,2.8,3.1,2.9,3.2,2.0,2.6,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,147.0,127.0,20.0,64.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-08,101159,197501,96404.0,67371,185852.0,115108,89177,81.5,80.4,81.4,82.8,84.8,81.5,80.6,-1.3,0.8,-1.4,-3.6,0.9,-0.4,-0.9,-1.4,-1.5,-1.4,-1.6,-2.2,-1.3,-1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,170.0,150.0,20.0,79.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-09,102033,198282,97225.0,68052,188120.0,116122,90155,82.2,80.7,82.1,83.7,85.8,82.2,81.5,-1.1,0.3,-1.2,-3.2,0.3,0.0,-0.6,0.9,0.4,0.9,1.0,1.2,0.9,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,273.0,253.0,20.0,130.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-10,104611,202449,99726.0,69686,190340.0,119217,92789,84.3,82.4,84.2,85.7,86.8,84.4,83.9,2.8,3.8,2.8,0.8,3.3,3.7,3.8,2.5,2.1,2.6,2.4,1.2,2.7,2.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,334.0,311.0,23.0,152.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-11,107980,210176,102975.0,71859,194359.0,122624,95661,87.0,85.6,87.0,88.3,88.7,86.8,86.4,7.9,9.1,7.9,6.1,7.9,8.1,8.9,3.2,3.8,3.3,3.1,2.1,2.9,3.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,326.0,310.0,16.0,142.0,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2020-12,107661,210946,102690.0,71462,192741.0,121999,95261,86.7,85.9,86.7,87.8,87.9,86.4,86.1,11.5,12.6,11.5,10.1,11.4,11.1,12.4,-0.3,0.4,-0.3,-0.6,-0.8,-0.5,-0.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,273.0,263.0,10.0,125.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2021-01,107686,210268,102757.0,71957,190412.0,121522,95170,86.7,85.6,86.8,88.5,86.9,86.1,86.0,10.1,10.4,10.2,9.7,7.3,9.4,10.9,0.0,-0.3,0.1,0.7,-1.2,-0.4,-0.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,193.0,185.0,8.0,73.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-ayrshire/month/2021-02,105726,205886,100851.0,70815,186693.0,119052,93570,85.2,83.8,85.2,87.0,85.2,84.3,84.6,7.8,7.5,7.9,8.0,3.6,6.9,8.7,-1.8,-2.1,-1.9,-1.6,-2.0,-2.0,-1.7,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-ayrshire,154.0,143.0,11.0,68.0,86.0
