_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-01,120484,217776,116079.0,82103,212607.0,122604,125272,97977,79.9,80.6,78.9,83.6,83.2,81.3,79.8,78.4,1.5,1.3,1.1,-1.1,4.3,2.0,2.0,-1.5,-0.2,-2.4,-2.0,4.6,-1.4,-2.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2733.0,2414.0,319.0,850.0,1810.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-02,120149,215569,116540.0,82440,204139.0,122036,124566,98348,79.7,79.8,79.2,83.9,79.9,80.9,79.4,78.7,2.0,1.0,2.6,0.4,-1.7,2.3,2.9,-0.3,-1.0,0.4,0.4,-4.0,-0.6,0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2604.0,2350.0,254.0,849.0,1689.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-03,121391,219749,117307.0,82295,210611.0,123807,125945,98966,80.5,81.3,79.7,83.8,82.5,82.1,80.2,79.2,2.9,3.5,2.9,1.1,3.6,2.9,3.1,1.0,1.9,0.7,-0.2,3.2,1.1,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2623.0,2168.0,455.0,826.0,1697.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-04,116581,211097,112148.0,79314,207502.0,116168,120731,95119,77.3,78.1,76.2,80.8,81.2,77.0,76.9,76.1,-4.4,-3.8,-4.8,-4.9,-1.4,-4.2,-4.8,-4.0,-3.9,-4.4,-3.6,-1.5,-4.1,-3.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,1003.0,915.0,88.0,313.0,663.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-05,121101,219147,116633.0,82385,214114.0,120539,125720,98598,80.3,81.1,79.3,83.9,83.8,79.9,80.1,78.9,-0.7,0.6,-1.2,-1.8,2.9,-0.6,-1.3,3.9,3.8,4.0,3.9,3.2,4.1,3.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,1557.0,1462.0,95.0,523.0,1006.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-06,122678,219445,119150.0,83678,206903.0,121216,127331,100685,81.3,81.2,81.0,85.2,81.0,80.4,81.1,80.6,0.1,0.4,0.1,-2.0,0.9,0.4,0.4,1.3,0.1,2.2,1.6,-3.4,1.3,2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2395.0,2118.0,277.0,798.0,1553.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-07,123730,221512,119710.0,85311,213237.0,121813,128331,101265,82.0,82.0,81.4,86.9,83.5,80.8,81.8,81.1,0.7,0.1,1.0,0.2,-0.4,1.3,0.8,0.9,0.9,0.5,2.0,3.1,0.8,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2733.0,2490.0,243.0,921.0,1756.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-08,124454,225108,120362.0,83693,214976.0,122076,129406,101514,82.5,83.3,81.8,85.2,84.2,80.9,82.4,81.3,0.1,1.3,-0.2,-2.7,2.3,0.9,-0.9,0.6,1.6,0.5,-1.9,0.8,0.8,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,2920.0,2622.0,298.0,955.0,1903.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-09,127530,230093,123604.0,86489,217627.0,125046,131773,104662,84.6,85.2,84.0,88.1,85.2,82.9,84.0,83.8,2.2,3.4,2.3,-1.1,2.2,2.6,1.8,2.5,2.2,2.7,3.3,1.2,1.8,3.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,3063.0,2757.0,306.0,986.0,2001.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-10,127455,230362,123695.0,85860,215876.0,126933,131936,104455,84.5,85.3,84.1,87.4,84.5,84.2,84.1,83.6,4.2,5.0,4.6,2.2,2.5,3.6,4.8,-0.1,0.1,0.1,-0.7,-0.8,0.1,-0.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,3921.0,3627.0,294.0,1222.0,2632.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-11,129955,233929,126481.0,87602,216627.0,129235,134322,106971,86.2,86.6,86.0,89.2,84.8,85.7,85.6,85.6,6.1,7.0,6.1,3.8,6.9,5.5,6.7,2.0,1.5,2.3,2.0,0.3,1.8,2.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,3675.0,3442.0,233.0,1195.0,2385.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east/month/2020-12,131490,237317,127862.0,87551,220277.0,131372,135833,108451,87.2,87.8,86.9,89.1,86.2,87.1,86.5,86.8,7.5,8.7,7.5,4.5,8.4,7.0,8.0,1.2,1.4,1.1,-0.1,1.7,1.1,1.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east,3883.0,3540.0,343.0,1233.0,2545.0
