_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-01,116711,194302,114833.0,66408,159254.0,122452,89738,81.3,82.5,80.7,85.4,83.5,82.0,79.5,1.6,1.1,1.6,-0.4,0.8,1.9,1.8,0.0,0.1,0.0,-0.4,0.8,0.0,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,159.0,152.0,7.0,50.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-02,115724,192420,113970.0,65534,159651.0,121271,89219,80.7,81.7,80.1,84.2,83.7,81.2,79.1,2.9,2.3,3.1,0.3,1.2,3.1,3.4,-0.8,-1.0,-0.8,-1.3,0.2,-1.0,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,176.0,160.0,16.0,60.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-03,115994,192847,114270.0,65359,163010.0,121626,89446,80.8,81.9,80.3,84.0,85.5,81.4,79.3,2.4,1.7,2.6,0.1,2.4,2.5,3.1,0.2,0.2,0.3,-0.3,2.1,0.3,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,170.0,158.0,12.0,52.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-04,115125,191416,113402.0,64365,161937.0,120578,88955,80.2,81.3,79.7,82.7,84.9,80.7,78.8,1.1,0.7,1.3,-1.7,1.0,1.1,1.7,-0.7,-0.7,-0.8,-1.5,-0.7,-0.9,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,73.0,61.0,12.0,21.0,51.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-05,117099,194945,115178.0,65548,166933.0,122820,90256,81.6,82.8,80.9,84.2,87.6,82.2,80.0,1.1,1.1,1.1,-1.1,3.7,1.1,1.4,1.7,1.8,1.6,1.8,3.1,1.9,1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,106.0,99.0,7.0,35.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-06,115665,192326,113907.0,64473,163091.0,121390,89213,80.6,81.6,80.0,82.9,85.6,81.2,79.1,-0.2,-0.2,-0.1,-3.0,2.2,-0.1,-0.1,-1.2,-1.3,-1.1,-1.6,-2.3,-1.2,-1.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,161.0,134.0,27.0,45.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-07,118715,197062,117025.0,66520,165871.0,124627,91587,82.7,83.7,82.2,85.5,87.0,83.4,81.2,1.5,1.6,1.7,-1.0,2.7,1.9,1.5,2.6,2.5,2.7,3.2,1.7,2.7,2.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,182.0,166.0,16.0,62.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-08,119135,197937,117546.0,66312,165041.0,125158,91860,83.0,84.0,82.6,85.2,86.6,83.8,81.4,2.3,2.3,2.6,-0.7,2.7,2.8,2.1,0.4,0.4,0.4,-0.3,-0.5,0.4,0.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,228.0,194.0,34.0,79.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-09,119754,199410,118083.0,66325,166836.0,125731,92309,83.5,84.7,83.0,85.2,87.5,84.1,81.8,2.7,3.0,3.0,-0.8,2.8,3.4,2.3,0.5,0.7,0.5,0.0,1.1,0.5,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,232.0,200.0,32.0,76.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-east-lincolnshire/month/2020-10,121121,202295,119550.0,66399,167206.0,127146,93296,84.4,85.9,84.0,85.3,87.7,85.1,82.7,5.9,6.4,6.3,1.3,5.2,6.3,5.7,1.1,1.4,1.2,0.1,0.2,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-east-lincolnshire,256.0,229.0,27.0,88.0,165.0
