_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-01,108659,220409,101335.0,67597,176779.0,126173,96639,78.9,78.5,78.5,80.6,80.7,78.9,77.8,2.1,3.5,1.9,-0.3,3.4,2.7,2.5,-1.5,-1.0,-1.7,-1.9,-0.6,-1.6,-1.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,385.0,341.0,44.0,108.0,277.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-02,108881,221817,101341.0,67446,178846.0,126431,96785,79.1,79.0,78.5,80.4,81.6,79.0,77.9,0.4,1.7,0.3,-2.1,0.7,0.8,0.9,0.2,0.6,0.0,-0.2,1.2,0.2,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,325.0,271.0,54.0,78.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-03,109754,223520,101936.0,68110,182147.0,127417,97417,79.7,79.6,79.0,81.2,83.2,79.7,78.4,1.6,2.2,1.6,0.3,1.9,1.8,2.0,0.8,0.8,0.6,1.0,1.8,0.8,0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,401.0,325.0,76.0,109.0,292.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-04,109298,222815,101506.0,67536,181454.0,126852,97337,79.4,79.3,78.6,80.5,82.8,79.3,78.3,0.6,1.7,0.6,-1.0,0.7,0.6,1.0,-0.4,-0.3,-0.4,-0.8,-0.4,-0.4,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,173.0,155.0,18.0,33.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-05,110405,224569,102343.0,68213,185004.0,128271,98458,80.2,80.0,79.3,81.3,84.5,80.2,79.2,0.8,2.2,0.4,-0.9,2.8,0.9,0.8,1.0,0.8,0.8,1.0,2.0,1.1,1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,194.0,185.0,9.0,45.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-06,110891,226084,102930.0,68031,184624.0,129149,99110,80.5,80.5,79.7,81.1,84.3,80.7,79.8,1.4,4.0,0.9,-1.6,4.0,1.7,1.5,0.4,0.7,0.6,-0.3,-0.2,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,244.0,211.0,33.0,52.0,192.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-07,112529,229747,104533.0,69289,186593.0,130880,100212,81.7,81.8,81.0,82.6,85.2,81.8,80.7,1.8,4.1,1.4,-1.0,3.6,2.2,1.6,1.5,1.6,1.6,1.8,1.1,1.3,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,295.0,253.0,42.0,86.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-08,112236,228570,104426.0,69038,184623.0,130753,100155,81.5,81.4,80.9,82.3,84.3,81.7,80.6,0.6,2.6,0.3,-2.4,1.9,1.3,0.7,-0.3,-0.5,-0.1,-0.4,-1.1,-0.1,-0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,435.0,356.0,79.0,117.0,318.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-09,112527,228041,104659.0,69304,185424.0,131242,100671,81.7,81.2,81.1,82.6,84.6,82.0,81.0,0.6,1.7,0.5,-1.9,1.3,1.7,0.9,0.3,-0.2,0.2,0.4,0.4,0.4,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,575.0,520.0,55.0,131.0,444.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lanarkshire/month/2020-10,115008,231416,107263.0,70830,186889.0,134373,103436,83.5,82.4,83.1,84.4,85.3,84.0,83.3,2.7,3.2,2.8,0.4,2.3,3.6,3.6,2.2,1.5,2.5,2.2,0.8,2.4,2.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lanarkshire,637.0,554.0,83.0,153.0,484.0
