_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-01,138251,196713,136618.0,66000,191056.0,123748,99390,79.3,79.5,79.1,81.7,82.4,79.3,78.3,-0.9,-1.4,-0.9,-2.1,-1.1,-0.5,-0.6,0.4,0.4,0.3,-0.1,1.3,0.3,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,188.0,178.0,10.0,52.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-02,139070,197817,137313.0,66252,194485.0,124382,100264,79.8,80.0,79.5,82.0,83.9,79.7,79.0,0.5,0.0,0.5,-1.4,-0.5,0.8,1.0,0.6,0.6,0.5,0.4,1.8,0.5,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,167.0,158.0,9.0,44.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-03,139725,198758,137808.0,66402,198731.0,124927,100852,80.1,80.4,79.8,82.2,85.7,80.1,79.5,1.6,1.1,1.6,-0.1,1.7,1.8,2.2,0.5,0.5,0.4,0.2,2.2,0.4,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,168.0,158.0,10.0,49.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-04,140690,200274,138720.0,66551,201149.0,125695,101614,80.7,81.0,80.3,82.4,86.8,80.5,80.1,3.1,2.9,3.0,1.1,3.3,3.2,3.5,0.7,0.8,0.7,0.2,1.2,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,74.0,69.0,5.0,20.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-05,141752,201689,139657.0,67055,205468.0,126754,102272,81.3,81.5,80.8,83.0,88.6,81.2,80.6,3.5,3.4,3.3,1.8,6.2,3.6,3.6,0.8,0.7,0.7,0.8,2.1,0.8,0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,103.0,102.0,1.0,37.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-06,140530,199715,138550.0,66373,201273.0,125772,101467,80.6,80.7,80.2,82.1,86.8,80.6,80.0,0.9,0.9,0.8,-1.0,3.5,1.1,1.1,-0.9,-1.0,-0.8,-1.0,-2.0,-0.8,-0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,179.0,170.0,9.0,51.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-07,143762,204141,141834.0,68164,203369.0,128715,103865,82.5,82.5,82.1,84.4,87.7,82.5,81.9,3.2,3.1,3.1,1.3,4.1,3.4,3.2,2.3,2.2,2.4,2.7,1.0,2.3,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,168.0,157.0,11.0,61.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-08,144131,204684,142289.0,67676,201560.0,129009,104286,82.7,82.8,82.4,83.8,86.9,82.7,82.2,3.4,3.2,3.3,0.8,3.4,3.6,3.5,0.3,0.3,0.3,-0.7,-0.9,0.2,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,171.0,160.0,11.0,52.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-09,144512,205610,142625.0,67316,203091.0,129162,104551,82.9,83.1,82.6,83.3,87.6,82.8,82.4,4.2,4.2,4.2,0.9,3.9,4.5,4.1,0.3,0.5,0.2,-0.5,0.8,0.1,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,226.0,202.0,24.0,68.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-10,145217,207135,143390.0,67151,202377.0,129574,104944,83.3,83.7,83.0,83.1,87.3,83.0,82.7,6.0,6.2,6.0,2.0,5.4,6.0,5.9,0.5,0.7,0.5,-0.2,-0.4,0.3,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,237.0,226.0,11.0,75.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-11,147744,211093,145995.0,68581,203183.0,131574,106822,84.7,85.3,84.5,84.9,87.6,84.3,84.2,7.8,8.3,7.8,4.1,6.9,7.4,8.2,1.7,1.9,1.8,2.1,0.4,1.5,1.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,277.0,272.0,5.0,84.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2020-12,150515,215136,148806.0,69926,205189.0,133909,108988,86.3,87.0,86.1,86.5,88.5,85.8,85.9,9.3,9.8,9.3,5.8,8.8,8.6,10.1,1.9,1.9,1.9,2.0,1.0,1.8,2.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,237.0,232.0,5.0,68.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2021-01,151845,216081,150223.0,71447,204535.0,135398,110378,87.1,87.4,87.0,88.4,88.2,86.8,87.0,9.8,9.8,10.0,8.3,7.1,9.4,11.1,0.9,0.4,1.0,2.2,-0.3,1.1,1.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,204.0,189.0,15.0,70.0,134.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2021-02,152600,216283,150995.0,72709,204901.0,136295,111427,87.5,87.4,87.4,90.0,88.4,87.3,87.8,9.7,9.3,10.0,9.7,5.4,9.6,11.1,0.5,0.1,0.5,1.8,0.2,0.7,1.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,262.0,249.0,13.0,87.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2021-03,153696,216891,152079.0,74325,206275.0,137509,112779,88.1,87.7,88.0,92.0,89.0,88.1,88.9,10.0,9.1,10.4,11.9,3.8,10.1,11.8,0.7,0.3,0.7,2.2,0.7,0.9,1.2,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,305.0,288.0,17.0,116.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2021-04,152990,215806,151271.0,74084,207743.0,136800,112532,87.7,87.2,87.6,91.7,89.6,87.7,88.7,8.7,7.8,9.0,11.3,3.3,8.8,10.7,-0.5,-0.5,-0.5,-0.3,0.7,-0.5,-0.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,254.0,248.0,6.0,72.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-lincolnshire/month/2021-05,153742,216883,151991.0,74381,209292.0,137473,113074,88.2,87.7,88.0,92.1,90.3,88.1,89.1,8.5,7.5,8.8,10.9,1.9,8.5,10.6,0.5,0.5,0.5,0.4,0.7,0.5,0.5,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-lincolnshire,255.0,243.0,12.0,69.0,186.0
