_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-01,203559,330531,199141.0,103562,278759.0,197677,157683,79.4,80.0,78.8,82.3,82.1,79.3,78.2,0.2,-0.1,0.0,-1.5,1.1,0.7,0.3,0.5,0.8,0.4,0.2,1.3,0.5,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,362.0,333.0,29.0,72.0,277.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-02,204622,332779,200080.0,103880,281199.0,198512,158487,79.8,80.6,79.2,82.5,82.8,79.7,78.6,0.0,-0.2,0.1,-2.1,-0.4,0.4,0.4,0.5,0.7,0.5,0.3,0.9,0.4,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,402.0,354.0,48.0,90.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-03,207316,337797,202325.0,104955,287918.0,201157,160303,80.9,81.8,80.0,83.4,84.8,80.7,79.5,1.6,1.4,1.7,-0.1,1.5,1.9,2.0,1.3,1.5,1.1,1.0,2.4,1.3,1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,425.0,357.0,68.0,84.0,318.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-04,208802,340761,203515.0,105152,291920.0,202416,161522,81.5,82.5,80.5,83.5,86.0,81.2,80.1,2.6,2.7,2.6,0.4,2.7,2.7,2.8,0.7,0.9,0.6,0.2,1.4,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,149.0,129.0,20.0,27.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-05,208819,340645,202837.0,105185,296943.0,202807,161243,81.5,82.5,80.2,83.6,87.5,81.4,79.9,3.4,3.8,2.9,1.6,6.3,3.6,3.1,0.0,0.0,-0.3,0.0,1.7,0.2,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,201.0,189.0,12.0,45.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-06,208046,338511,202477.0,104337,293091.0,202364,161006,81.2,82.0,80.1,82.9,86.3,81.2,79.8,2.5,2.8,2.0,0.1,5.1,2.9,2.2,-0.4,-0.6,-0.2,-0.8,-1.3,-0.2,-0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,355.0,309.0,46.0,73.0,276.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-07,206601,335395,201501.0,104056,287868.0,201022,160099,80.6,81.2,79.7,82.7,84.8,80.7,79.4,1.4,1.5,1.3,-0.6,2.2,1.9,1.4,-0.7,-0.9,-0.5,-0.3,-1.8,-0.7,-0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,371.0,333.0,38.0,65.0,299.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-08,207057,336504,202462.0,103337,284752.0,201340,160703,80.8,81.5,80.1,82.1,83.9,80.8,79.7,1.6,1.7,1.8,-1.0,1.0,2.0,1.6,0.2,0.3,0.5,-0.7,-1.1,0.2,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,353.0,295.0,58.0,70.0,275.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-09,207852,339113,202938.0,103055,287964.0,201737,161184,81.1,82.1,80.3,81.9,84.8,81.0,79.9,1.7,2.2,1.9,-1.5,1.1,2.1,1.5,0.4,0.8,0.2,-0.3,1.1,0.2,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,418.0,376.0,42.0,96.0,311.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-northamptonshire/month/2020-10,209746,343012,205002.0,103194,289045.0,203340,162714,81.8,83.1,81.1,82.0,85.1,81.6,80.7,3.4,4.3,3.5,-0.4,2.7,3.3,3.2,0.9,1.1,1.0,0.1,0.4,0.8,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-northamptonshire,552.0,512.0,40.0,134.0,403.0
