_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-01,251598,427989,246470.0,147411,362098.0,266232,212569,80.5,80.2,80.3,83.2,83.5,79.8,79.4,0.3,0.4,0.4,-1.1,0.1,1.0,0.9,-1.6,-1.5,-1.6,-1.8,-0.9,-1.6,-1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,261.0,243.0,18.0,75.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-02,251930,428261,246594.0,147391,365308.0,266633,213286,80.6,80.2,80.3,83.2,84.2,80.0,79.7,1.3,1.3,1.4,-0.5,-0.2,2.0,2.2,0.1,0.1,0.1,0.0,0.9,0.2,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,266.0,238.0,28.0,74.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-03,251530,427657,245917.0,146921,369375.0,266456,212960,80.5,80.1,80.1,83.0,85.1,79.9,79.5,1.7,1.5,1.7,0.2,0.9,2.3,2.6,-0.2,-0.1,-0.3,-0.3,1.1,-0.1,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,265.0,239.0,26.0,72.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-04,248682,424081,243120.0,144391,365451.0,263476,210877,79.6,79.5,79.2,81.5,84.2,79.0,78.8,0.5,0.9,0.5,-1.5,-0.6,1.0,1.1,-1.1,-0.8,-1.1,-1.7,-1.1,-1.1,-1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,91.0,81.0,10.0,19.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-05,247520,422019,241690.0,143916,369858.0,262377,209516,79.2,79.1,78.7,81.3,85.2,78.7,78.3,-0.5,0.0,-0.7,-2.0,1.2,-0.1,-0.3,-0.5,-0.5,-0.6,-0.3,1.2,-0.4,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,158.0,151.0,7.0,46.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-06,247714,422133,242071.0,143642,366222.0,262890,210089,79.3,79.1,78.8,81.1,84.4,78.8,78.5,0.1,0.6,-0.1,-1.8,1.6,0.6,0.4,0.1,0.0,0.2,-0.2,-1.0,0.2,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,188.0,179.0,9.0,66.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-07,256607,436166,250931.0,149455,375822.0,272283,217518,82.1,81.7,81.7,84.4,86.6,81.7,81.2,2.1,2.5,2.1,0.5,2.4,2.8,2.4,3.6,3.3,3.7,4.0,2.6,3.6,3.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,252.0,232.0,20.0,82.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-08,259854,442550,254290.0,150308,376704.0,276106,220794,83.1,82.9,82.8,84.9,86.8,82.8,82.5,2.8,3.2,2.8,0.8,2.3,3.6,3.3,1.3,1.5,1.3,0.6,0.2,1.4,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,308.0,287.0,21.0,83.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-09,262281,448120,256581.0,151097,381919.0,278621,222795,83.9,84.0,83.6,85.3,88.0,83.6,83.2,3.3,4.1,3.4,0.9,2.5,4.2,3.6,0.9,1.3,0.9,0.5,1.4,0.9,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,276.0,251.0,25.0,87.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-somerset/month/2020-10,262245,449778,256746.0,150069,377784.0,278635,222968,83.9,84.3,83.6,84.7,87.1,83.6,83.3,2.9,4.1,3.0,0.0,1.4,3.6,3.4,0.0,0.4,0.1,-0.7,-1.1,0.0,0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-somerset,384.0,353.0,31.0,93.0,272.0
