_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-01,150843,283061,145821.0,96195,246938.0,167297,143555,79.7,80.8,79.1,82.2,81.1,79.1,78.0,-0.4,-0.5,-0.4,-1.9,-0.3,0.0,0.0,-1.3,-0.8,-1.4,-1.6,-0.5,-1.4,-1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,205.0,177.0,28.0,48.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-02,150468,283268,145287.0,95645,248318.0,166772,143356,79.5,80.9,78.8,81.7,81.6,78.8,77.9,0.7,0.2,0.9,-1.1,-0.2,1.3,1.5,-0.2,0.1,-0.4,-0.6,0.6,-0.3,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,220.0,205.0,15.0,62.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-03,149662,283412,144175.0,94765,250329.0,165766,142551,79.1,80.9,78.2,80.9,82.2,78.4,77.4,2.6,2.2,2.7,1.0,2.4,3.0,3.3,-0.5,0.1,-0.8,-0.9,0.8,-0.6,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,220.0,193.0,27.0,47.0,169.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-04,150512,286066,144906.0,94811,252524.0,166711,143479,79.5,81.7,78.6,81.0,82.9,78.8,77.9,4.7,4.8,4.8,2.9,4.5,5.2,5.4,0.6,0.9,0.5,0.0,0.9,0.6,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,76.0,72.0,4.0,16.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-05,150678,288045,144695.0,94853,255990.0,166788,143240,79.6,82.2,78.5,81.0,84.1,78.9,77.8,1.5,2.8,1.1,-0.1,3.7,1.8,1.6,0.1,0.7,-0.1,0.0,1.4,0.0,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,141.0,139.0,2.0,45.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-06,151518,288418,145796.0,95201,254933.0,168009,144370,80.0,82.3,79.1,81.3,83.7,79.4,78.4,0.9,2.2,0.5,-1.2,3.0,1.2,1.0,0.6,0.1,0.8,0.4,-0.4,0.7,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,232.0,194.0,38.0,58.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-07,153860,290854,148346.0,97085,256304.0,170683,146813,81.3,83.0,80.5,82.9,84.2,80.7,79.7,1.5,2.1,1.4,-0.3,2.4,2.0,1.8,1.5,0.8,1.7,2.0,0.5,1.6,1.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,219.0,209.0,10.0,65.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-08,154602,291594,149281.0,96845,255639.0,171854,148113,81.7,83.2,81.0,82.7,84.0,81.2,80.4,2.3,2.7,2.4,0.0,2.5,3.1,2.9,0.5,0.3,0.6,-0.2,-0.3,0.7,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,249.0,236.0,13.0,80.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-09,157413,298410,151800.0,98104,261921.0,174838,150892,83.2,85.2,82.3,83.8,86.0,82.7,82.0,3.7,4.4,3.7,1.0,3.8,4.6,4.1,1.8,2.3,1.7,1.3,2.5,1.7,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,304.0,271.0,33.0,80.0,219.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-tyneside/month/2020-10,158653,300951,153190.0,98331,262346.0,176438,152344,83.8,85.9,83.1,84.0,86.2,83.4,82.7,3.5,4.5,3.5,0.3,3.4,4.2,4.1,0.8,0.9,0.9,0.2,0.2,0.9,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-tyneside,335.0,310.0,25.0,74.0,255.0
