_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-01,153141,280532,150123.0,106836,199812.0,153210,167004,118307,77.5,78.8,76.7,80.9,81.5,77.6,77.3,76.0,2.0,1.4,1.7,-0.5,4.0,2.5,2.7,-0.4,0.2,-1.0,0.1,5.9,-0.2,-1.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,7795.0,7030.0,765.0,2293.0,5329.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-02,153325,279451,151010.0,106373,193607.0,152695,166763,119434,77.6,78.5,77.2,80.6,79.0,77.3,77.2,76.8,1.7,0.9,2.2,-1.2,-2.4,2.2,2.7,0.1,-0.4,0.6,-0.4,-3.1,-0.1,1.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,7806.0,6955.0,851.0,2230.0,5353.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-03,155025,283447,152312.0,108756,199129.0,155768,168436,120141,78.5,79.6,77.9,82.4,81.2,78.9,78.0,77.2,3.7,3.3,3.7,2.6,3.6,3.4,4.6,1.1,1.4,0.9,2.2,2.9,1.0,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,7883.0,6768.0,1115.0,2188.0,5428.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-04,152528,282122,149263.0,104089,201443.0,152657,166126,118211,77.2,79.2,76.3,78.9,82.2,77.3,76.9,76.0,1.0,2.0,0.7,-2.1,3.6,1.4,1.2,-1.6,-0.5,-2.0,-4.3,1.2,-1.4,-1.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,3162.0,2791.0,371.0,948.0,2111.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-05,152857,280922,149650.0,106126,201268.0,152587,166764,117994,77.4,78.9,76.5,80.4,82.1,77.2,77.2,75.8,0.2,0.8,-0.3,-1.0,4.0,0.7,-0.4,0.2,-0.4,0.3,2.0,-0.1,0.4,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,4431.0,4097.0,334.0,1338.0,2989.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-06,157055,284817,154998.0,108492,195538.0,155742,171237,122623,79.5,80.0,79.2,82.2,79.8,78.8,79.3,78.8,3.0,2.9,3.3,0.4,2.5,3.4,3.8,2.7,1.4,3.6,2.2,-2.8,2.7,3.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,6449.0,5809.0,640.0,1857.0,4441.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-07,159413,289541,156739.0,111466,203702.0,157303,173685,123866,80.7,81.3,80.1,84.4,83.1,79.6,80.4,79.6,3.1,2.7,3.4,1.3,1.3,3.8,3.4,1.5,1.7,1.1,2.7,4.2,1.4,1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,7407.0,6719.0,688.0,2218.0,5017.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-08,161286,295270,158664.0,111599,205349.0,158453,176014,124937,81.7,82.9,81.1,84.5,83.8,80.2,81.5,80.3,3.4,3.6,3.3,2.1,4.4,4.2,2.8,1.2,2.0,1.2,0.1,0.8,1.3,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,7879.0,7104.0,775.0,2229.0,5487.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-09,162250,297700,159767.0,111786,205185.0,159166,176615,126044,82.1,83.6,81.7,84.7,83.7,80.6,81.7,81.0,4.4,5.0,4.6,1.5,3.8,5.1,4.3,0.6,0.8,0.7,0.2,-0.1,0.3,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,8791.0,7989.0,802.0,2516.0,6054.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-10,165484,303415,163303.0,113367,206151.0,163359,180257,128798,83.8,85.2,83.5,85.9,84.1,82.7,83.4,82.8,6.6,7.7,7.1,3.3,4.0,6.6,7.3,2.0,1.9,2.2,1.4,0.5,2.1,2.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,10568.0,9884.0,684.0,3117.0,7209.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-11,166199,302940,164408.0,114316,203556.0,164322,180687,129934,84.1,85.1,84.0,86.6,83.0,83.2,83.6,83.5,7.5,7.3,7.8,6.2,7.8,7.2,8.6,0.4,-0.2,0.7,0.8,-1.3,0.2,0.9,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,10429.0,9737.0,692.0,3097.0,7050.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2020-12,169085,308859,167085.0,116407,208628.0,167100,183524,132191,85.6,86.7,85.4,88.2,85.1,84.6,84.9,85.0,10.0,10.3,10.2,9.1,10.5,9.7,10.6,1.7,2.0,1.6,1.8,2.5,1.6,1.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,11097.0,10307.0,790.0,3261.0,7538.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-01,170526,303132,168791.0,121901,207969.0,169895,185272,133704,86.3,85.1,86.3,92.4,84.8,86.0,85.8,85.9,11.4,8.1,12.4,14.1,4.1,10.9,13.0,0.9,-1.9,1.0,4.7,-0.3,1.0,1.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,9044.0,8192.0,852.0,2752.0,6286.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-02,173134,307353,171129.0,123497,213769.0,172624,187254,136632,87.7,86.3,87.5,93.6,87.2,87.4,86.7,87.8,12.9,10.0,13.3,16.1,10.4,12.3,14.4,1.5,1.4,1.4,1.3,2.8,1.1,2.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,11431.0,10390.0,1041.0,3430.0,7984.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-03,175992,311238,173767.0,127528,219338.0,177150,189724,138980,89.1,87.4,88.8,96.6,89.5,89.7,87.8,89.3,13.5,9.8,14.1,17.3,10.1,12.6,15.7,1.7,1.3,1.5,3.3,2.6,1.3,1.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,15003.0,13458.0,1545.0,4817.0,10134.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-04,172587,308544,170155.0,122389,217852.0,173365,186236,136183,87.4,86.7,87.0,92.7,88.9,87.8,86.2,87.5,13.2,9.4,14.0,17.6,8.1,12.1,15.2,-1.9,-0.9,-2.1,-4.0,-0.7,-1.8,-2.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,10414.0,9558.0,856.0,3057.0,7327.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-05,172994,308768,170940.0,121862,214150.0,173599,187000,136700,87.6,86.7,87.4,92.3,87.3,87.9,86.6,87.9,13.2,9.9,14.2,14.8,6.4,12.1,15.9,0.2,0.1,0.5,-0.4,-1.7,0.4,0.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,9652.0,8812.0,840.0,2911.0,6714.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-06,187330,328749,185894.0,133698,223499.0,186431,201014,150180,94.8,92.3,95.0,101.3,91.2,94.4,93.0,96.5,19.3,15.4,19.9,23.2,14.3,17.4,22.5,8.3,6.5,8.7,9.7,4.4,7.5,9.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,17317.0,15780.0,1537.0,5336.0,11930.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-07,171845,305856,169282.0,120772,218496.0,169755,186456,135600,87.0,85.9,86.5,91.5,89.1,85.9,86.3,87.1,7.8,5.6,8.0,8.3,7.3,7.4,9.5,-8.3,-7.0,-8.9,-9.7,-2.2,-7.2,-9.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,8974.0,8203.0,771.0,2561.0,6383.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-west/month/2021-08,178467,319127,177003.0,122627,213928.0,175739,194022,141174,90.4,89.6,90.5,92.9,87.3,89.0,89.8,90.7,10.7,8.1,11.6,9.9,4.2,10.2,13.0,3.9,4.3,4.6,1.5,-2.1,4.1,4.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-west,10651.0,9560.0,1091.0,3026.0,7577.0
