_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-01,218557,349825,212390.0,126664,310678.0,214216,174351,81.7,81.5,81.1,84.7,83.8,81.3,81.1,1.5,1.1,1.4,0.9,1.6,2.0,1.7,-0.7,-0.6,-0.8,-0.8,0.1,-0.8,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,726.0,649.0,77.0,283.0,429.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-02,218903,350327,212642.0,126486,313574.0,214339,175041,81.8,81.7,81.2,84.6,84.6,81.3,81.4,1.6,1.0,1.7,0.6,0.5,2.1,2.1,0.2,0.1,0.1,-0.1,0.9,0.1,0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,675.0,608.0,67.0,273.0,385.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-03,220503,353122,213963.0,127525,319700.0,216037,176013,82.4,82.3,81.7,85.3,86.2,82.0,81.8,2.9,2.1,3.1,2.8,2.0,3.4,3.5,0.7,0.8,0.6,0.8,2.0,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,772.0,653.0,119.0,288.0,457.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-04,217856,350572,211213.0,123671,317789.0,213463,174017,81.4,81.7,80.6,82.7,85.7,81.0,80.9,1.2,1.1,1.3,-0.8,0.6,1.6,1.6,-1.2,-0.7,-1.3,-3.0,-0.6,-1.2,-1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,271.0,246.0,25.0,87.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-05,217489,349947,210443.0,123361,321505.0,213320,173601,81.3,81.6,80.4,82.5,86.7,81.0,80.7,1.4,1.6,1.2,-0.4,3.1,1.7,1.4,-0.2,-0.2,-0.4,-0.3,1.2,-0.1,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,383.0,357.0,26.0,150.0,220.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-06,217260,349680,210487.0,121859,318499.0,213201,173952,81.2,81.5,80.4,81.5,85.9,80.9,80.9,0.6,1.0,0.4,-2.4,2.4,1.0,0.8,-0.1,-0.1,0.0,-1.2,-0.9,-0.1,0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,664.0,597.0,67.0,245.0,405.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-07,221210,354352,214691.0,125792,320319.0,216985,177364,82.6,82.6,82.0,84.1,86.4,82.3,82.5,2.4,2.1,2.4,0.8,2.5,2.8,2.8,1.8,1.3,2.0,3.2,0.6,1.8,2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,706.0,633.0,73.0,276.0,415.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-08,223773,358865,217439.0,126457,321334.0,219558,179515,83.6,83.7,83.0,84.6,86.7,83.3,83.5,2.1,2.0,2.3,0.0,1.9,2.7,2.4,1.2,1.3,1.3,0.5,0.3,1.2,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,862.0,728.0,134.0,327.0,512.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-09,224370,361108,217839.0,126231,323999.0,220008,179595,83.8,84.2,83.2,84.4,87.4,83.5,83.5,2.5,2.5,2.6,-0.2,2.0,3.1,2.6,0.3,0.6,0.2,-0.2,0.8,0.2,0.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,1029.0,895.0,134.0,396.0,621.0
http://landregistry.data.gov.uk/data/ukhpi/region/north-yorkshire/month/2020-10,227065,366280,220740.0,126730,325013.0,222495,181893,84.8,85.4,84.3,84.8,87.7,84.4,84.6,2.6,3.1,2.8,-1.0,1.9,2.9,2.9,1.2,1.4,1.3,0.4,0.3,1.1,1.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/north-yorkshire,1149.0,1045.0,104.0,451.0,672.0
