_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-01,147481,261519,141088.0,80632,220929.0,140987,115878,78.3,78.9,77.2,80.6,80.1,78.5,76.8,-0.3,-0.6,-0.4,-1.8,0.0,0.1,-0.1,-0.2,-0.1,-0.4,-0.5,0.6,-0.3,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,375.0,297.0,78.0,126.0,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-02,148644,263571,142205.0,81102,224240.0,142086,116897,78.9,79.5,77.8,81.0,81.3,79.1,77.5,1.4,0.8,1.7,-0.4,0.5,1.9,1.9,0.8,0.8,0.8,0.6,1.5,0.8,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,369.0,321.0,48.0,140.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-03,150852,268215,144084.0,82105,230425.0,144114,118477,80.1,80.9,78.9,82.0,83.5,80.3,78.6,4.5,4.0,4.7,2.9,4.2,4.8,5.0,1.5,1.8,1.3,1.2,2.8,1.4,1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,404.0,302.0,102.0,144.0,239.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-04,150433,267988,143595.0,81333,230286.0,143584,118196,79.9,80.8,78.6,81.3,83.5,80.0,78.4,3.8,3.8,4.1,1.9,3.5,4.0,4.2,-0.3,-0.1,-0.3,-0.9,-0.1,-0.4,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,130.0,114.0,16.0,46.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-05,149227,266377,141900.0,80648,231411.0,142434,116984,79.2,80.3,77.7,80.6,83.9,79.3,77.6,3.8,4.4,3.5,2.1,5.9,3.9,3.6,-0.8,-0.6,-1.2,-0.8,0.5,-0.8,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,200.0,184.0,16.0,92.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-06,150304,267545,143291.0,81190,231116.0,143630,118092,79.8,80.7,78.4,81.1,83.8,80.0,78.3,2.2,2.7,1.9,0.3,4.3,2.4,2.0,0.7,0.4,1.0,0.7,-0.1,0.8,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,330.0,279.0,51.0,139.0,181.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-07,151831,269510,145109.0,82505,231451.0,145174,119421,80.6,81.3,79.4,82.4,83.9,80.9,79.2,2.0,2.3,2.1,0.5,3.0,2.3,1.9,1.0,0.7,1.3,1.6,0.1,1.1,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,363.0,325.0,38.0,140.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-08,155954,276850,149381.0,84095,235903.0,149170,122852,82.8,83.5,81.8,84.0,85.5,83.1,81.5,2.5,2.6,2.7,0.6,2.9,3.0,2.5,2.7,2.7,2.9,1.9,1.9,2.8,2.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,378.0,330.0,48.0,143.0,225.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-09,157615,281038,150753.0,84325,239579.0,150447,124032,83.7,84.7,82.5,84.3,86.9,83.8,82.2,4.0,4.4,4.2,1.4,4.3,4.5,3.8,1.1,1.5,0.9,0.3,1.6,0.9,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,426.0,370.0,56.0,182.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/northumberland/month/2020-10,161480,288292,154777.0,85852,243698.0,154007,127202,85.7,86.9,84.7,85.8,88.4,85.8,84.3,7.8,8.4,8.1,4.6,7.9,8.0,7.7,2.5,2.6,2.7,1.8,1.7,2.4,2.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northumberland,551.0,501.0,50.0,222.0,320.0
