_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-01,174883,264173,170797.0,97128,239404.0,158704,122961,78.3,79.1,77.7,80.6,81.5,78.1,76.9,3.5,3.2,3.6,1.3,3.2,4.0,4.0,0.5,0.6,0.4,0.3,1.4,0.4,0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,945.0,867.0,78.0,246.0,680.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-02,174812,263888,170721.0,97307,240971.0,158563,123098,78.3,79.0,77.6,80.7,82.1,78.0,77.0,4.0,3.6,4.2,1.9,2.7,4.4,4.7,0.0,-0.1,0.0,0.2,0.7,-0.1,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,957.0,874.0,83.0,244.0,683.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-03,174959,264076,170715.0,97470,244229.0,158730,123170,78.4,79.0,77.6,80.9,83.2,78.1,77.0,4.2,3.8,4.3,2.5,3.8,4.6,4.9,0.1,0.1,0.0,0.2,1.4,0.1,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,952.0,818.0,134.0,224.0,686.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-04,172871,261313,168590.0,95638,242229.0,156701,121742,77.4,78.2,76.7,79.4,82.5,77.1,76.1,2.7,2.5,2.8,0.5,2.3,2.9,3.1,-1.2,-1.0,-1.2,-1.9,-0.8,-1.3,-1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,365.0,334.0,31.0,90.0,268.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-05,174177,263410,169526.0,96274,247468.0,157954,122479,78.0,78.8,77.1,79.9,84.3,77.7,76.6,2.5,2.7,2.4,0.7,4.6,2.7,2.5,0.8,0.8,0.6,0.7,2.2,0.8,0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,665.0,608.0,57.0,155.0,500.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-06,175261,264922,170801.0,96774,246820.0,159017,123274,78.5,79.3,77.7,80.3,84.1,78.2,77.1,2.8,3.0,2.7,0.7,4.8,3.0,2.7,0.6,0.6,0.8,0.5,-0.3,0.7,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,908.0,804.0,104.0,231.0,659.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-07,178255,268917,173986.0,99158,248280.0,161842,125485,79.8,80.5,79.1,82.3,84.6,79.6,78.4,3.6,3.7,3.7,2.2,4.2,3.9,3.4,1.7,1.5,1.9,2.5,0.6,1.8,1.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,991.0,901.0,90.0,264.0,711.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-08,180003,271739,175860.0,99663,248998.0,163436,126683,80.6,81.3,80.0,82.7,84.8,80.4,79.2,4.2,4.3,4.3,2.5,4.4,4.5,3.9,1.0,1.0,1.1,0.5,0.3,1.0,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1004.0,882.0,122.0,296.0,691.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-09,180276,272815,175962.0,99343,251004.0,163424,126782,80.7,81.6,80.0,82.4,85.5,80.4,79.3,3.8,4.2,3.9,2.1,4.1,4.1,3.1,0.2,0.4,0.1,-0.3,0.8,0.0,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1114.0,996.0,118.0,298.0,796.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-10,181651,275363,177537.0,99093,250597.0,164499,127874,81.4,82.4,80.7,82.2,85.3,80.9,79.9,4.4,4.9,4.6,1.9,4.1,4.3,4.0,0.8,0.9,0.9,-0.3,-0.2,0.7,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1400.0,1270.0,130.0,360.0,1000.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-11,183499,278290,179649.0,100083,250117.0,165878,129479,82.2,83.3,81.7,83.0,85.2,81.6,80.9,5.6,6.2,5.9,3.3,4.9,5.3,5.8,1.0,1.1,1.2,1.0,-0.2,0.8,1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1359.0,1232.0,127.0,381.0,941.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2020-12,186286,282206,182638.0,101500,251354.0,168355,131817,83.4,84.4,83.1,84.2,85.6,82.8,82.4,7.1,7.5,7.4,4.8,6.4,6.6,7.7,1.5,1.4,1.7,1.4,0.5,1.5,1.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1502.0,1369.0,133.0,392.0,1073.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-01,189313,285423,185869.0,104646,252892.0,171390,134327,84.8,85.4,84.5,86.8,86.1,84.3,84.0,8.3,8.0,8.8,7.7,5.6,8.0,9.2,1.6,1.1,1.8,3.1,0.6,1.8,1.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1078.0,936.0,142.0,277.0,787.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-02,191030,286612,187656.0,106862,254342.0,173165,136122,85.6,85.8,85.3,88.7,86.6,85.2,85.1,9.3,8.6,9.9,9.8,5.5,9.2,10.6,0.9,0.4,1.0,2.1,0.6,1.0,1.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1403.0,1209.0,194.0,361.0,1042.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-03,192901,287966,189505.0,109508,256944.0,175048,138026,86.4,86.2,86.2,90.9,87.5,86.1,86.3,10.3,9.0,11.0,12.4,5.2,10.3,12.1,1.0,0.5,1.0,2.5,1.0,1.1,1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1947.0,1703.0,244.0,532.0,1410.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-04,192370,287019,188769.0,109043,258637.0,174436,138007,86.2,85.9,85.8,90.5,88.1,85.8,86.3,11.3,9.8,12.0,14.0,6.8,11.3,13.4,-0.3,-0.3,-0.4,-0.4,0.7,-0.3,0.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1398.0,1222.0,176.0,385.0,1005.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-05,192102,286696,188448.0,108615,258927.0,174202,137813,86.0,85.8,85.7,90.1,88.2,85.7,86.2,10.3,8.8,11.2,12.8,4.6,10.3,12.5,-0.1,-0.1,-0.2,-0.4,0.1,-0.1,-0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1227.0,1071.0,156.0,342.0,880.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-06,195430,291225,192007.0,110397,260173.0,177102,140785,87.5,87.1,87.3,91.6,88.6,87.1,88.0,11.5,9.9,12.4,14.1,5.4,11.4,14.2,1.7,1.6,1.9,1.6,0.5,1.7,2.2,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,2319.0,2024.0,295.0,626.0,1690.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-07,194560,289706,191102.0,109728,259584.0,176591,140024,87.1,86.7,86.9,91.1,88.4,86.9,87.5,9.1,7.7,9.8,10.7,4.6,9.1,11.6,-0.4,-0.5,-0.5,-0.6,-0.2,-0.3,-0.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1115.0,988.0,127.0,286.0,825.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-08,196718,293098,193471.0,110001,259716.0,178772,141387,88.1,87.7,88.0,91.3,88.5,87.9,88.4,9.3,7.9,10.0,10.4,4.3,9.4,11.6,1.1,1.2,1.2,0.2,0.1,1.2,1.0,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1346.0,1166.0,180.0,346.0,995.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-09,197403,294168,194156.0,109609,260485.0,179717,141606,88.4,88.0,88.3,91.0,88.7,88.4,88.5,9.5,7.8,10.3,10.3,3.8,10.0,11.7,0.3,0.4,0.4,-0.4,0.3,0.5,0.2,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,2133.0,1886.0,247.0,599.0,1530.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-10,200754,301183,197802.0,110964,260999.0,182191,143186,89.9,90.1,90.0,92.1,88.9,89.6,89.5,10.5,9.4,11.4,12.0,4.2,10.8,12.0,1.7,2.4,1.9,1.2,0.2,1.4,1.1,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,885.0,719.0,166.0,230.0,650.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-11,203073,305478,199958.0,112373,265425.0,184022,144466,91.0,91.4,90.9,93.2,90.4,90.5,90.3,10.7,9.8,11.3,12.3,6.1,10.9,11.6,1.2,1.4,1.1,1.3,1.7,1.0,0.9,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1190.0,1001.0,189.0,353.0,833.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2021-12,203856,308249,200797.0,112295,265722.0,184336,144310,91.3,92.2,91.3,93.2,90.5,90.7,90.2,9.4,9.2,9.9,10.6,5.7,9.5,9.5,0.4,0.9,0.4,-0.1,0.1,0.2,-0.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1315.0,1072.0,243.0,353.0,958.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-01,207117,311959,204070.0,113538,269313.0,187766,147176,92.8,93.4,92.8,94.2,91.7,92.3,92.0,9.4,9.3,9.8,8.5,6.5,9.6,9.6,1.6,1.2,1.6,1.1,1.4,1.9,2.0,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,907.0,789.0,118.0,280.0,624.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-02,208326,312956,205322.0,114252,271731.0,189113,148444,93.3,93.7,93.4,94.8,92.5,93.0,92.8,9.1,9.2,9.4,6.9,6.8,9.2,9.1,0.6,0.3,0.6,0.6,0.9,0.7,0.9,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1139.0,986.0,153.0,333.0,806.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-03,208411,312627,205263.0,113869,274384.0,189622,148456,93.4,93.6,93.3,94.5,93.4,93.3,92.8,8.0,8.6,8.3,4.0,6.8,8.3,7.6,0.0,-0.1,0.0,-0.3,1.0,0.3,0.0,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1266.0,1039.0,227.0,372.0,891.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-04,209344,313866,206144.0,114454,276528.0,190386,149395,93.8,93.9,93.7,95.0,94.2,93.6,93.4,8.8,9.4,9.2,5.0,6.9,9.1,8.3,0.4,0.4,0.4,0.5,0.8,0.4,0.6,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1199.0,967.0,232.0,384.0,806.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-05,210710,315704,207608.0,114664,275391.0,191791,150517,94.4,94.5,94.4,95.1,93.8,94.3,94.1,9.7,10.1,10.2,5.6,6.4,10.1,9.2,0.7,0.6,0.7,0.2,-0.4,0.7,0.8,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1244.0,1037.0,207.0,386.0,852.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-06,213877,319792,210792.0,116603,277956.0,194739,153323,95.8,95.7,95.9,96.8,94.7,95.8,95.9,9.4,9.8,9.8,5.6,6.8,10.0,8.9,1.5,1.3,1.5,1.7,0.9,1.5,1.9,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1386.0,981.0,405.0,377.0,993.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-07,217744,325050,214618.0,118471,282629.0,198555,156294,97.5,97.3,97.6,98.3,96.3,97.7,97.7,11.9,12.2,12.3,8.0,8.9,12.4,11.6,1.8,1.6,1.8,1.6,1.7,2.0,1.9,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1283.0,1144.0,139.0,366.0,907.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-08,222752,332260,219563.0,120480,288914.0,203177,160317,99.8,99.4,99.8,100.0,98.4,99.9,100.2,13.2,13.4,13.5,9.5,11.2,13.7,13.4,2.3,2.2,2.3,1.7,2.2,2.3,2.6,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1386.0,1186.0,200.0,366.0,1002.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-09,225892,337030,222734.0,121215,291142.0,206109,162681,101.2,100.9,101.3,100.6,99.2,101.4,101.7,14.4,14.6,14.7,10.6,11.8,14.7,14.9,1.4,1.4,1.4,0.6,0.8,1.4,1.5,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1344.0,1103.0,241.0,390.0,941.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-10,225551,336986,222457.0,120807,289272.0,205609,162289,101.0,100.8,101.2,100.2,98.5,101.1,101.5,12.4,11.9,12.5,8.9,10.8,12.9,13.3,-0.2,0.0,-0.1,-0.3,-0.6,-0.2,-0.2,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1200.0,968.0,232.0,365.0,818.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-11,223932,335041,220801.0,120105,288656.0,203915,160889,100.3,100.3,100.4,99.7,98.3,100.3,100.6,10.3,9.7,10.4,6.9,8.8,10.8,11.4,-0.7,-0.6,-0.7,-0.6,-0.2,-0.8,-0.9,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1286.0,1075.0,211.0,345.0,918.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2022-12,223682,334700,220512.0,120726,289344.0,203619,160536,100.2,100.2,100.3,100.2,98.5,100.1,100.4,9.7,8.6,9.8,7.5,8.9,10.5,11.2,-0.1,-0.1,-0.1,0.5,0.2,-0.1,-0.2,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1382.0,1016.0,366.0,400.0,947.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-01,223253,334171,219894.0,120511,293626.0,203324,159960,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.8,7.1,7.8,6.1,9.0,8.3,8.7,-0.2,-0.2,-0.3,-0.2,1.5,-0.1,-0.4,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,834.0,740.0,94.0,279.0,538.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-02,222492,333563,218979.0,120415,296753.0,202502,159002,99.7,99.8,99.6,99.9,101.1,99.6,99.4,6.8,6.6,6.7,5.4,9.2,7.1,7.1,-0.3,-0.2,-0.4,-0.1,1.1,-0.4,-0.6,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,883.0,791.0,92.0,291.0,562.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-03,219407,330101,215637.0,118356,300316.0,199621,155930,98.3,98.8,98.1,98.2,102.3,98.2,97.5,5.3,5.6,5.1,3.9,9.5,5.3,5.0,-1.4,-1.0,-1.5,-1.7,1.2,-1.4,-1.9,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1064.0,877.0,187.0,395.0,630.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-04,217785,328266,213921.0,117662,301177.0,198027,154400,97.6,98.2,97.3,97.6,102.6,97.4,96.5,4.0,4.6,3.8,2.8,8.9,4.0,3.3,-0.7,-0.6,-0.8,-0.6,0.3,-0.8,-1.0,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,728.0,611.0,117.0,254.0,449.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-05,216575,325767,212713.0,116803,299968.0,197192,153776,97.0,97.5,96.7,96.9,102.2,97.0,96.1,2.8,3.2,2.5,1.9,8.9,2.8,2.2,-0.6,-0.8,-0.6,-0.7,-0.4,-0.4,-0.4,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,829.0,678.0,151.0,290.0,502.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-06,217830,326726,214100.0,117404,297848.0,198358,155403,97.6,97.8,97.4,97.4,101.4,97.6,97.2,1.8,2.2,1.6,0.7,7.2,1.9,1.4,0.6,0.3,0.7,0.5,-0.7,0.6,1.1,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,1081.0,837.0,244.0,340.0,684.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-07,219648,328579,215914.0,117780,299632.0,200283,157233,98.4,98.3,98.2,97.7,102.0,98.5,98.3,0.9,1.1,0.6,-0.6,6.0,0.9,0.6,0.8,0.6,0.8,0.3,0.6,1.0,1.2,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,836.0,766.0,70.0,264.0,542.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-08,222538,333032,218774.0,119247,303072.0,202808,159386,99.7,99.7,99.5,99.0,103.2,99.7,99.6,-0.1,0.2,-0.4,-1.0,4.9,-0.2,-0.6,1.3,1.4,1.3,1.2,1.1,1.3,1.4,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,984.0,878.0,106.0,308.0,633.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-09,222981,333802,219165.0,119339,304806.0,203142,159774,99.9,99.9,99.7,99.0,103.8,99.9,99.9,-1.3,-1.0,-1.6,-1.5,4.7,-1.4,-1.8,0.2,0.2,0.2,0.1,0.6,0.2,0.2,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,964.0,822.0,142.0,292.0,614.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-10,222398,332575,218558.0,119425,304848.0,202594,159516,99.6,99.5,99.4,99.1,103.8,99.6,99.7,-1.4,-1.3,-1.8,-1.1,5.4,-1.5,-1.7,-0.3,-0.4,-0.3,0.1,0.0,-0.3,-0.2,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,989.0,844.0,145.0,308.0,636.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-11,220774,330414,216894.0,118430,304363.0,201225,158024,98.9,98.9,98.6,98.3,103.7,99.0,98.8,-1.4,-1.4,-1.8,-1.4,5.4,-1.3,-1.8,-0.7,-0.6,-0.8,-0.8,-0.2,-0.7,-0.9,2023-11,1,2023-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,967.0,812.0,155.0,280.0,640.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2023-12,220105,329019,216262.0,118254,302816.0,200804,157520,98.6,98.5,98.3,98.1,103.1,98.8,98.5,-1.6,-1.7,-1.9,-2.0,4.7,-1.4,-1.9,-0.3,-0.4,-0.3,-0.1,-0.5,-0.2,-0.3,2023-12,1,2023-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,928.0,739.0,189.0,281.0,594.0
http://landregistry.data.gov.uk/data/ukhpi/region/nottinghamshire/month/2024-01,219460,328495,215625.0,118042,302012.0,200040,156910,98.3,98.3,98.1,98.0,102.9,98.4,98.1,-1.7,-1.7,-1.9,-2.0,2.9,-1.6,-1.9,-0.3,-0.2,-0.3,-0.2,-0.3,-0.4,-0.4,2024-01,1,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/nottinghamshire,671.0,584.0,87.0,205.0,423.0
