_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-01,136092,246135,134904.0,93330,199119.0,154821,113031,74.3,75.3,74.1,77.7,77.9,74.5,73.3,5.6,5.2,5.6,4.0,6.8,6.0,5.6,-1.1,-1.0,-1.1,-1.5,-0.5,-1.1,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,238.0,233.0,5.0,72.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-02,136896,247394,135653.0,93502,202113.0,155639,113817,74.7,75.6,74.5,77.8,79.0,74.9,73.8,8.3,7.7,8.3,6.1,8.0,8.6,8.4,0.6,0.5,0.6,0.2,1.5,0.5,0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,220.0,211.0,9.0,52.0,163.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-03,135055,244374,133742.0,91986,202482.0,153689,112205,73.7,74.7,73.4,76.6,79.2,74.0,72.8,7.3,6.7,7.3,5.3,7.8,7.5,7.5,-1.3,-1.2,-1.4,-1.6,0.2,-1.3,-1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,244.0,231.0,13.0,63.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-04,137600,249250,136237.0,93015,207184.0,156448,114435,75.1,76.2,74.8,77.4,81.0,75.3,74.2,8.5,8.5,8.5,6.0,8.9,8.7,8.7,1.9,2.0,1.9,1.1,2.3,1.8,2.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,84.0,82.0,2.0,21.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-05,136231,247128,134792.0,92146,208211.0,155115,113129,74.3,75.6,74.0,76.7,81.4,74.7,73.4,6.3,6.7,6.2,4.3,9.9,6.6,6.2,-1.0,-0.9,-1.1,-0.9,0.5,-0.9,-1.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,114.0,114.0,,27.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-06,138812,251453,137414.0,93773,209826.0,158165,115269,75.7,76.9,75.4,78.1,82.0,76.1,74.8,6.7,7.2,6.6,4.4,10.0,7.1,6.5,1.9,1.7,1.9,1.8,0.8,2.0,1.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,142.0,141.0,1.0,42.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-07,138277,249950,136950.0,93988,206766.0,157623,114791,75.5,76.4,75.2,78.2,80.8,75.9,74.4,5.7,6.0,5.6,3.9,7.5,6.3,5.4,-0.4,-0.6,-0.3,0.2,-1.5,-0.3,-0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,201.0,195.0,6.0,56.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-08,138414,250349,137152.0,93516,204693.0,157788,114944,75.5,76.5,75.3,77.8,80.0,76.0,74.5,4.5,4.8,4.5,2.4,5.3,5.2,4.2,0.1,0.2,0.1,-0.5,-1.0,0.1,0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,196.0,177.0,19.0,51.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-09,139378,252853,138086.0,93636,206825.0,158765,115773,76.1,77.3,75.8,77.9,80.9,76.4,75.1,3.6,4.2,3.5,0.9,4.1,4.4,3.1,0.7,1.0,0.7,0.1,1.0,0.6,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,212.0,199.0,13.0,61.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/oldham/month/2020-10,143742,261401,142471.0,95971,211244.0,163617,119451,78.4,79.9,78.2,79.9,82.6,78.8,77.5,6.9,7.8,6.9,3.4,6.5,7.4,6.6,3.1,3.4,3.2,2.5,2.1,3.1,3.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/oldham,230.0,226.0,4.0,68.0,158.0
