_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-01,155057,204430,152996.0,85880,216781.0,146278,120592,76.2,75.5,76.0,77.9,80.2,77.3,75.8,3.7,4.0,3.7,1.6,2.8,3.7,3.5,-4.8,-4.6,-4.8,-5.3,-4.3,-5.0,-4.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,30.0,28.0,2.0,18.0,12.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-02,133759,176553,131876.0,73471,189546.0,126018,104194,65.7,65.2,65.5,66.7,70.1,66.6,65.5,-6.4,-5.8,-6.3,-9.4,-7.6,-6.5,-6.4,-13.7,-13.6,-13.8,-14.4,-12.6,-13.9,-13.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,23.0,23.0,,14.0,9.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-03,129649,170408,127643.0,71496,188101.0,122381,101608,63.7,62.9,63.4,64.9,69.6,64.7,63.9,-5.5,-5.5,-5.6,-7.4,-5.0,-5.4,-4.9,-3.1,-3.5,-3.2,-2.7,-0.8,-2.9,-2.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,25.0,24.0,1.0,11.0,14.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-04,117834,154856,116007.0,64723,171070.0,111146,92550,57.9,57.2,57.6,58.7,63.3,58.8,58.2,-17.7,-17.5,-17.7,-19.2,-17.9,-17.8,-17.2,-9.1,-9.1,-9.1,-9.5,-9.1,-9.2,-8.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,23.0,23.0,,14.0,9.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-05,120624,158056,118692.0,66609,176654.0,114043,94964,59.3,58.4,59.0,60.4,65.3,60.3,59.7,-15.9,-15.8,-15.9,-17.0,-14.8,-15.9,-15.5,2.4,2.1,2.3,2.9,3.3,2.6,2.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,14.0,13.0,1.0,7.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-06,124204,163309,122344.0,67916,178733.0,117234,97481,61.0,60.3,60.8,61.6,66.1,62.0,61.3,-18.2,-17.6,-18.2,-20.7,-18.0,-18.5,-18.2,3.0,3.3,3.1,2.0,1.2,2.8,2.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,9.0,9.0,,5.0,4.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-07,131145,172647,129249.0,72163,187009.0,123612,102653,64.4,63.8,64.2,65.5,69.2,65.3,64.5,-11.1,-10.3,-11.1,-13.8,-11.6,-11.4,-11.3,5.6,5.7,5.6,6.3,4.6,5.4,5.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,12.0,12.0,,9.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-08,149807,196505,147681.0,82934,212606.0,141567,117664,73.6,72.6,73.4,75.3,78.6,74.8,74.0,-3.7,-3.3,-3.6,-5.6,-4.1,-3.6,-3.6,14.2,13.8,14.3,14.9,13.7,14.5,14.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,24.0,23.0,1.0,16.0,8.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-09,149417,195291,147186.0,82791,214755.0,141610,117854,73.4,72.1,73.1,75.1,79.4,74.9,74.1,-5.3,-5.3,-5.3,-6.9,-5.1,-4.8,-5.0,-0.3,-0.6,-0.3,-0.2,1.0,0.0,0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,42.0,40.0,2.0,23.0,19.0
http://landregistry.data.gov.uk/data/ukhpi/region/orkney-islands/month/2020-10,158211,206693,155915.0,87484,225767.0,149954,124963,77.7,76.4,77.5,79.4,83.5,79.3,78.6,-2.7,-2.7,-2.7,-4.3,-2.9,-2.5,-2.2,5.9,5.8,5.9,5.7,5.1,5.9,6.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/orkney-islands,41.0,37.0,4.0,19.0,22.0
