_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-01,351250,560312,340177.0,207276,442753.0,347888,289787,86.3,85.5,85.3,91.3,87.1,85.9,85.7,0.7,0.3,0.8,-0.3,0.2,1.2,1.2,1.0,1.0,0.8,0.7,1.8,1.1,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,687.0,549.0,138.0,168.0,497.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-02,349847,560990,337775.0,204591,448671.0,346334,288067,86.0,85.6,84.7,90.1,88.3,85.5,85.2,0.2,0.2,0.4,-1.6,-0.2,0.6,0.8,-0.4,0.1,-0.7,-1.3,1.3,-0.4,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,694.0,527.0,167.0,190.0,479.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-03,351000,563638,338226.0,204252,455127.0,347838,288772,86.3,86.0,84.8,90.0,89.5,85.8,85.4,1.1,1.0,1.1,-0.9,1.3,1.6,1.5,0.3,0.5,0.1,-0.2,1.4,0.4,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,699.0,525.0,174.0,192.0,477.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-04,351580,568082,338175.0,202542,458614.0,348104,288428,86.4,86.7,84.8,89.2,90.2,85.9,85.3,1.8,2.3,1.8,-0.8,2.1,2.1,1.8,0.2,0.8,0.0,-0.8,0.8,0.1,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,284.0,232.0,52.0,66.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-05,352078,568969,337599.0,202700,463938.0,348936,288517,86.5,86.8,84.6,89.3,91.3,86.1,85.3,3.0,4.0,2.4,0.3,5.7,3.4,2.5,0.1,0.2,-0.2,0.1,1.2,0.2,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,369.0,293.0,76.0,103.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-06,352889,569265,339216.0,202584,461390.0,350121,290037,86.7,86.8,85.0,89.2,90.8,86.4,85.8,2.6,3.1,2.2,-0.1,4.6,3.2,2.5,0.2,0.1,0.5,-0.1,-0.5,0.3,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,556.0,435.0,121.0,148.0,397.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-07,354696,569563,342036.0,205163,458930.0,352014,292244,87.2,86.9,85.7,90.4,90.3,86.9,86.4,2.4,2.6,2.5,0.2,2.9,3.1,2.6,0.5,0.1,0.8,1.3,-0.5,0.5,0.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,684.0,584.0,100.0,189.0,483.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-08,362818,580641,351233.0,209769,463421.0,360488,300111,89.2,88.6,88.0,92.4,91.2,89.0,88.7,3.2,2.8,3.5,1.1,2.7,4.0,3.7,2.3,1.9,2.7,2.2,1.0,2.4,2.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,800.0,656.0,144.0,215.0,561.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-09,366930,589563,354627.0,211205,471192.0,364182,302827,90.2,89.9,88.9,93.0,92.7,89.9,89.5,3.5,3.7,3.7,0.8,3.4,4.3,3.4,1.1,1.5,1.0,0.7,1.7,1.0,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,835.0,712.0,123.0,226.0,591.0
http://landregistry.data.gov.uk/data/ukhpi/region/oxfordshire/month/2020-10,367246,590413,355777.0,210613,467973.0,364377,303554,90.2,90.1,89.2,92.8,92.1,89.9,89.8,4.4,4.9,4.7,1.5,4.7,5.0,4.6,0.1,0.1,0.3,-0.3,-0.7,0.1,0.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/oxfordshire,1058.0,909.0,149.0,277.0,762.0
