_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-01,167528,244287,167322.0,96932,160618.0,151751,126109,76.2,75.9,76.0,78.6,79.0,76.7,75.6,2.1,1.8,2.1,0.7,1.8,2.7,2.5,-1.6,-1.5,-1.7,-2.0,-0.7,-1.6,-1.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,134.0,129.0,5.0,65.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-02,169848,247895,169568.0,98101,163641.0,153650,127896,77.2,77.0,77.0,79.5,80.5,77.7,76.7,5.1,4.8,5.2,3.3,3.4,5.5,5.7,1.4,1.5,1.3,1.2,1.9,1.3,1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,140.0,117.0,23.0,60.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-03,169336,247322,168948.0,97645,164586.0,153090,127482,77.0,76.8,76.7,79.2,81.0,77.4,76.5,8.1,7.9,8.2,6.6,6.9,8.4,8.8,-0.3,-0.2,-0.4,-0.5,0.6,-0.4,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,135.0,125.0,10.0,64.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-04,171140,250042,170752.0,98095,166290.0,154647,129006,77.8,77.6,77.5,79.5,81.8,78.2,77.4,7.2,7.0,7.3,5.4,5.4,7.3,7.8,1.1,1.1,1.1,0.5,1.0,1.0,1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,70.0,67.0,3.0,39.0,29.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-05,166037,242288,165486.0,95235,164174.0,150327,125159,75.5,75.2,75.2,77.2,80.8,76.0,75.1,2.1,2.0,2.0,0.6,3.3,2.3,2.3,-3.0,-3.1,-3.1,-2.9,-1.3,-2.8,-3.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,75.0,71.0,4.0,28.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-06,160488,234040,160035.0,91839,157431.0,145497,121013,73.0,72.7,72.7,74.5,77.5,73.5,72.6,-2.3,-2.3,-2.4,-4.2,-0.9,-2.0,-2.3,-3.3,-3.4,-3.3,-3.6,-4.1,-3.2,-3.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,97.0,89.0,8.0,46.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-07,163989,239248,163627.0,94316,159176.0,148560,123511,74.6,74.3,74.3,76.5,78.3,75.1,74.1,0.0,0.3,0.0,-1.9,0.1,0.3,-0.2,2.2,2.2,2.2,2.7,1.1,2.1,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,117.0,114.0,3.0,60.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-08,168752,246427,168468.0,96366,162336.0,152815,127153,76.7,76.5,76.5,78.1,79.9,77.2,76.3,1.0,1.2,1.0,-1.2,0.8,1.4,0.8,2.9,3.0,3.0,2.2,2.0,2.9,2.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,116.0,114.0,2.0,54.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-09,178124,260561,177776.0,101137,172113.0,161074,134187,81.0,80.9,80.7,82.0,84.7,81.4,80.5,3.8,4.2,3.8,1.1,3.3,4.2,3.5,5.6,5.7,5.5,5.0,6.0,5.4,5.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,115.0,114.0,1.0,59.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-10,178155,261227,177928.0,100362,170203.0,160771,134182,81.0,81.1,80.8,81.4,83.8,81.3,80.5,4.0,4.6,4.0,0.6,3.0,4.0,3.7,0.0,0.3,0.1,-0.8,-1.1,-0.2,0.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,158.0,156.0,2.0,70.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-11,181057,265881,180994.0,102096,170299.0,162939,136365,82.3,82.6,82.2,82.8,83.8,82.4,81.8,6.7,7.5,6.8,3.3,4.7,6.2,6.6,1.6,1.8,1.7,1.7,0.1,1.3,1.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,166.0,163.0,3.0,76.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2020-12,183168,269084,183213.0,103156,170564.0,164543,138150,83.3,83.6,83.2,83.6,83.9,83.2,82.9,7.6,8.5,7.7,4.3,5.5,6.7,7.8,1.2,1.2,1.2,1.0,0.2,1.0,1.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,219.0,207.0,12.0,95.0,117.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-01,186067,272256,186189.0,106216,172077.0,167266,140766,84.6,84.5,84.6,86.1,84.7,84.5,84.4,11.1,11.4,11.3,9.6,7.1,10.2,11.6,1.6,1.2,1.6,3.0,0.9,1.7,1.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,169.0,161.0,8.0,91.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-02,184470,269001,184586.0,106405,170675.0,165960,139930,83.9,83.5,83.8,86.3,84.0,83.9,83.9,8.6,8.5,8.9,8.5,4.3,8.0,9.4,-0.9,-1.2,-0.9,0.2,-0.8,-0.8,-0.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,205.0,193.0,12.0,105.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-03,181986,264187,182071.0,106666,168860.0,163888,138461,82.8,82.0,82.7,86.5,83.1,82.8,83.1,7.5,6.8,7.8,9.2,2.6,7.1,8.6,-1.3,-1.8,-1.4,0.2,-1.1,-1.2,-1.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,285.0,261.0,24.0,157.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-04,177984,258190,177941.0,104296,167138.0,160270,135619,80.9,80.2,80.8,84.6,82.2,81.0,81.3,4.0,3.3,4.2,6.3,0.5,3.6,5.1,-2.2,-2.3,-2.3,-2.2,-1.0,-2.2,-2.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,199.0,186.0,13.0,92.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-05,179385,260046,179326.0,105112,168707.0,161538,136856,81.6,80.7,81.4,85.2,83.0,81.7,82.1,8.0,7.3,8.4,10.4,2.8,7.5,9.3,0.8,0.7,0.8,0.8,0.9,0.8,0.9,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,189.0,183.0,6.0,87.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-06,183345,265545,183445.0,107493,169926.0,164785,140377,83.4,82.5,83.3,87.2,83.6,83.3,84.2,14.2,13.5,14.6,17.0,7.9,13.3,16.0,2.2,2.1,2.3,2.3,0.7,2.0,2.6,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,301.0,286.0,15.0,142.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-07,191744,277176,191793.0,112223,178625.0,172835,146967,87.2,86.1,87.1,91.0,87.9,87.4,88.2,16.9,15.9,17.2,19.0,12.2,16.3,19.0,4.6,4.4,4.6,4.4,5.1,4.9,4.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,194.0,183.0,11.0,89.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-08,194837,282276,195002.0,113351,179707.0,175581,149022,88.6,87.7,88.6,91.9,88.4,88.8,89.4,15.5,14.5,15.8,17.6,10.7,14.9,17.2,1.6,1.8,1.7,1.0,0.6,1.6,1.4,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,221.0,208.0,13.0,103.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-09,195538,283485,195679.0,113302,180740.0,176525,149263,88.9,88.0,88.9,91.9,88.9,89.2,89.5,9.8,8.8,10.1,12.0,5.0,9.6,11.2,0.4,0.4,0.3,0.0,0.6,0.5,0.2,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,199.0,188.0,11.0,94.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-10,197489,288625,197868.0,113765,178789.0,177311,149627,89.8,89.6,89.9,92.2,88.0,89.6,89.7,10.9,10.5,11.2,13.4,5.0,10.3,11.5,1.0,1.8,1.1,0.4,-1.1,0.4,0.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,179.0,169.0,10.0,93.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-11,202248,296061,202564.0,116315,184202.0,181536,152883,92.0,91.9,92.0,94.3,90.6,91.8,91.7,11.7,11.4,11.9,13.9,8.2,11.4,12.1,2.4,2.6,2.4,2.2,3.0,2.4,2.2,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,225.0,207.0,18.0,110.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2021-12,204384,300477,204796.0,116905,184747.0,182900,153977,93.0,93.3,93.0,94.8,90.9,92.5,92.4,11.6,11.7,11.8,13.3,8.3,11.2,11.5,1.1,1.5,1.1,0.5,0.3,0.8,0.7,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,212.0,192.0,20.0,100.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2022-01,208519,305892,208933.0,118992,188574.0,187024,157459,94.8,95.0,94.9,96.5,92.8,94.5,94.4,12.1,12.4,12.2,12.0,9.6,11.8,11.9,2.0,1.8,2.0,1.8,2.1,2.3,2.3,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,135.0,128.0,7.0,64.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2022-02,208968,306067,209394.0,119729,190307.0,187546,157976,95.0,95.0,95.1,97.1,93.6,94.8,94.8,13.3,13.8,13.4,12.5,11.5,13.0,12.9,0.2,0.1,0.2,0.6,0.9,0.3,0.3,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,168.0,155.0,13.0,86.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2022-03,208040,304627,208326.0,118859,192597.0,187177,157058,94.6,94.6,94.6,96.4,94.8,94.6,94.2,14.3,15.3,14.4,11.4,14.1,14.2,13.4,-0.4,-0.5,-0.5,-0.7,1.2,-0.2,-0.6,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,179.0,170.0,9.0,82.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2022-04,210830,308336,211098.0,120455,196094.0,189554,159590,95.9,95.7,95.9,97.7,96.5,95.8,95.7,18.5,19.4,18.6,15.5,17.3,18.3,17.7,1.3,1.2,1.3,1.3,1.8,1.3,1.6,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,166.0,153.0,13.0,73.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/pembrokeshire/month/2022-05,216624,316809,216952.0,123127,199206.0,194743,164211,98.5,98.4,98.5,99.8,98.0,98.4,98.5,20.8,21.8,21.0,17.1,18.1,20.6,20.0,2.7,2.7,2.8,2.2,1.6,2.7,2.9,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/pembrokeshire,150.0,135.0,15.0,71.0,79.0
