_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-01,168818,282257,157619.0,97861,254685.0,174895,137759,79.2,78.3,78.8,80.7,80.4,79.3,79.3,-0.9,0.1,-0.9,-3.0,-0.1,-0.3,-0.5,-0.4,-0.1,-0.5,-0.7,0.6,-0.4,-0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,208.0,189.0,19.0,80.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-02,168707,282886,157343.0,97636,257202.0,174589,137330,79.1,78.4,78.6,80.5,81.2,79.2,79.0,-2.3,-1.1,-2.2,-4.7,-2.4,-1.8,-2.0,-0.1,0.2,-0.2,-0.2,1.0,-0.2,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,191.0,161.0,30.0,72.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-03,170271,284842,158559.0,99064,262789.0,176047,138469,79.9,79.0,79.2,81.7,83.0,79.8,79.7,-0.9,-0.4,-0.9,-2.0,-0.4,-0.5,-0.6,0.9,0.7,0.8,1.5,2.2,0.8,0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,192.0,160.0,32.0,84.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-04,171272,287289,159394.0,99121,265246.0,176897,139650,80.3,79.7,79.6,81.8,83.8,80.2,80.4,0.7,1.8,0.7,-1.0,1.2,0.8,0.8,0.6,0.9,0.5,0.1,0.9,0.5,0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,54.0,49.0,5.0,16.0,38.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-05,173631,290526,161291.0,100653,271643.0,179449,141907,81.4,80.6,80.6,83.0,85.8,81.4,81.7,3.6,4.8,3.2,1.9,6.3,3.6,3.4,1.4,1.1,1.2,1.5,2.4,1.4,1.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,106.0,100.0,6.0,40.0,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-06,176846,296943,164528.0,101818,274409.0,183112,144488,83.0,82.3,82.2,84.0,86.7,83.0,83.2,4.4,6.7,4.1,1.4,7.4,4.6,3.9,1.9,2.2,2.0,1.2,1.0,2.0,1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,157.0,146.0,11.0,59.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-07,176084,295847,164049.0,101695,271070.0,182132,143228,82.6,82.0,82.0,83.9,85.6,82.6,82.4,2.7,4.8,2.6,0.1,4.3,3.0,2.0,-0.4,-0.4,-0.3,-0.1,-1.2,-0.5,-0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,179.0,153.0,26.0,78.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-08,175354,293745,163620.0,101160,267628.0,182063,143191,82.3,81.4,81.8,83.4,84.5,82.6,82.4,0.4,1.9,0.4,-2.2,1.3,1.1,0.2,-0.4,-0.7,-0.3,-0.5,-1.3,0.0,0.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,211.0,173.0,38.0,87.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-09,177121,294975,165206.0,102540,270878.0,184328,145391,83.1,81.8,82.5,84.6,85.6,83.6,83.7,-0.1,0.6,-0.1,-2.2,0.2,1.0,0.2,1.0,0.4,1.0,1.4,1.2,1.2,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,332.0,301.0,31.0,109.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/perth-and-kinross/month/2020-10,179739,298390,167978.0,104054,271889.0,187457,148181,84.3,82.7,83.9,85.8,85.9,85.0,85.3,1.7,2.3,1.9,-0.2,1.4,2.7,2.4,1.5,1.2,1.7,1.5,0.4,1.7,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/perth-and-kinross,405.0,364.0,41.0,151.0,254.0
