_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-01,213248,444437,212500.0,153131,353499.0,293047,226415,82.5,82.8,82.5,85.5,85.8,82.7,81.4,1.7,2.0,1.7,0.0,1.5,2.7,2.5,0.6,0.7,0.6,0.4,1.2,0.6,0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,204.0,204.0,48.0,153.0,
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-02,211706,440892,210903.0,151961,353367.0,290275,224940,81.9,82.2,81.9,84.8,85.8,81.9,80.8,2.3,2.6,2.3,0.3,0.6,3.0,3.2,-0.7,-0.8,-0.8,-0.8,0.0,-0.9,-0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,193.0,193.0,55.0,136.0,
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-03,210093,437249,209203.0,150924,355949.0,287899,223188,81.3,81.5,81.2,84.2,86.4,81.2,80.2,2.0,1.9,2.0,0.4,1.2,2.4,2.8,-0.8,-0.8,-0.8,-0.7,0.7,-0.8,-0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,193.0,190.0,35.0,151.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-04,207716,433163,206823.0,148522,353104.0,284775,221136,80.4,80.7,80.3,82.9,85.7,80.3,79.5,0.3,0.9,0.3,-1.5,0.0,1.0,1.2,-1.1,-0.9,-1.1,-1.6,-0.8,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,71.0,71.0,17.0,53.0,
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-05,208119,433614,207175.0,148822,358110.0,286086,221437,80.5,80.8,80.5,83.1,86.9,80.7,79.6,-0.1,0.5,-0.2,-1.5,2.1,0.6,0.4,0.2,0.1,0.2,0.2,1.4,0.5,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,117.0,117.0,31.0,86.0,
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-06,210161,437406,209256.0,149876,357376.0,288991,223904,81.3,81.5,81.3,83.6,86.7,81.5,80.5,0.4,1.2,0.3,-1.3,2.5,1.3,1.1,1.0,0.9,1.0,0.7,-0.2,1.0,1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,172.0,171.0,39.0,132.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-07,212310,440660,211444.0,151908,356769.0,291534,225924,82.2,82.1,82.1,84.8,86.6,82.2,81.2,0.5,1.3,0.5,-0.8,1.2,1.5,1.1,1.0,0.7,1.0,1.4,-0.2,0.9,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,190.0,189.0,39.0,151.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-08,212626,443272,211808.0,151379,352914.0,292387,226700,82.3,82.6,82.3,84.5,85.6,82.5,81.5,1.7,2.7,1.7,0.0,1.6,2.8,2.4,0.1,0.6,0.2,-0.3,-1.1,0.3,0.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,206.0,205.0,45.0,158.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-09,213575,447312,212750.0,151629,354851.0,293974,227928,82.7,83.3,82.6,84.6,86.1,82.9,81.9,2.4,4.0,2.3,0.3,1.6,3.9,3.1,0.4,0.9,0.4,0.2,0.5,0.5,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,244.0,243.0,67.0,175.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/portsmouth/month/2020-10,216802,456281,215998.0,153464,357254.0,298573,231628,83.9,85.0,83.9,85.6,86.7,84.2,83.2,4.8,6.6,4.8,2.6,3.3,5.8,5.6,1.5,2.0,1.5,1.2,0.7,1.6,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/portsmouth,282.0,282.0,56.0,220.0,
