_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-01,182798,252984,182056.0,81630,265296.0,163637,131541,79.3,79.1,79.2,82.4,82.3,79.4,79.0,1.0,0.6,1.1,-0.3,0.9,1.4,1.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,139.0,137.0,2.0,56.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-02,179308,248076,178504.0,80053,262422.0,160412,129193,77.7,77.6,77.6,80.8,81.4,77.8,77.6,-1.0,-1.4,-0.9,-2.5,-2.2,-0.6,-0.3,-1.9,-1.9,-2.0,-1.9,-1.1,-2.0,-1.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,125.0,119.0,6.0,53.0,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-03,182755,252942,181831.0,81292,270936.0,163515,131591,79.2,79.1,79.1,82.0,84.1,79.3,79.0,1.8,1.4,1.9,0.5,1.4,2.2,2.5,1.9,2.0,1.9,1.5,3.2,1.9,1.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,126.0,122.0,4.0,63.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-04,177919,246241,177003.0,79037,264454.0,159023,128257,77.1,77.0,77.0,79.8,82.1,77.2,77.0,0.2,-0.2,0.2,-1.0,-0.4,0.4,0.7,-2.6,-2.6,-2.7,-2.8,-2.4,-2.7,-2.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,47.0,45.0,2.0,20.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-05,179130,247635,178111.0,79935,270368.0,160382,129134,77.7,77.5,77.4,80.7,83.9,77.8,77.5,0.4,0.2,0.4,-0.1,2.5,0.7,0.7,0.7,0.6,0.6,1.1,2.2,0.9,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,71.0,69.0,2.0,25.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-06,178233,246088,177277.0,79468,266591.0,159832,128604,77.3,77.0,77.1,80.2,82.7,77.6,77.2,3.0,2.7,2.9,2.2,5.2,3.5,3.2,-0.5,-0.6,-0.5,-0.6,-1.4,-0.3,-0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,67.0,64.0,3.0,35.0,30.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-07,182593,252274,181684.0,81305,270128.0,163750,131603,79.2,78.9,79.0,82.1,83.8,79.5,79.0,4.3,4.3,4.3,2.9,4.8,4.7,4.1,2.4,2.5,2.5,2.3,1.3,2.5,2.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,94.0,93.0,1.0,52.0,40.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-08,187653,259494,186799.0,82115,274166.0,168246,135303,81.4,81.2,81.2,82.9,85.1,81.6,81.2,5.8,5.6,5.7,3.1,5.6,6.3,5.8,2.8,2.9,2.8,1.0,1.5,2.7,2.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,106.0,105.0,1.0,52.0,52.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-09,187517,259794,186643.0,81207,274830.0,167871,135072,81.3,81.3,81.2,82.0,85.3,81.5,81.1,1.5,1.5,1.5,-2.0,1.1,2.0,1.4,-0.1,0.1,-0.1,-1.1,0.2,-0.2,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,113.0,113.0,,54.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-10,192910,267770,192059.0,82929,280722.0,172381,138818,83.6,83.8,83.5,83.7,87.1,83.6,83.3,4.0,4.1,4.0,-0.2,3.6,4.2,4.0,2.9,3.1,2.9,2.1,2.1,2.7,2.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,180.0,177.0,3.0,81.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-11,192298,267248,191511.0,82861,277304.0,171429,138334,83.4,83.6,83.3,83.6,86.1,83.2,83.0,3.2,3.6,3.2,-0.8,2.7,3.0,3.3,-0.3,-0.2,-0.3,-0.1,-1.2,-0.6,-0.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,158.0,158.0,,65.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2020-12,200046,278101,199278.0,86353,286401.0,178066,144004,86.7,87.0,86.6,87.1,88.9,86.4,86.4,9.4,9.9,9.4,5.2,9.0,8.8,9.5,4.0,4.1,4.1,4.2,3.3,3.9,4.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,252.0,247.0,5.0,132.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2021-01,203793,282251,203116.0,89194,287516.0,181716,147274,88.4,88.3,88.3,90.0,89.2,88.2,88.4,11.5,11.6,11.6,9.3,8.4,11.0,12.0,1.9,1.5,1.9,3.3,0.4,2.0,2.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,150.0,140.0,10.0,67.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2021-02,202796,280023,202159.0,90134,285498.0,181036,146973,87.9,87.6,87.9,91.0,88.6,87.8,88.2,13.1,12.9,13.3,12.6,8.8,12.9,13.8,-0.5,-0.8,-0.5,1.1,-0.7,-0.4,-0.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,184.0,178.0,6.0,93.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2021-03,199139,273869,198548.0,89934,280180.0,178064,144912,86.3,85.7,86.3,90.8,87.0,86.4,87.0,9.0,8.3,9.2,10.6,3.4,8.9,10.1,-1.8,-2.2,-1.8,-0.2,-1.9,-1.6,-1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,229.0,219.0,10.0,108.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/powys/month/2021-04,193100,265369,192475.0,87649,275819.0,172527,140725,83.7,83.0,83.7,88.5,85.6,83.7,84.5,8.5,7.8,8.7,10.9,4.3,8.5,9.7,-3.0,-3.1,-3.1,-2.5,-1.6,-3.1,-2.9,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/powys,176.0,157.0,19.0,71.0,105.0
