_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-01,299034,599970,297970.0,207482,274188.0,364406,289161,83.7,82.2,83.2,87.3,90.3,82.4,82.1,-2.9,-2.7,-2.8,-4.4,-3.9,-2.1,-2.0,-0.3,-0.3,-0.4,-0.5,0.3,-0.3,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,175.0,164.0,11.0,29.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-02,295934,593834,294533.0,205272,272883.0,360299,286389,82.9,81.4,82.2,86.4,89.9,81.4,81.3,-3.3,-2.9,-3.0,-5.1,-5.5,-2.5,-2.1,-1.0,-1.0,-1.2,-1.1,-0.5,-1.1,-1.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,158.0,139.0,19.0,28.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-03,295961,593522,293927.0,205570,276601.0,360164,286191,82.9,81.3,82.1,86.5,91.1,81.4,81.3,-1.6,-1.4,-1.5,-3.1,-2.7,-0.9,-0.7,0.0,-0.1,-0.2,0.1,1.4,0.0,-0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,127.0,112.0,15.0,19.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-04,297525,599063,295382.0,205798,278864.0,362403,288290,83.3,82.1,82.5,86.6,91.9,81.9,81.9,-1.5,-0.4,-1.4,-3.2,-2.5,-0.6,-0.6,0.5,0.9,0.5,0.1,0.8,0.6,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,54.0,52.0,2.0,2.0,52.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-05,298308,598961,295689.0,206614,283334.0,363607,288806,83.5,82.1,82.6,86.9,93.3,82.2,82.0,-0.4,0.5,-0.6,-1.6,1.1,0.4,0.0,0.3,0.0,0.1,0.4,1.6,0.3,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,67.0,61.0,6.0,9.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-06,292509,586761,290267.0,201894,275280.0,357155,283846,81.9,80.4,81.0,85.0,90.7,80.7,80.6,-3.7,-2.9,-3.9,-5.2,-2.4,-2.8,-3.0,-1.9,-2.0,-1.8,-2.3,-2.8,-1.8,-1.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,120.0,114.0,6.0,24.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-07,294133,588142,292237.0,203551,273913.0,358805,285164,82.3,80.6,81.6,85.7,90.2,81.1,81.0,-2.4,-1.9,-2.4,-3.7,-2.5,-1.5,-1.8,0.6,0.2,0.7,0.8,-0.5,0.5,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,138.0,121.0,17.0,28.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-08,298944,600913,297404.0,205530,275311.0,365475,290714,83.7,82.4,83.0,86.5,90.7,82.6,82.6,-1.8,-0.9,-1.8,-3.7,-2.8,-0.8,-1.0,1.6,2.2,1.8,1.0,0.5,1.9,1.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,138.0,127.0,11.0,28.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-09,300851,608084,299183.0,206427,277975.0,368057,292509,84.2,83.3,83.5,86.9,91.6,83.2,83.1,-0.9,0.7,-0.7,-3.0,-2.4,0.5,-0.2,0.6,1.2,0.6,0.4,1.0,0.7,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,163.0,150.0,13.0,25.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/reading/month/2020-10,301741,613605,300410.0,206209,276137.0,369684,293650,84.5,84.1,83.9,86.8,91.0,83.6,83.4,0.4,2.5,0.6,-1.8,-1.6,1.6,1.2,0.3,0.9,0.4,-0.1,-0.7,0.4,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/reading,150.0,142.0,8.0,23.0,127.0
