_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-01,412261,928676,412288.0,281674,266146.0,564552,439916,86.1,85.4,85.9,89.8,93.9,84.9,84.6,-0.3,-0.4,-0.2,-1.8,-0.7,0.4,0.7,-0.2,-0.1,-0.2,-0.3,0.5,-0.2,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,187.0,181.0,6.0,26.0,157.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-02,409846,925349,409474.0,279605,264403.0,561120,437754,85.6,85.0,85.4,89.1,93.3,84.4,84.1,1.4,1.7,1.6,-0.4,-1.2,2.2,2.6,-0.6,-0.4,-0.7,-0.7,-0.7,-0.6,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,197.0,181.0,16.0,28.0,163.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-03,412909,933815,412004.0,281462,267768.0,565301,441287,86.3,85.8,85.9,89.7,94.5,85.1,84.8,3.7,3.9,3.9,2.0,1.2,4.5,4.8,0.7,0.9,0.6,0.7,1.3,0.7,0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,169.0,168.0,1.0,31.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-04,412452,940601,411727.0,279796,265649.0,565076,441875,86.2,86.5,85.8,89.2,93.8,85.0,84.9,4.5,5.9,4.7,2.5,1.0,5.5,5.6,-0.1,0.7,-0.1,-0.6,-0.8,0.0,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,73.0,73.0,,10.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-05,411408,940536,410152.0,279471,270249.0,563482,440237,86.0,86.4,85.5,89.1,95.4,84.8,84.6,4.3,6.3,4.2,2.8,4.1,5.2,4.9,-0.3,0.0,-0.4,-0.1,1.7,-0.3,-0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,70.0,70.0,,12.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-06,406646,926874,405668.0,275358,264579.0,557954,435975,85.0,85.2,84.6,87.8,93.4,83.9,83.8,1.4,3.4,1.3,-0.3,1.3,2.4,2.1,-1.2,-1.5,-1.1,-1.5,-2.1,-1.0,-1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,143.0,140.0,3.0,26.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-07,408728,923149,407889.0,277609,264490.0,560086,437902,85.4,84.8,85.0,88.5,93.3,84.3,84.2,0.4,1.6,0.4,-1.1,-0.6,1.3,1.1,0.5,-0.4,0.5,0.8,0.0,0.4,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,154.0,152.0,2.0,29.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-08,411614,927991,411058.0,278035,263450.0,565840,442270,86.0,85.3,85.7,88.6,93.0,85.1,85.0,-0.1,0.9,-0.2,-2.0,-2.2,1.0,0.7,0.7,0.5,0.8,0.2,-0.4,1.0,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,138.0,133.0,5.0,23.0,114.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-09,417561,945599,416877.0,281267,268411.0,574807,449097,87.3,86.9,86.9,89.6,94.7,86.5,86.3,3.1,4.4,3.1,0.9,0.7,4.6,4.0,1.4,1.9,1.4,1.2,1.9,1.6,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,173.0,171.0,2.0,26.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/redbridge/month/2020-10,420048,954057,419780.0,281575,265961.0,579285,452898,87.8,87.7,87.5,89.7,93.9,87.2,87.1,4.5,6.0,4.6,2.1,1.0,5.8,5.7,0.6,0.9,0.7,0.1,-0.9,0.8,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/redbridge,198.0,192.0,6.0,29.0,165.0
