_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-01,110986,189867,107926.0,64922,231038.0,114845,85000,76.7,77.6,76.3,78.6,79.6,77.0,75.2,4.1,3.5,4.0,2.5,4.3,4.4,4.6,-1.6,-1.3,-1.8,-2.1,-0.8,-1.7,-1.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,137.0,125.0,12.0,37.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-02,112630,193140,109330.0,65727,236255.0,116382,86308,77.9,79.0,77.3,79.6,81.4,78.0,76.3,4.6,3.9,4.8,2.7,3.6,4.9,5.3,1.5,1.7,1.3,1.2,2.3,1.3,1.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,149.0,141.0,8.0,56.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-03,112640,193846,109090.0,65479,239017.0,116352,86138,77.9,79.2,77.2,79.3,82.3,78.0,76.2,4.6,4.2,4.6,2.8,4.0,4.8,5.2,0.0,0.4,-0.2,-0.4,1.2,0.0,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,115.0,103.0,12.0,44.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-04,110326,190099,106814.0,63729,234662.0,113881,84470,76.3,77.7,75.5,77.2,80.8,76.4,74.7,2.8,2.7,2.9,0.7,2.2,2.9,3.3,-2.1,-1.9,-2.1,-2.7,-1.8,-2.1,-1.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,45.0,40.0,5.0,17.0,27.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-05,107963,186469,104321.0,62240,232788.0,111512,82408,74.6,76.2,73.8,75.3,80.2,74.8,72.9,-1.9,-1.4,-2.3,-3.8,0.0,-2.0,-2.0,-2.1,-1.9,-2.3,-2.3,-0.8,-2.1,-2.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,78.0,76.0,2.0,30.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-06,106889,184201,103423.0,61557,228363.0,110490,81649,73.9,75.3,73.1,74.5,78.7,74.1,72.2,-4.7,-4.1,-5.1,-6.9,-2.9,-4.7,-5.0,-1.0,-1.2,-0.9,-1.1,-1.9,-0.9,-0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,140.0,133.0,7.0,60.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-07,109785,188541,106396.0,63617,231907.0,113558,83944,75.9,77.1,75.2,77.0,79.9,76.1,74.3,-2.3,-2.0,-2.5,-4.1,-1.7,-2.1,-2.5,2.7,2.4,2.9,3.3,1.6,2.8,2.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,155.0,146.0,9.0,54.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-08,114433,196382,111028.0,65805,239748.0,118407,87604,79.1,80.3,78.5,79.7,82.6,79.4,77.5,3.8,4.0,3.7,1.2,3.8,4.1,3.5,4.2,4.2,4.4,3.4,3.4,4.3,4.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,137.0,122.0,15.0,41.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-09,117684,202527,114113.0,67211,247585.0,121695,90059,81.3,82.8,80.7,81.4,85.3,81.6,79.7,7.1,7.4,7.0,3.7,6.8,7.5,6.6,2.8,3.1,2.8,2.1,3.3,2.8,2.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,165.0,145.0,20.0,51.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/redcar-and-cleveland/month/2020-10,118058,203470,114588.0,67033,246682.0,122042,90361,81.6,83.2,81.0,81.2,85.0,81.8,79.9,4.6,5.3,4.6,0.7,4.1,4.8,4.3,0.3,0.5,0.4,-0.3,-0.4,0.3,0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,195.0,181.0,14.0,71.0,121.0
