_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-01,113904,254304,105139.0,76418,184198.0,150973,111488,83.0,83.0,82.7,84.0,84.9,82.3,81.8,3.6,5.7,3.3,1.4,5.0,4.8,4.5,0.7,1.3,0.5,0.4,1.7,0.7,0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,282.0,245.0,37.0,78.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-02,112876,253373,103889.0,75523,184389.0,149802,110538,82.3,82.7,81.7,83.0,85.0,81.6,81.1,4.1,6.3,4.0,1.8,4.7,5.4,5.3,-0.9,-0.4,-1.2,-1.2,0.1,-0.8,-0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,220.0,187.0,33.0,62.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-03,114136,255863,104703.0,76581,188719.0,151216,111633,83.2,83.5,82.4,84.2,87.0,82.4,81.9,4.6,5.5,4.3,3.4,5.2,5.2,5.4,1.1,1.0,0.8,1.4,2.3,0.9,1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,236.0,192.0,44.0,63.0,173.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-04,111548,250980,102245.0,74539,185220.0,147800,109471,81.3,81.9,80.4,82.0,85.4,80.5,80.3,1.2,3.0,1.0,-0.2,2.0,1.8,2.1,-2.3,-1.9,-2.3,-2.7,-1.9,-2.3,-1.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,67.0,62.0,5.0,20.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-05,114109,256300,104424.0,76244,191005.0,151139,112164,83.2,83.7,82.2,83.8,88.1,82.3,82.3,0.4,2.5,-0.3,-1.0,2.9,1.0,1.0,2.3,2.1,2.1,2.3,3.1,2.3,2.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,122.0,114.0,8.0,32.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-06,111351,250773,102022.0,73982,185303.0,148182,109803,81.1,81.9,80.3,81.4,85.4,80.7,80.5,-0.5,2.9,-1.3,-2.9,2.3,0.7,0.4,-2.4,-2.2,-2.3,-3.0,-3.0,-2.0,-2.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,153.0,135.0,18.0,46.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-07,112214,252403,102954.0,74886,185423.0,149075,110152,81.8,82.4,81.0,82.4,85.5,81.2,80.8,-1.3,1.6,-1.8,-3.3,0.6,0.0,-0.7,0.8,0.7,0.9,1.2,0.1,0.6,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,205.0,181.0,24.0,58.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-08,110981,248236,102031.0,74093,181503.0,147683,109212,80.9,81.0,80.3,81.5,83.7,80.5,80.1,-1.7,0.6,-2.1,-3.7,-0.5,-0.1,-0.7,-1.1,-1.7,-0.9,-1.1,-2.1,-0.9,-0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,244.0,208.0,36.0,73.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-09,115246,256160,105960.0,77076,188408.0,153324,113658,84.0,83.6,83.4,84.8,86.9,83.5,83.4,1.3,2.7,1.1,-0.4,1.8,3.1,2.4,3.8,3.2,3.9,4.0,3.8,3.8,4.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,385.0,351.0,34.0,103.0,282.0
http://landregistry.data.gov.uk/data/ukhpi/region/renfrewshire/month/2020-10,119428,263312,110071.0,79879,192855.0,159110,118349,87.0,86.0,86.6,87.8,88.9,86.7,86.8,5.4,6.0,5.3,3.9,4.9,6.8,7.0,3.6,2.8,3.9,3.6,2.4,3.8,4.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/renfrewshire,516.0,438.0,78.0,135.0,381.0
