_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-01,108685,194598,107317.0,64182,187107.0,118878,93773,70.8,71.4,70.7,74.7,73.6,71.2,70.3,3.8,3.5,3.8,2.1,3.7,4.1,3.8,-3.3,-3.1,-3.4,-3.8,-2.5,-3.3,-3.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,214.0,210.0,4.0,68.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-02,108206,194053,106765.0,63725,187730.0,118347,93330,70.5,71.2,70.4,74.2,73.9,70.9,69.9,4.4,3.9,4.4,2.3,2.9,4.5,4.5,-0.4,-0.3,-0.5,-0.7,0.3,-0.4,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,243.0,241.0,2.0,59.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-03,108004,194076,106475.0,63331,189792.0,118214,93092,70.3,71.2,70.2,73.7,74.7,70.8,69.8,5.7,5.2,5.7,3.6,4.9,5.7,5.9,-0.2,0.0,-0.3,-0.6,1.1,-0.1,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,231.0,229.0,2.0,70.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-04,108421,194988,106877.0,63189,191016.0,118533,93496,70.6,71.6,70.5,73.5,75.2,71.0,70.1,5.7,5.5,5.7,3.3,4.7,5.6,5.8,0.4,0.5,0.4,-0.2,0.6,0.3,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,137.0,137.0,,38.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-05,106002,190555,104448.0,61624,189120.0,115930,91414,69.0,70.0,68.9,71.7,74.4,69.4,68.5,3.4,3.7,3.3,1.2,5.1,3.5,3.4,-2.2,-2.3,-2.3,-2.5,-1.0,-2.2,-2.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,143.0,143.0,,35.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-06,108011,193914,106467.0,62582,190591.0,118211,93162,70.3,71.2,70.2,72.8,75.0,70.8,69.8,1.8,2.2,1.6,-0.8,3.5,2.0,1.6,1.9,1.8,1.9,1.6,0.8,2.0,1.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,140.0,138.0,2.0,42.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-07,108655,194789,107136.0,63248,189842.0,118991,93712,70.8,71.5,70.6,73.6,74.7,71.3,70.2,0.9,1.3,0.8,-1.4,1.5,1.3,0.7,0.6,0.5,0.6,1.1,-0.4,0.7,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,162.0,156.0,6.0,52.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-08,111320,199736,109787.0,64411,193200.0,121970,95989,72.5,73.3,72.4,75.0,76.0,73.1,71.9,1.4,1.8,1.3,-1.3,1.5,2.0,1.1,2.5,2.5,2.5,1.8,1.8,2.5,2.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,187.0,185.0,2.0,64.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-09,111526,200660,109962.0,64020,195081.0,122046,96174,72.6,73.7,72.5,74.5,76.8,73.1,72.1,3.6,4.3,3.5,0.2,3.8,4.2,3.2,0.2,0.5,0.2,-0.6,1.0,0.1,0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,227.0,221.0,6.0,60.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/rhondda-cynon-taf/month/2020-10,115279,207869,113688.0,65696,200321.0,125975,99439,75.1,76.3,74.9,76.4,78.8,75.5,74.5,5.0,6.0,4.9,0.9,5.0,5.2,4.8,3.4,3.6,3.4,2.6,2.7,3.2,3.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/rhondda-cynon-taf,321.0,315.0,6.0,81.0,237.0
