_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-01,698826,1488478,699212.0,458370,556023.0,981509,765434,89.4,85.7,89.4,92.5,92.0,86.8,88.9,0.6,0.5,0.7,-0.7,-1.2,1.2,1.8,1.1,0.9,1.0,1.0,1.8,1.0,1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,208.0,202.0,6.0,44.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-02,696670,1493999,696516.0,456944,559130.0,980084,761010,89.2,86.1,89.1,92.2,92.5,86.6,88.4,0.1,0.9,0.2,-1.4,-2.8,1.0,1.3,-0.3,0.4,-0.4,-0.3,0.6,-0.1,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,203.0,196.0,7.0,48.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-03,698873,1504061,698164.0,458326,568100.0,985948,761816,89.5,86.6,89.3,92.5,93.9,87.2,88.5,1.9,3.3,2.0,0.7,0.3,3.1,2.5,0.3,0.7,0.2,0.3,1.6,0.6,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,190.0,182.0,8.0,51.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-04,712411,1547297,711759.0,464209,577296.0,1006558,779721,91.2,89.1,91.0,93.6,95.5,89.0,90.6,5.1,7.7,5.2,3.3,2.7,6.6,5.9,1.9,2.9,1.9,1.3,1.6,2.1,2.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,91.0,86.0,5.0,25.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-05,731094,1586995,730134.0,476701,599662.0,1033149,799612,93.6,91.4,93.4,96.2,99.2,91.3,92.9,8.4,11.6,8.4,7.0,8.8,10.0,8.6,2.6,2.6,2.6,2.7,3.9,2.6,2.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,86.0,82.0,4.0,19.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-06,742226,1599152,741645.0,482676,599188.0,1047967,815734,95.0,92.1,94.8,97.4,99.1,92.6,94.7,7.5,10.1,7.5,5.9,7.2,9.0,8.0,1.5,0.8,1.6,1.3,-0.1,1.4,2.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,119.0,116.0,3.0,14.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-07,732249,1564245,731871.0,477923,586272.0,1031502,804168,93.7,90.1,93.6,96.4,97.0,91.2,93.4,5.4,7.3,5.4,4.1,3.9,6.5,5.9,-1.3,-2.2,-1.3,-1.0,-2.2,-1.6,-1.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,217.0,214.0,3.0,54.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-08,731550,1562592,731460.0,474570,578594.0,1032815,807533,93.6,90.0,93.5,95.7,95.7,91.3,93.8,5.1,6.8,5.1,3.5,2.8,6.2,6.0,-0.1,-0.1,-0.1,-0.7,-1.3,0.1,0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,203.0,201.0,2.0,39.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-09,731719,1574476,731503.0,472887,581744.0,1036343,808184,93.7,90.7,93.5,95.4,96.2,91.6,93.9,6.6,8.8,6.7,4.6,4.1,8.1,7.5,0.0,0.8,0.0,-0.4,0.5,0.3,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,227.0,224.0,3.0,53.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/richmond-upon-thames/month/2020-10,731525,1576635,731596.0,470921,574706.0,1036843,810650,93.6,90.8,93.5,95.0,95.0,91.7,94.1,7.2,8.9,7.2,4.9,4.1,8.3,8.7,0.0,0.1,0.0,-0.4,-1.2,0.0,0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,268.0,263.0,5.0,62.0,205.0
