_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-01,135711,238872,132310.0,83658,181023.0,145622,109171,73.1,73.4,72.6,76.5,75.0,73.6,72.0,3.4,3.0,3.4,1.9,3.8,3.9,3.5,-1.3,-1.2,-1.4,-1.7,-0.7,-1.3,-1.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,176.0,160.0,16.0,44.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-02,134529,236952,131071.0,82582,181257.0,144274,108319,72.4,72.8,72.0,75.5,75.1,72.9,71.4,2.9,2.6,3.0,0.8,2.2,3.2,3.1,-0.9,-0.8,-0.9,-1.3,0.1,-0.9,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,232.0,208.0,24.0,69.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-03,133840,236123,130226.0,81793,183067.0,143673,107677,72.1,72.6,71.5,74.8,75.9,72.6,71.0,3.3,3.0,3.4,1.3,3.5,3.5,3.6,-0.5,-0.3,-0.6,-1.0,1.0,-0.4,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,198.0,162.0,36.0,42.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-04,135081,238611,131379.0,82005,185390.0,144938,108753,72.7,73.3,72.1,75.0,76.8,73.2,71.7,4.3,4.5,4.3,1.7,4.3,4.4,4.4,0.9,1.1,0.9,0.3,1.3,0.9,1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,87.0,82.0,5.0,24.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-05,136158,240546,132222.0,82697,189166.0,146337,109429,73.3,73.9,72.6,75.6,78.4,73.9,72.2,4.0,4.4,3.7,1.8,6.6,4.3,3.8,0.8,0.8,0.6,0.8,2.0,1.0,0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,155.0,154.0,1.0,33.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-06,135515,239371,131760.0,82115,186482.0,145632,108962,73.0,73.6,72.3,75.1,77.3,73.6,71.9,1.5,2.1,1.3,-1.0,4.0,1.9,1.3,-0.5,-0.5,-0.3,-0.7,-1.4,-0.5,-0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,139.0,128.0,11.0,32.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-07,137509,242389,133848.0,83809,187531.0,147778,110588,74.0,74.5,73.5,76.6,77.7,74.7,72.9,2.0,2.4,1.9,-0.2,3.3,2.4,1.7,1.5,1.3,1.6,2.1,0.6,1.5,1.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,226.0,210.0,16.0,48.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-08,138253,243918,134707.0,83695,187029.0,148529,111271,74.4,75.0,73.9,76.5,77.5,75.0,73.4,1.5,2.0,1.5,-0.9,2.3,2.0,1.2,0.5,0.6,0.6,-0.1,-0.3,0.5,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,210.0,183.0,27.0,39.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-09,140692,248805,137023.0,84693,190989.0,151099,113227,75.8,76.5,75.2,77.4,79.1,76.3,74.7,3.9,4.6,3.9,0.9,4.3,4.5,3.4,1.8,2.0,1.7,1.2,2.1,1.7,1.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,225.0,208.0,17.0,67.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-10,141898,251816,138381.0,84821,190605.0,152178,114272,76.4,77.4,76.0,77.6,79.0,76.9,75.4,3.7,4.9,3.9,0.3,3.3,4.0,3.5,0.9,1.2,1.0,0.2,-0.2,0.7,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,251.0,232.0,19.0,49.0,196.0
http://landregistry.data.gov.uk/data/ukhpi/region/rochdale/month/2020-11,143270,254568,139955.0,85788,189898.0,153229,115598,77.1,78.2,76.8,78.4,78.7,77.4,76.2,5.1,6.2,5.3,1.7,4.0,4.9,5.3,1.0,1.1,1.1,1.1,-0.4,0.7,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/rochdale,234.0,223.0,11.0,58.0,171.0
