_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-01,132234,208324,129220.0,79406,177084.0,128810,101460,75.4,75.8,75.0,80.0,78.4,75.4,74.1,2.4,2.1,2.4,0.0,2.9,2.7,2.5,-0.8,-0.8,-0.9,-1.0,0.0,-0.9,-0.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,232.0,219.0,13.0,65.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-02,134161,211182,131076.0,80424,181469.0,130600,103198,76.5,76.8,76.1,81.0,80.3,76.5,75.4,4.0,3.5,4.1,1.3,3.2,4.3,4.3,1.5,1.4,1.4,1.3,2.5,1.4,1.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,265.0,244.0,21.0,53.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-03,134680,211995,131474.0,80681,185275.0,131087,103643,76.8,77.1,76.3,81.3,82.0,76.8,75.7,6.1,5.5,6.1,4.0,6.0,6.3,6.6,0.4,0.4,0.3,0.3,2.1,0.4,0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,266.0,227.0,39.0,54.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-04,132858,209388,129673.0,79084,183147.0,129239,102356,75.8,76.2,75.3,79.7,81.1,75.7,74.8,3.0,2.7,3.0,0.5,2.8,3.1,3.4,-1.4,-1.2,-1.4,-2.0,-1.1,-1.4,-1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,117.0,107.0,10.0,31.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-05,131320,206948,128015.0,78320,183561.0,127837,100997,74.9,75.3,74.3,78.9,81.2,74.9,73.8,0.6,0.7,0.5,-1.2,3.1,0.8,0.7,-1.2,-1.2,-1.3,-1.0,0.2,-1.1,-1.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,175.0,168.0,7.0,44.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-06,131918,207819,128732.0,78231,182267.0,128469,101523,75.2,75.6,74.7,78.8,80.7,75.2,74.2,-0.3,-0.2,-0.4,-2.8,1.9,-0.1,-0.3,0.5,0.4,0.6,-0.1,-0.7,0.5,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,211.0,197.0,14.0,57.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-07,135103,212476,131949.0,80463,184879.0,131609,103999,77.1,77.3,76.6,81.0,81.8,77.1,76.0,0.3,0.3,0.3,-1.9,1.2,0.5,0.2,2.4,2.2,2.5,2.9,1.4,2.4,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,264.0,229.0,35.0,61.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-08,134702,211896,131663.0,79711,182614.0,131214,103801,76.8,77.1,76.4,80.3,80.8,76.8,75.8,0.9,0.8,1.0,-1.7,0.9,1.2,0.8,-0.3,-0.3,-0.2,-0.9,-1.2,-0.3,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,265.0,241.0,24.0,65.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-09,134263,211694,131168.0,79225,183057.0,130658,103483,76.6,77.0,76.1,79.8,81.0,76.5,75.6,0.1,0.2,0.2,-2.7,-0.2,0.4,-0.2,-0.3,-0.1,-0.4,-0.6,0.2,-0.4,-0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,270.0,250.0,20.0,71.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/rotherham/month/2020-10,136539,216067,133500.0,79923,184440.0,132715,105269,77.9,78.6,77.5,80.5,81.6,77.7,76.9,2.6,3.2,2.8,-0.7,1.8,2.7,2.6,1.7,2.1,1.8,0.9,0.8,1.6,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/rotherham,393.0,364.0,29.0,106.0,275.0
