_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-01,283342,411205,278614.0,141031,250893.0,259229,209569,85.6,85.4,84.1,92.8,89.0,85.2,83.7,7.8,7.6,7.7,5.9,7.8,8.5,8.4,-1.4,-1.4,-1.5,-1.6,-0.7,-1.5,-1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,32.0,28.0,4.0,15.0,16.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-02,277972,403173,273468.0,137222,249253.0,254158,206591,83.9,83.8,82.5,90.3,88.5,83.5,82.5,3.6,3.5,3.9,0.5,3.0,4.2,4.7,-1.9,-2.0,-1.8,-2.7,-0.7,-2.0,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,37.0,32.0,5.0,13.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-03,276076,400887,271547.0,135197,250704.0,252289,205429,83.4,83.3,82.0,89.0,89.0,82.9,82.0,5.0,4.9,5.3,1.5,5.2,5.5,6.3,-0.7,-0.6,-0.7,-1.5,0.6,-0.7,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,58.0,53.0,5.0,29.0,28.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-04,265023,385826,260717.0,128065,240523.0,241999,197214,80.0,80.2,78.7,84.3,85.4,79.5,78.8,0.1,0.5,0.4,-4.6,-0.4,0.3,0.8,-4.0,-3.8,-4.0,-5.3,-4.1,-4.1,-4.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,20.0,19.0,1.0,13.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-05,261899,380783,256705.0,127670,240915.0,239514,194481,79.1,79.1,77.5,84.0,85.5,78.7,77.7,-0.3,0.1,-0.4,-3.8,1.6,-0.1,0.0,-1.2,-1.3,-1.5,-0.3,0.2,-1.0,-1.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,28.0,26.0,2.0,9.0,18.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-06,262573,381190,258063.0,127416,239195.0,240512,195580,79.3,79.2,77.9,83.9,84.9,79.1,78.1,-3.9,-3.7,-3.8,-7.6,-2.2,-3.5,-3.3,0.3,0.1,0.5,-0.2,-0.7,0.4,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,32.0,30.0,2.0,17.0,15.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-07,280623,406765,276384.0,137026,253615.0,257038,209265,84.7,84.5,83.4,90.2,90.0,84.5,83.6,4.2,4.2,4.5,0.6,4.9,4.7,5.0,6.9,6.7,7.1,7.5,6.0,6.9,7.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,27.0,27.0,,12.0,15.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-08,293030,425132,289205.0,142122,262743.0,268025,218979,88.5,88.3,87.3,93.5,93.3,88.1,87.5,7.5,7.4,8.0,3.7,8.1,8.1,8.7,4.4,4.5,4.6,3.7,3.6,4.3,4.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,41.0,41.0,,15.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-09,299904,436052,295695.0,145030,269881.0,273761,223821,90.6,90.6,89.3,95.5,95.8,90.0,89.4,11.2,11.5,11.7,6.8,11.4,11.8,12.0,2.3,2.6,2.2,2.0,2.7,2.1,2.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,33.0,33.0,,14.0,18.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-10,296343,432048,292966.0,141306,264061.0,270130,221340,89.5,89.8,88.4,93.0,93.7,88.8,88.4,6.4,7.0,7.1,1.1,6.0,6.5,7.2,-1.2,-0.9,-0.9,-2.6,-2.2,-1.3,-1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,61.0,61.0,,20.0,38.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-11,289904,423105,287602.0,137229,254992.0,263842,217006,87.5,87.9,86.8,90.3,90.5,86.7,86.7,2.8,3.4,3.8,-2.8,2.0,2.5,4.1,-2.2,-2.1,-1.8,-2.9,-3.4,-2.3,-2.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,60.0,58.0,2.0,24.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2020-12,279891,408611,278269.0,132033,244204.0,254390,209969,84.5,84.9,84.0,86.9,86.7,83.6,83.9,-2.6,-2.1,-1.6,-7.9,-3.3,-3.3,-1.1,-3.5,-3.4,-3.2,-3.8,-4.2,-3.6,-3.2,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,80.0,77.0,3.0,32.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-01,281864,409387,280626.0,135340,244641.0,256362,212328,85.1,85.1,84.7,89.1,86.8,84.3,84.8,-0.5,-0.4,0.7,-4.0,-2.5,-1.1,1.3,0.7,0.2,0.8,2.5,0.2,0.8,1.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,47.0,42.0,5.0,23.0,24.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-02,283696,409964,282487.0,138183,246605.0,258436,214626,85.7,85.2,85.3,91.0,87.5,85.0,85.7,2.1,1.7,3.3,0.7,-1.1,1.7,3.9,0.6,0.1,0.7,2.1,0.8,0.8,1.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,90.0,81.0,9.0,41.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-03,291709,419161,290477.0,144560,254502.0,266095,221721,88.1,87.1,87.7,95.2,90.3,87.5,88.6,5.7,4.6,7.0,6.9,1.5,5.5,7.9,2.8,2.2,2.8,4.6,3.2,3.0,3.3,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,116.0,104.0,12.0,56.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-04,290436,417546,288824.0,143429,256284.0,264706,220995,87.7,86.8,87.2,94.4,91.0,87.0,88.3,9.6,8.2,10.8,12.0,6.6,9.4,12.1,-0.4,-0.4,-0.6,-0.8,0.7,-0.5,-0.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,76.0,68.0,8.0,27.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-05,299992,431961,298307.0,147297,264864.0,273179,228119,90.6,89.7,90.0,97.0,94.0,89.8,91.1,14.5,13.4,16.2,15.4,9.9,14.1,17.3,3.3,3.5,3.3,2.7,3.3,3.2,3.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,41.0,38.0,3.0,15.0,26.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-06,301616,433599,300366.0,148220,263020.0,274578,230295,91.1,90.1,90.7,97.6,93.4,90.3,92.0,14.9,13.7,16.4,16.3,10.0,14.2,17.7,0.5,0.4,0.7,0.6,-0.7,0.5,1.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,125.0,118.0,7.0,47.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-07,299044,430539,297774.0,145260,261020.0,272748,228189,90.3,89.5,89.9,95.6,92.6,89.7,91.1,6.6,5.8,7.7,6.0,2.9,6.1,9.0,-0.9,-0.7,-0.9,-2.0,-0.8,-0.7,-0.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,37.0,36.0,1.0,11.0,26.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-08,294804,425490,293962.0,141533,254314.0,269446,224196,89.0,88.4,88.7,93.2,90.3,88.6,89.5,0.6,0.1,1.6,-0.4,-3.2,0.5,2.4,-1.4,-1.2,-1.3,-2.6,-2.6,-1.2,-1.7,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,62.0,57.0,5.0,26.0,36.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-09,293409,424645,292549.0,139482,253263.0,268560,222121,88.6,88.2,88.3,91.8,89.9,88.3,88.7,-2.2,-2.6,-1.1,-3.8,-6.2,-1.9,-0.8,-0.5,-0.2,-0.5,-1.4,-0.4,-0.3,-0.9,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,97.0,88.0,9.0,47.0,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-10,297852,432864,297673.0,140942,251957.0,272004,224123,89.9,89.9,89.9,92.8,89.4,89.4,89.5,0.5,0.2,1.6,-0.3,-4.6,0.7,1.3,1.5,1.9,1.8,1.0,-0.5,1.3,0.9,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,27.0,26.0,1.0,9.0,18.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-11,299805,435814,299415.0,142601,255130.0,273313,225353,90.5,90.5,90.4,93.9,90.6,89.8,90.0,3.4,3.0,4.1,3.9,0.1,3.6,3.8,0.7,0.7,0.6,1.2,1.3,0.5,0.5,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,45.0,44.0,1.0,17.0,28.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2021-12,295328,431084,295206.0,138895,249451.0,268806,221053,89.2,89.6,89.1,91.4,88.5,88.4,88.3,5.5,5.5,6.1,5.2,2.1,5.7,5.3,-1.5,-1.1,-1.4,-2.6,-2.2,-1.6,-1.9,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,51.0,47.0,4.0,17.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2022-01,302743,440813,302680.0,142256,255261.0,276523,227291,91.4,91.6,91.4,93.6,90.6,90.9,90.8,7.4,7.7,7.9,5.1,4.3,7.9,7.0,2.5,2.3,2.5,2.4,2.3,2.9,2.8,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,38.0,38.0,,16.0,21.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2022-02,308666,449205,308871.0,144136,261355.0,282717,232178,93.2,93.3,93.2,94.9,92.8,92.9,92.7,8.8,9.6,9.3,4.3,6.0,9.4,8.2,2.0,1.9,2.0,1.3,2.4,2.2,2.2,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,39.0,38.0,1.0,18.0,21.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2022-03,315532,459201,315607.0,146677,270007.0,289677,237301,95.3,95.4,95.3,96.5,95.8,95.2,94.8,8.2,9.6,8.7,1.5,6.1,8.9,7.0,2.2,2.2,2.2,1.8,3.3,2.5,2.2,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,70.0,65.0,5.0,32.0,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/rutland/month/2022-04,308219,448106,308282.0,143612,264822.0,282596,232521,93.1,93.1,93.1,94.5,94.0,92.9,92.9,6.1,7.3,6.7,0.1,3.3,6.8,5.2,-2.3,-2.4,-2.3,-2.1,-1.9,-2.4,-2.0,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/rutland,39.0,36.0,3.0,15.0,24.0
