_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-01,153795,300741,154481.0,115301,131873.0,185996,142484,71.3,71.2,69.9,75.3,74.8,70.0,68.6,2.5,2.7,2.5,1.1,2.4,3.4,3.0,0.5,0.6,0.3,0.5,1.1,0.4,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,284.0,236.0,48.0,65.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-02,155058,303349,155802.0,115960,133616.0,187562,144193,71.9,71.8,70.5,75.7,75.8,70.6,69.4,2.7,3.2,3.2,0.7,1.5,3.9,3.9,0.8,0.9,0.9,0.6,1.3,0.8,1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,280.0,242.0,38.0,66.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-03,155827,304440,156149.0,116877,136081.0,188187,144748,72.2,72.1,70.7,76.3,77.2,70.9,69.7,3.0,3.0,3.3,1.4,2.7,3.8,4.1,0.5,0.4,0.2,0.8,1.8,0.3,0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,264.0,217.0,47.0,54.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-04,156712,307564,157064.0,117102,136790.0,189439,145974,72.6,72.8,71.1,76.4,77.6,71.3,70.3,5.2,5.9,5.5,3.5,4.9,6.2,6.3,0.6,1.0,0.6,0.2,0.5,0.7,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,154.0,98.0,56.0,62.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-05,157299,308624,156867.0,118142,139064.0,189813,145734,72.9,73.1,71.0,77.1,78.9,71.5,70.1,5.6,6.4,5.1,4.9,7.9,6.1,5.8,0.4,0.3,-0.1,0.9,1.7,0.2,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,144.0,124.0,20.0,43.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-06,154389,303122,154479.0,115342,135359.0,186937,143588,71.5,71.8,69.9,75.3,76.8,70.4,69.1,2.6,3.6,2.3,1.4,4.7,3.4,3.1,-1.9,-1.8,-1.5,-2.4,-2.7,-1.5,-1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,187.0,168.0,19.0,40.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-07,154857,302467,155353.0,115738,134854.0,187564,144151,71.8,71.6,70.3,75.6,76.5,70.6,69.4,0.7,1.3,0.7,-0.6,1.7,1.6,1.2,0.3,-0.2,0.6,0.3,-0.4,0.3,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,253.0,210.0,43.0,45.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-08,155540,304427,156765.0,115322,133814.0,189301,145603,72.1,72.1,70.9,75.3,75.9,71.3,70.1,0.7,1.7,1.2,-1.2,0.6,2.2,1.6,0.4,0.6,0.9,-0.4,-0.8,0.9,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,260.0,213.0,47.0,66.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-09,161161,316018,162318.0,119515,138895.0,196045,150800,74.7,74.8,73.5,78.0,78.8,73.8,72.6,4.8,6.0,5.3,2.7,4.2,6.6,5.5,3.6,3.8,3.5,3.6,3.8,3.6,3.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,279.0,239.0,40.0,75.0,196.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-10,163045,321285,164766.0,120279,139316.0,198817,153060,75.6,76.1,74.6,78.5,79.0,74.9,73.7,6.7,8.4,7.6,4.3,5.3,8.3,7.8,1.2,1.7,1.5,0.6,0.3,1.4,1.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,337.0,283.0,54.0,79.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-11,164991,325385,167306.0,121413,139745.0,201134,155447,76.5,77.0,75.7,79.3,79.2,75.7,74.8,8.0,9.5,9.2,5.5,6.2,9.3,9.9,1.2,1.3,1.5,0.9,0.3,1.2,1.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,360.0,304.0,56.0,94.0,252.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2020-12,165091,325740,167773.0,121119,139039.0,201351,156114,76.5,77.1,75.9,79.1,78.8,75.8,75.1,7.9,9.0,9.0,5.6,6.6,8.7,10.1,0.1,0.1,0.3,-0.2,-0.5,0.1,0.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,351.0,298.0,53.0,123.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-01,172832,337948,175837.0,127230,145138.0,210384,163495,80.1,80.0,79.6,83.1,82.3,79.2,78.7,12.4,12.4,13.8,10.3,10.1,13.1,14.7,4.7,3.7,4.8,5.0,4.4,4.5,4.7,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,365.0,268.0,97.0,136.0,229.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-02,179980,348554,182837.0,133448,152079.0,218094,170158,83.4,82.5,82.7,87.1,86.2,82.1,81.9,16.1,14.9,17.4,15.1,13.8,16.3,18.0,4.1,3.1,4.0,4.9,4.8,3.7,4.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,486.0,337.0,149.0,174.0,310.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-03,188022,360829,190702.0,140615,160125.0,226850,177468,87.1,85.4,86.3,91.8,90.8,85.4,85.4,20.7,18.5,22.1,20.3,17.7,20.5,22.6,4.5,3.5,4.3,5.4,5.3,4.0,4.3,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,565.0,435.0,130.0,208.0,353.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-04,184793,354890,186966.0,138638,159090.0,222312,174415,85.6,84.0,84.6,90.5,90.2,83.7,84.0,17.9,15.4,19.0,18.4,16.3,17.4,19.5,-1.7,-1.6,-2.0,-1.4,-0.6,-2.0,-1.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,342.0,299.0,43.0,68.0,272.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-05,183865,353925,186076.0,137592,158112.0,221350,173667,85.2,83.8,84.2,89.8,89.7,83.3,83.6,16.9,14.7,18.6,16.5,13.7,16.6,19.2,-0.5,-0.3,-0.5,-0.8,-0.6,-0.4,-0.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,286.0,252.0,34.0,89.0,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-06,185236,355119,188018.0,137988,157250.0,222808,176140,85.8,84.1,85.1,90.1,89.2,83.9,84.8,20.0,17.2,21.7,19.6,16.2,19.2,22.7,0.7,0.3,1.0,0.3,-0.5,0.7,1.4,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,507.0,467.0,40.0,127.0,377.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-07,193412,372084,196309.0,143513,164212.0,233311,183762,89.6,88.1,88.8,93.7,93.1,87.8,88.4,24.9,23.0,26.4,24.0,21.8,24.4,27.5,4.4,4.8,4.4,4.0,4.4,4.7,4.3,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,385.0,242.0,143.0,179.0,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-08,198318,382872,201806.0,145838,166496.0,240254,188867,91.9,90.7,91.3,95.2,94.4,90.5,90.9,27.5,25.8,28.7,26.5,24.4,26.9,29.7,2.5,2.9,2.8,1.6,1.4,3.0,2.8,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,475.0,276.0,199.0,227.0,245.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-09,199697,387094,203272.0,146104,167434.0,242691,190112,92.5,91.7,92.0,95.4,94.9,91.4,91.5,23.9,22.5,25.2,22.2,20.5,23.8,26.1,0.7,1.1,0.7,0.2,0.6,1.0,0.7,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,558.0,454.0,104.0,169.0,388.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-10,199016,388271,203423.0,144392,163766.0,242634,189805,92.2,91.9,92.1,94.3,92.9,91.4,91.4,22.1,20.8,23.5,20.0,17.6,22.0,24.0,-0.3,0.3,0.1,-1.2,-2.2,0.0,-0.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,326.0,255.0,71.0,114.0,207.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-11,204041,399059,208287.0,148253,168878.0,248780,194143,94.5,94.5,94.3,96.8,95.8,93.7,93.4,23.7,22.6,24.5,22.1,20.8,23.7,24.9,2.5,2.8,2.4,2.7,3.1,2.5,2.3,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,450.0,288.0,162.0,184.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2021-12,208167,409673,212916.0,150184,170822.0,254532,198273,96.5,97.0,96.3,98.0,96.9,95.8,95.4,26.1,25.8,26.9,24.0,22.9,26.4,27.0,2.0,2.7,2.2,1.3,1.2,2.3,2.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,364.0,277.0,87.0,128.0,233.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-01,208471,408477,213343.0,149941,170659.0,255228,199167,96.6,96.7,96.5,97.9,96.8,96.1,95.9,20.6,20.9,21.3,17.9,17.6,21.3,21.8,0.1,-0.3,0.2,-0.2,-0.1,0.3,0.5,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,294.0,257.0,37.0,71.0,222.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-02,206335,402722,211184.0,148508,169242.0,252410,197356,95.6,95.4,95.6,97.0,96.0,95.0,95.0,14.6,15.5,15.5,11.3,11.3,15.7,16.0,-1.0,-1.4,-1.0,-1.0,-0.8,-1.1,-0.9,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,353.0,292.0,61.0,114.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-03,205999,402481,210432.0,148457,170684.0,252362,196367,95.5,95.3,95.2,96.9,96.8,95.0,94.5,9.6,11.5,10.3,5.6,6.6,11.2,10.6,-0.2,-0.1,-0.4,0.0,0.9,0.0,-0.5,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,366.0,315.0,51.0,94.0,272.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-04,206875,403778,211233.0,149240,171835.0,253036,197427,95.9,95.6,95.6,97.4,97.4,95.3,95.0,11.9,13.8,13.0,7.6,8.0,13.8,13.2,0.4,0.3,0.4,0.5,0.7,0.3,0.5,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,274.0,235.0,39.0,71.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-05,208247,407058,213081.0,149235,170916.0,255365,199416,96.5,96.4,96.4,97.4,96.9,96.1,96.0,13.3,15.0,14.5,8.5,8.1,15.4,14.8,0.7,0.8,0.9,0.0,-0.5,0.9,1.0,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,312.0,252.0,60.0,93.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-06,208113,405909,213181.0,148830,169715.0,255200,199883,96.4,96.1,96.5,97.2,96.2,96.1,96.2,12.4,14.3,13.4,7.9,7.9,14.5,13.5,-0.1,-0.3,0.0,-0.3,-0.7,-0.1,0.2,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,299.0,256.0,43.0,62.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-07,210200,409257,215485.0,149760,170663.0,258324,202303,97.4,96.9,97.5,97.8,96.8,97.3,97.4,8.7,10.0,9.8,4.4,3.9,10.7,10.1,1.0,0.8,1.1,0.6,0.6,1.2,1.2,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,337.0,295.0,42.0,84.0,245.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-08,210033,408728,215417.0,149200,170065.0,258207,202726,97.3,96.8,97.5,97.4,96.4,97.2,97.6,5.9,6.8,6.7,2.3,2.1,7.5,7.3,-0.1,-0.1,0.0,-0.4,-0.4,0.0,0.2,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,354.0,296.0,58.0,85.0,262.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-09,220748,430334,226692.0,156085,177463.0,271739,213631,102.3,101.9,102.6,101.9,100.6,102.3,102.8,10.5,11.2,11.5,6.8,6.0,12.0,12.4,5.1,5.3,5.2,4.6,4.3,5.2,5.4,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,457.0,377.0,80.0,169.0,284.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-10,223998,437969,230157.0,158153,179502.0,275803,216802,103.8,103.7,104.2,103.2,101.8,103.8,104.4,12.6,12.8,13.1,9.5,9.6,13.7,14.2,1.5,1.8,1.5,1.3,1.1,1.5,1.5,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,317.0,288.0,29.0,90.0,225.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-11,225418,441403,231479.0,159231,181257.0,277556,217943,104.5,104.5,104.7,104.0,102.8,104.5,104.9,10.5,10.6,11.1,7.4,7.3,11.6,12.3,0.6,0.8,0.6,0.7,1.0,0.6,0.5,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,336.0,304.0,32.0,74.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2022-12,217938,426638,223705.0,154107,175659.0,268286,210560,101.0,101.0,101.2,100.6,99.6,101.0,101.3,4.7,4.1,5.1,2.6,2.8,5.4,6.2,-3.3,-3.3,-3.4,-3.2,-3.1,-3.3,-3.4,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,360.0,296.0,64.0,82.0,267.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-01,215807,422343,220986.0,153180,176360.0,265602,207759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.5,3.4,3.6,2.2,3.3,4.1,4.3,-1.0,-1.0,-1.2,-0.6,0.4,-1.0,-1.3,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,230.0,188.0,42.0,61.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-02,215217,421282,219916.0,153630,178400.0,264429,206280,99.7,99.7,99.5,100.3,101.2,99.6,99.3,4.3,4.6,4.1,3.4,5.4,4.8,4.5,-0.3,-0.3,-0.5,0.3,1.2,-0.4,-0.7,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,266.0,232.0,34.0,66.0,187.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-03,210305,412569,214186.0,151078,178248.0,258242,200112,97.5,97.7,96.9,98.6,101.1,97.2,96.3,2.1,2.5,1.8,1.8,4.4,2.3,1.9,-2.3,-2.1,-2.6,-1.7,-0.1,-2.3,-3.0,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,305.0,260.0,45.0,82.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-04,207164,406911,210792.0,149170,177057.0,254221,196638,96.0,96.3,95.4,97.4,100.4,95.7,94.6,0.1,0.8,-0.2,0.0,3.0,0.5,-0.4,-1.5,-1.4,-1.6,-1.3,-0.7,-1.6,-1.7,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,191.0,147.0,44.0,59.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-05,206134,403948,209676.0,148779,176685.0,252886,195305,95.5,95.6,94.9,97.1,100.2,95.2,94.0,-1.0,-0.8,-1.6,-0.3,3.4,-1.0,-2.1,-0.5,-0.7,-0.5,-0.3,-0.2,-0.5,-0.7,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,233.0,172.0,61.0,72.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-06,206737,404298,210556.0,148849,175197.0,253523,196684,95.8,95.7,95.3,97.2,99.3,95.5,94.7,-0.7,-0.4,-1.2,0.0,3.2,-0.7,-1.6,0.3,0.1,0.4,0.0,-0.8,0.3,0.7,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,275.0,230.0,45.0,73.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-07,208993,407317,212902.0,150213,176743.0,256429,199334,96.8,96.4,96.3,98.1,100.2,96.5,95.9,-0.6,-0.5,-1.2,0.3,3.6,-0.7,-1.5,1.1,0.7,1.1,0.9,0.9,1.1,1.3,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,252.0,225.0,27.0,82.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-08,210306,410185,214425.0,150277,176465.0,258432,201600,97.5,97.1,97.0,98.1,100.1,97.3,97.0,0.1,0.4,-0.5,0.7,3.8,0.1,-0.6,0.6,0.7,0.7,0.0,-0.2,0.8,1.1,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,276.0,221.0,55.0,77.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-09,213222,415775,217388.0,152121,178983.0,262186,204643,98.8,98.4,98.4,99.3,101.5,98.7,98.5,-3.4,-3.4,-4.1,-2.5,0.9,-3.5,-4.2,1.4,1.4,1.4,1.2,1.4,1.5,1.5,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,235.0,217.0,18.0,67.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/salford/month/2023-10,214733,417797,218857.0,153615,180797.0,263536,206030,99.5,98.9,99.0,100.3,102.5,99.2,99.2,-4.1,-4.6,-4.9,-2.9,0.7,-4.4,-5.0,0.7,0.5,0.7,1.0,1.0,0.5,0.7,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/salford,248.0,236.0,12.0,75.0,159.0
