_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-01,145974,236878,145516.0,88101,159199.0,158611,132870,76.4,76.6,76.2,79.4,79.2,76.3,75.4,3.8,3.2,3.8,1.9,3.8,4.2,4.1,0.5,0.9,0.5,0.1,1.4,0.6,0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,218.0,216.0,2.0,37.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-02,146622,238761,146028.0,88188,160987.0,159210,133527,76.7,77.2,76.4,79.4,80.1,76.6,75.8,3.0,2.5,3.1,0.7,1.6,3.3,3.6,0.4,0.8,0.4,0.1,1.1,0.4,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,231.0,225.0,6.0,49.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-03,147225,240380,146439.0,88295,163460.0,159828,134082,77.0,77.8,76.6,79.5,81.3,76.9,76.1,4.2,3.8,4.3,2.3,3.3,4.4,4.8,0.4,0.7,0.3,0.1,1.5,0.4,0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,224.0,213.0,11.0,47.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-04,145158,237443,144369.0,86642,161343.0,157589,132310,75.9,76.8,75.6,78.0,80.3,75.8,75.1,3.6,3.5,3.7,1.5,2.5,3.8,4.1,-1.4,-1.2,-1.4,-1.9,-1.3,-1.4,-1.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,95.0,91.0,4.0,13.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-05,145873,239239,144905.0,87113,164357.0,158513,132645,76.3,77.4,75.8,78.5,81.8,76.3,75.3,4.1,4.6,3.9,2.3,5.6,4.4,4.0,0.5,0.8,0.4,0.5,1.9,0.6,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,125.0,121.0,4.0,28.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-06,146380,239846,145550.0,87152,163174.0,159076,133268,76.6,77.6,76.2,78.5,81.2,76.5,75.7,4.7,5.6,4.6,2.3,6.2,5.1,4.7,0.3,0.3,0.4,0.0,-0.7,0.4,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,165.0,160.0,5.0,26.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-07,148779,242711,148068.0,88863,164149.0,161602,135623,77.8,78.5,77.5,80.0,81.7,77.7,77.0,4.6,5.1,4.5,2.4,4.7,4.9,4.7,1.6,1.2,1.7,2.0,0.6,1.6,1.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,211.0,203.0,8.0,47.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-08,147963,240543,147367.0,87486,161829.0,160843,135349,77.4,77.8,77.1,78.8,80.5,77.4,76.8,4.1,4.5,4.1,1.2,3.5,4.5,4.4,-0.5,-0.9,-0.5,-1.5,-1.4,-0.5,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,197.0,194.0,3.0,41.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-09,146417,238181,145761.0,86138,160948.0,159200,134077,76.6,77.0,76.3,77.6,80.1,76.6,76.1,0.7,1.0,0.7,-2.5,-0.1,1.2,0.9,-1.0,-1.0,-1.1,-1.5,-0.5,-1.0,-0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,192.0,188.0,4.0,48.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-10,145647,237798,145109.0,85251,158690.0,158255,133533,76.2,76.9,75.9,76.8,78.9,76.1,75.8,-0.3,0.5,-0.3,-3.8,-1.5,0.0,0.1,-0.5,-0.2,-0.4,-1.0,-1.4,-0.6,-0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,262.0,258.0,4.0,57.0,199.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-11,146260,239032,145898.0,85923,157153.0,158531,134330,76.5,77.3,76.4,77.4,78.2,76.3,76.3,-0.1,0.7,-0.1,-3.4,-1.9,-0.2,0.6,0.4,0.5,0.5,0.8,-1.0,0.2,0.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,241.0,233.0,8.0,58.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2020-12,150791,246338,150519.0,88572,160786.0,163255,138733,78.9,79.7,78.8,79.8,80.0,78.5,78.8,3.9,4.9,3.9,0.6,2.4,3.5,5.0,3.1,3.1,3.2,3.1,2.3,3.0,3.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,269.0,265.0,4.0,52.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-01,153894,249885,153704.0,91227,163050.0,166506,141616,80.5,80.8,80.4,82.2,81.1,80.1,80.4,5.4,5.5,5.6,3.5,2.4,5.0,6.6,2.1,1.4,2.1,3.0,1.4,2.0,2.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,263.0,244.0,19.0,46.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-02,157262,253805,157055.0,94302,167592.0,169882,144780,82.3,82.1,82.2,84.9,83.4,81.7,82.2,7.3,6.3,7.6,6.9,4.1,6.7,8.4,2.2,1.6,2.2,3.4,2.8,2.0,2.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,289.0,279.0,10.0,64.0,224.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-03,157769,252771,157556.0,95754,169240.0,170185,145300,82.5,81.8,82.5,86.2,84.2,81.9,82.5,7.2,5.2,7.6,8.4,3.5,6.5,8.4,0.3,-0.4,0.3,1.5,1.0,0.2,0.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,382.0,356.0,26.0,47.0,334.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-04,160149,256360,159855.0,97457,174196.0,172604,147557,83.8,82.9,83.7,87.8,86.7,83.0,83.8,10.3,8.0,10.7,12.5,8.0,9.5,11.5,1.5,1.4,1.5,1.8,2.9,1.4,1.6,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,289.0,273.0,16.0,68.0,219.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-05,160187,256670,159896.0,97322,174138.0,172714,147557,83.8,83.0,83.7,87.7,86.6,83.1,83.8,9.8,7.3,10.3,11.7,6.0,9.0,11.2,0.0,0.1,0.0,-0.1,0.0,0.1,0.0,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,255.0,244.0,11.0,38.0,217.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-06,162823,260004,162618.0,98741,174268.0,175359,150489,85.2,84.1,85.1,88.9,86.7,84.4,85.4,11.2,8.4,11.7,13.3,6.8,10.2,12.9,1.6,1.3,1.7,1.5,0.1,1.5,2.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,412.0,390.0,22.0,74.0,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-07,167319,267878,167052.0,101768,180849.0,180238,154302,87.5,86.6,87.4,91.7,90.0,86.7,87.6,12.5,10.4,12.8,14.5,10.2,11.5,13.8,2.8,3.0,2.7,3.1,3.8,2.8,2.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,289.0,256.0,33.0,76.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-08,170698,274226,170492.0,103415,182502.0,184034,157297,89.3,88.7,89.2,93.1,90.8,88.5,89.3,15.4,14.0,15.7,18.2,12.8,14.4,16.2,2.0,2.4,2.1,1.6,0.9,2.1,1.9,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,319.0,304.0,15.0,55.0,263.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-09,173824,280099,173605.0,105197,186098.0,187620,159827,90.9,90.6,90.9,94.7,92.6,90.3,90.7,18.7,17.6,19.1,22.1,15.6,17.9,19.2,1.8,2.1,1.8,1.7,2.0,1.9,1.6,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,489.0,464.0,25.0,73.0,415.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-10,171599,279008,171545.0,102967,178699.0,185358,157668,89.8,90.2,89.8,92.7,88.9,89.2,89.5,17.8,17.3,18.2,20.8,12.6,17.1,18.1,-1.3,-0.4,-1.2,-2.1,-4.0,-1.2,-1.4,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,231.0,223.0,8.0,32.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-11,173182,282132,173106.0,103660,181015.0,187206,159011,90.6,91.3,90.6,93.4,90.0,90.1,90.3,18.4,18.0,18.6,20.6,15.2,18.1,18.4,0.9,1.1,0.9,0.7,1.3,1.0,0.9,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,280.0,270.0,10.0,58.0,219.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2021-12,171996,282095,171961.0,102464,178606.0,186011,157749,90.0,91.2,90.0,92.3,88.8,89.5,89.6,14.1,14.5,14.2,15.7,11.1,13.9,13.7,-0.7,0.0,-0.7,-1.2,-1.3,-0.6,-0.8,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,305.0,259.0,46.0,45.0,259.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-01,174142,283566,174116.0,103315,180541.0,188622,160002,91.1,91.7,91.1,93.1,89.8,90.7,90.8,13.2,13.5,13.3,13.3,10.7,13.3,13.0,1.2,0.5,1.3,0.8,1.1,1.4,1.4,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,264.0,252.0,12.0,48.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-02,176317,286269,176305.0,104855,183539.0,191068,162015,92.2,92.6,92.3,94.4,91.3,91.9,92.0,12.1,12.8,12.3,11.2,9.5,12.5,11.9,1.2,1.0,1.3,1.5,1.7,1.3,1.3,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,274.0,267.0,7.0,49.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-03,178979,290547,178923.0,106075,188571.0,194406,164160,93.6,94.0,93.6,95.5,93.8,93.5,93.2,13.4,14.9,13.6,10.8,11.4,14.2,13.0,1.5,1.5,1.5,1.2,2.7,1.7,1.3,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,304.0,293.0,11.0,55.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-04,179683,291671,179621.0,106419,189807.0,194927,165094,94.0,94.3,94.0,95.9,94.4,93.8,93.7,12.2,13.8,12.4,9.2,9.0,12.9,11.9,0.4,0.4,0.4,0.3,0.7,0.3,0.6,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,251.0,250.0,1.0,52.0,199.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-05,180069,291988,180029.0,106124,188415.0,195376,165674,94.2,94.4,94.2,95.6,93.7,94.0,94.1,12.4,13.8,12.6,9.0,8.2,13.1,12.3,0.2,0.1,0.2,-0.3,-0.7,0.2,0.4,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,279.0,270.0,9.0,61.0,217.0
http://landregistry.data.gov.uk/data/ukhpi/region/sandwell/month/2022-06,181804,293983,181787.0,107304,188314.0,196958,167700,95.1,95.1,95.1,96.6,93.7,94.8,95.2,11.7,13.1,11.8,8.7,8.1,12.3,11.4,1.0,0.7,1.0,1.1,-0.1,0.8,1.2,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sandwell,269.0,246.0,23.0,48.0,221.0
