_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-01,147731,270375,138505.0,108076,239930.0,147303,164048,131577,84.4,82.6,83.8,86.4,88.2,84.1,83.5,83.8,2.5,2.7,2.0,1.8,6.0,2.9,3.2,2.1,2.5,1.3,1.9,8.2,2.4,1.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,7022.0,6337.0,685.0,2183.0,4839.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-02,143944,263498,135498.0,105399,226753.0,146085,159619,128141,82.2,80.5,82.0,84.3,83.4,83.4,81.3,81.6,1.8,2.4,2.2,0.9,-0.9,2.1,2.5,-2.6,-2.5,-2.2,-2.5,-5.5,-2.7,-2.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,5939.0,5242.0,697.0,1984.0,3955.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-03,144948,264199,136221.0,106397,231177.0,146092,160538,129277,82.8,80.7,82.4,85.1,85.0,83.4,81.7,82.3,0.7,0.5,0.6,0.7,1.0,0.4,1.0,0.7,0.3,0.5,0.9,2.0,0.6,0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,6447.0,5444.0,1003.0,2112.0,4335.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-04,146059,271928,136702.0,104393,240323.0,145525,163182,131804,83.4,83.0,82.7,83.5,88.4,83.1,83.1,83.9,0.7,3.8,0.1,-2.4,4.5,1.3,1.7,0.8,2.9,0.4,-1.9,4.0,1.6,2.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,2632.0,2403.0,229.0,728.0,1904.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-05,147150,266653,137964.0,107958,238931.0,146261,163420,131905,84.0,81.4,83.5,86.3,87.9,83.5,83.2,84.0,1.0,2.0,0.5,0.5,4.6,0.9,0.8,0.7,-1.9,0.9,3.4,-0.6,0.1,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,3336.0,3202.0,134.0,978.0,2358.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-06,149474,273179,140888.0,109199,233134.0,146812,165956,133657,85.4,83.4,85.2,87.3,85.7,83.8,84.5,85.1,1.7,4.5,1.4,-0.5,3.8,2.0,2.4,1.6,2.4,2.1,1.1,-2.4,1.6,1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,4089.0,3735.0,354.0,1285.0,2804.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-07,148755,273963,139637.0,108919,239347.0,145330,164127,132096,85.0,83.7,84.5,87.1,88.0,83.0,83.6,84.1,-0.1,1.2,-0.2,-1.0,0.5,0.0,-0.2,-0.5,0.3,-0.9,-0.3,2.7,-1.1,-1.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,5300.0,4625.0,675.0,1843.0,3457.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-08,148875,267686,140127.0,109247,234689.0,145532,166178,133998,85.0,81.7,84.8,87.4,86.3,83.1,84.6,85.3,0.3,0.4,0.1,-0.7,2.0,1.4,1.1,0.1,-2.3,0.4,0.3,-1.9,1.2,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,6977.0,6109.0,868.0,2461.0,4516.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-09,154532,279197,145693.0,113075,240565.0,151755,172528,138954,88.3,85.3,88.1,90.4,88.5,86.7,87.9,88.5,3.7,4.4,3.7,1.8,3.3,5.4,4.6,3.8,4.3,4.0,3.5,2.5,3.8,3.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,10619.0,9734.0,885.0,3373.0,7246.0
http://landregistry.data.gov.uk/data/ukhpi/region/scotland/month/2020-10,156874,285098,148063.0,114323,242180.0,155273,174815,141276,89.6,87.1,89.6,91.4,89.1,88.7,89.0,89.9,5.9,6.1,6.3,5.0,2.9,5.9,7.1,1.5,2.1,1.6,1.1,0.7,1.3,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/scotland,12974.0,11766.0,1208.0,4026.0,8948.0
