_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-01,140083,260940,138489.0,85908,198166.0,161381,130851,81.6,80.1,81.7,83.6,84.0,81.6,81.1,10.3,11.4,10.3,7.8,11.5,11.1,10.8,1.5,1.8,1.4,1.2,2.6,1.4,1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,153.0,153.0,72.0,81.0,
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-02,139011,259617,137295.0,84976,198622.0,160124,129840,81.0,79.7,81.0,82.7,84.2,80.9,80.5,8.6,9.9,8.6,5.8,8.6,9.4,9.3,-0.8,-0.5,-0.9,-1.1,0.2,-0.8,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,118.0,115.0,59.0,59.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-03,139561,260055,137697.0,85614,201771.0,160554,130241,81.3,79.8,81.2,83.3,85.5,81.2,80.7,9.7,10.1,9.7,8.3,10.0,10.2,10.2,0.4,0.2,0.3,0.8,1.6,0.3,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,153.0,146.0,67.0,86.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-04,138671,258863,136813.0,84786,200757.0,159459,129707,80.8,79.4,80.7,82.5,85.1,80.6,80.4,6.2,7.0,6.1,4.6,6.5,6.4,6.5,-0.6,-0.5,-0.6,-1.0,-0.5,-0.7,-0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,62.0,62.0,28.0,34.0,
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-05,137836,256347,135946.0,84547,201447.0,158554,129005,80.3,78.7,80.2,82.2,85.4,80.1,80.0,8.0,9.0,7.8,6.6,10.8,8.2,8.0,-0.6,-1.0,-0.6,-0.3,0.3,-0.6,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,80.0,79.0,38.0,42.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-06,134513,251389,132689.0,81794,195705.0,155235,126135,78.4,77.1,78.2,79.6,83.0,78.5,78.2,3.8,5.8,3.5,0.9,7.1,4.3,3.7,-2.4,-1.9,-2.4,-3.3,-2.9,-2.1,-2.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,78.0,75.0,33.0,45.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-07,131176,245724,129431.0,79899,189332.0,151094,122542,76.4,75.4,76.3,77.7,80.3,76.4,75.9,1.2,3.2,1.0,-1.5,3.0,1.7,0.9,-2.5,-2.3,-2.5,-2.3,-3.3,-2.7,-2.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,152.0,146.0,75.0,77.0,6.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-08,131726,246206,130008.0,80059,188681.0,152215,123459,76.7,75.5,76.7,77.9,80.0,76.9,76.5,-0.9,0.7,-1.1,-3.8,0.4,0.0,-0.8,0.4,0.2,0.4,0.2,-0.3,0.7,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,152.0,145.0,79.0,73.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-09,139135,258371,137310.0,84844,199719.0,161065,130800,81.1,79.3,81.0,82.5,84.7,81.4,81.1,4.4,5.3,4.2,1.9,5.2,5.7,4.8,5.6,4.9,5.6,6.0,5.9,5.8,5.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,240.0,233.0,115.0,125.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/scottish-borders/month/2020-10,145752,269776,143896.0,88816,206793.0,169123,137474,84.9,82.8,84.9,86.4,87.7,85.5,85.2,7.9,8.6,7.8,5.5,7.9,9.1,8.6,4.8,4.4,4.8,4.7,3.5,5.0,5.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/scottish-borders,313.0,297.0,145.0,168.0,16.0
