_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-01,157261,279785,155079.0,98642,207833.0,171550,123653,77.6,78.0,77.2,81.1,80.5,77.1,75.9,-0.3,-0.6,-0.2,-1.8,-1.0,0.1,0.3,-2.1,-2.0,-2.1,-2.4,-1.3,-2.0,-2.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,322.0,304.0,18.0,96.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-02,157378,280119,155212.0,98468,210291.0,171640,124003,77.7,78.1,77.3,81.0,81.4,77.2,76.2,1.2,0.8,1.3,-0.7,-0.4,1.6,2.0,0.1,0.1,0.1,-0.2,1.2,0.1,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,308.0,294.0,14.0,98.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-03,156643,279241,154456.0,97747,211912.0,170959,123310,77.3,77.9,76.9,80.4,82.0,76.9,75.7,-1.3,-1.6,-1.2,-2.9,-1.9,-0.9,-0.5,-0.5,-0.3,-0.5,-0.7,0.8,-0.4,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,274.0,248.0,26.0,94.0,173.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-04,156480,279733,154250.0,97059,212485.0,170735,123513,77.2,78.0,76.8,79.8,82.3,76.8,75.9,-0.2,0.0,-0.1,-2.3,-1.0,0.1,0.5,-0.1,0.2,-0.1,-0.7,0.3,-0.1,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,97.0,94.0,3.0,30.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-05,155883,278692,153497.0,96761,214534.0,170171,122807,77.0,77.7,76.5,79.6,83.1,76.5,75.4,-1.4,-0.9,-1.5,-3.1,0.4,-1.2,-1.1,-0.4,-0.4,-0.5,-0.3,1.0,-0.3,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,162.0,160.0,2.0,62.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-06,157250,280124,154982.0,97372,214037.0,171944,124063,77.6,78.1,77.2,80.1,82.9,77.3,76.2,-0.2,0.2,-0.2,-2.3,1.6,0.2,0.2,0.9,0.5,1.0,0.6,-0.2,1.0,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,273.0,254.0,19.0,91.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-07,158602,281547,156455.0,98603,213420.0,173487,125047,78.3,78.5,77.9,81.1,82.6,78.0,76.8,-0.7,-0.6,-0.6,-2.5,-0.2,-0.1,-0.5,0.9,0.5,1.0,1.3,-0.3,0.9,0.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,268.0,258.0,10.0,93.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-08,161568,287349,159521.0,99864,214960.0,176856,127519,79.8,80.1,79.5,82.1,83.2,79.5,78.3,0.4,0.5,0.6,-1.7,0.0,1.1,0.6,1.9,2.1,2.0,1.3,0.7,1.9,2.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,299.0,256.0,43.0,113.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-09,162444,290380,160348.0,99939,216772.0,177757,128143,80.2,81.0,79.9,82.2,83.9,79.9,78.7,0.1,0.6,0.3,-2.6,-0.8,0.9,0.1,0.5,1.1,0.5,0.1,0.8,0.5,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,385.0,335.0,50.0,119.0,255.0
http://landregistry.data.gov.uk/data/ukhpi/region/sefton/month/2020-10,166252,297920,164222.0,101649,219894.0,182102,131157,82.1,83.1,81.8,83.6,85.1,81.9,80.5,0.9,1.6,1.1,-2.3,-0.1,1.7,1.1,2.3,2.6,2.4,1.7,1.4,2.4,2.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sefton,463.0,437.0,26.0,148.0,304.0
