_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-01,164587,292122,163874.0,109138,160147.0,177175,144390,77.4,77.9,76.9,79.8,80.1,77.3,76.1,3.3,3.1,3.4,0.8,2.4,4.0,3.8,-0.4,-0.3,-0.4,-0.6,0.4,-0.4,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,544.0,519.0,25.0,133.0,400.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-02,165926,294371,165185.0,109922,162813.0,178568,145720,78.0,78.5,77.5,80.4,81.4,77.9,76.8,3.4,3.1,3.6,0.4,1.4,4.0,4.2,0.8,0.8,0.8,0.7,1.7,0.8,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,540.0,496.0,44.0,135.0,394.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-03,164592,291900,163690.0,109294,164095.0,177073,144476,77.4,77.9,76.8,79.9,82.1,77.3,76.1,4.2,3.8,4.3,2.0,3.4,4.6,4.9,-0.8,-0.8,-0.9,-0.6,0.8,-0.8,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,479.0,445.0,34.0,129.0,328.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-04,161135,286691,160204.0,106401,161048.0,173369,141590,75.7,76.5,75.2,77.8,80.5,75.6,74.6,1.1,1.4,1.3,-1.5,0.3,1.6,1.8,-2.1,-1.8,-2.1,-2.6,-1.9,-2.1,-2.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,215.0,200.0,15.0,59.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-05,158993,283220,157782.0,105236,161339.0,171133,139386,74.7,75.6,74.0,77.0,80.7,74.7,73.5,0.1,0.7,-0.1,-1.8,2.1,0.5,0.1,-1.3,-1.2,-1.5,-1.1,0.2,-1.3,-1.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,282.0,278.0,4.0,71.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-06,158745,282423,157754.0,104576,159309.0,171022,139443,74.6,75.4,74.0,76.5,79.7,74.6,73.5,-0.9,-0.2,-1.0,-3.4,0.9,-0.3,-0.6,-0.2,-0.3,0.0,-0.6,-1.3,-0.1,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,424.0,409.0,15.0,108.0,313.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-07,162574,288001,161760.0,107489,161467.0,175055,142951,76.4,76.8,75.9,78.6,80.8,76.4,75.3,1.4,1.8,1.5,-1.0,1.8,2.0,1.7,2.4,2.0,2.5,2.8,1.4,2.4,2.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,494.0,474.0,20.0,117.0,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-08,165247,292697,164660.0,108518,162110.0,178043,145704,77.7,78.1,77.3,79.4,81.1,77.7,76.8,3.1,3.5,3.3,-0.1,2.2,3.9,3.6,1.6,1.6,1.8,1.0,0.4,1.7,1.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,467.0,437.0,30.0,123.0,333.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-09,168401,299303,167727.0,110450,165816.0,181311,148442,79.2,79.9,78.7,80.8,82.9,79.1,78.2,3.9,4.6,4.1,0.4,2.5,4.7,4.2,1.9,2.3,1.9,1.8,2.3,1.8,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,492.0,475.0,17.0,127.0,355.0
http://landregistry.data.gov.uk/data/ukhpi/region/sheffield/month/2020-10,169594,302502,169101.0,110701,165487.0,182568,149605,79.7,80.7,79.3,81.0,82.8,79.7,78.8,3.8,4.9,4.1,0.5,2.3,4.4,4.3,0.7,1.1,0.8,0.2,-0.2,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/sheffield,727.0,604.0,123.0,269.0,433.0
