_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-01,134279,182945,132952.0,69347,232876.0,126950,88528,66.9,66.1,66.8,68.2,69.0,67.4,67.2,2.4,2.7,2.4,-0.6,2.5,3.0,2.3,3.8,4.1,3.8,3.4,5.7,3.7,3.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,23.0,23.0,8.0,15.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-02,137565,187422,136200.0,70923,243992.0,130132,90714,68.5,67.7,68.4,69.8,72.3,69.1,68.8,-7.3,-7.0,-7.3,-10.2,-7.3,-6.9,-7.2,2.4,2.4,2.4,2.3,4.8,2.5,2.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,19.0,19.0,7.0,12.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-03,157165,213803,155610.0,81834,282090.0,148714,103528,78.3,77.2,78.2,80.5,83.5,79.0,78.6,3.8,3.9,3.8,2.8,4.2,4.1,3.9,14.2,14.1,14.3,15.4,15.6,14.3,14.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,19.0,19.0,9.0,10.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-04,153776,209261,152244.0,79784,276755.0,145486,101563,76.6,75.6,76.5,78.5,82.0,77.3,77.1,-0.6,-0.4,-0.6,-1.9,-0.4,-0.7,-0.5,-2.2,-2.1,-2.2,-2.5,-1.9,-2.2,-1.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,10.0,10.0,1.0,9.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-05,137956,187401,136561.0,72053,249802.0,130624,91261,68.7,67.7,68.6,70.9,74.0,69.4,69.3,-3.0,-2.7,-3.0,-3.7,-1.5,-3.3,-3.4,-10.3,-10.4,-10.3,-9.7,-9.7,-10.2,-10.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,7.0,7.0,2.0,5.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-06,111585,151704,110460.0,57788,201832.0,105754,73884,55.6,54.8,55.5,56.9,59.8,56.2,56.1,-23.9,-23.3,-23.9,-25.7,-22.1,-24.4,-24.5,-19.1,-19.0,-19.1,-19.8,-19.2,-19.0,-19.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,13.0,13.0,10.0,3.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-07,118149,160832,116996.0,61652,210866.0,111636,77664,58.9,58.1,58.8,60.7,62.4,59.3,58.9,-27.8,-27.2,-27.7,-28.9,-27.4,-28.2,-28.7,5.9,6.0,5.9,6.7,4.5,5.6,5.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,20.0,20.0,8.0,12.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-08,139547,189512,138213.0,73013,247061.0,132274,91933,69.5,68.4,69.4,71.8,73.2,70.3,69.8,-16.1,-15.8,-16.0,-16.9,-15.7,-16.0,-16.8,18.1,17.8,18.1,18.4,17.2,18.5,18.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,21.0,21.0,7.0,14.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-09,169383,229865,167748.0,88334,300956.0,160840,111875,84.4,83.0,84.2,86.9,89.1,85.4,84.9,6.7,6.7,6.7,5.5,6.8,7.2,5.9,21.4,21.3,21.4,21.0,21.8,21.6,21.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,21.0,21.0,9.0,12.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-10,168818,229060,167227.0,87635,297220.0,160463,111858,84.1,82.7,84.0,86.2,88.0,85.2,84.9,16.7,17.0,16.7,14.7,16.9,17.0,16.0,-0.3,-0.4,-0.3,-0.8,-1.2,-0.2,0.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,32.0,32.0,15.0,17.0,
http://landregistry.data.gov.uk/data/ukhpi/region/shetland-islands/month/2020-11,150920,205639,149547.0,77953,262289.0,142666,99602,75.2,74.3,75.1,76.7,77.7,75.8,75.6,3.1,3.6,3.2,1.4,3.3,2.8,2.5,-10.6,-10.2,-10.6,-11.0,-11.8,-11.1,-11.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/shetland-islands,36.0,36.0,12.0,24.0,
