_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-01,212074,320143,208954.0,114506,246466.0,195759,155819,78.8,78.7,78.1,82.8,81.2,78.7,78.0,2.0,1.7,2.0,0.3,1.9,2.5,2.5,-0.2,-0.1,-0.4,-0.6,0.6,-0.3,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,316.0,295.0,21.0,121.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-02,212856,321581,209541.0,114460,249354.0,196301,156579,79.1,79.1,78.3,82.8,82.1,78.9,78.4,0.8,0.5,1.1,-1.2,-0.2,1.3,1.6,0.4,0.4,0.3,0.0,1.2,0.3,0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,346.0,300.0,46.0,139.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-03,213773,323491,210031.0,114520,253678.0,197054,157029,79.5,79.5,78.5,82.8,83.5,79.2,78.6,1.7,1.5,1.8,-0.3,1.5,2.1,2.4,0.4,0.6,0.2,0.1,1.7,0.4,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,324.0,272.0,52.0,148.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-04,208597,316040,204835.0,111005,248208.0,192135,153429,77.5,77.7,76.6,80.3,81.7,77.3,76.8,-0.5,-0.5,-0.4,-2.9,-0.7,-0.3,0.0,-2.4,-2.3,-2.5,-3.1,-2.2,-2.5,-2.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,149.0,126.0,23.0,55.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-05,208223,315231,203873.0,111023,251245.0,192033,152987,77.4,77.5,76.2,80.3,82.7,77.2,76.6,-0.5,-0.3,-0.9,-2.6,1.8,-0.3,-0.5,-0.2,-0.3,-0.5,0.0,1.2,-0.1,-0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,179.0,156.0,23.0,65.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-06,208383,314868,204443.0,110972,249068.0,192472,153451,77.5,77.4,76.4,80.2,82.0,77.4,76.9,-0.8,-0.7,-1.1,-3.2,1.5,-0.4,-0.7,0.1,-0.1,0.3,0.0,-0.9,0.2,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,323.0,288.0,35.0,131.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-07,212939,321492,209339.0,113891,251986.0,196742,156726,79.1,79.0,78.3,82.4,83.0,79.1,78.5,1.7,1.8,1.6,-0.5,2.6,2.1,1.6,2.2,2.1,2.4,2.6,1.2,2.2,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,396.0,336.0,60.0,158.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-08,214592,324500,211372.0,113868,251532.0,198200,158003,79.8,79.8,79.0,82.3,82.8,79.7,79.1,2.7,2.8,2.8,0.0,3.0,3.2,2.8,0.8,0.9,1.0,0.0,-0.2,0.7,0.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,340.0,302.0,38.0,125.0,212.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-09,220267,334198,216755.0,116168,259359.0,203112,161827,81.9,82.2,81.0,84.0,85.4,81.7,81.0,4.3,4.7,4.4,1.1,4.3,4.8,4.0,2.6,3.0,2.5,2.0,3.1,2.5,2.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,379.0,338.0,41.0,145.0,224.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-10,223701,340174,220525.0,117151,261163.0,206044,164313,83.1,83.6,82.4,84.7,86.0,82.9,82.3,3.8,4.5,4.0,0.0,3.4,4.0,3.6,1.6,1.8,1.7,0.8,0.7,1.4,1.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,540.0,481.0,59.0,207.0,318.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-11,225959,343756,223306.0,118419,260642.0,207784,166186,84.0,84.5,83.5,85.6,85.8,83.6,83.2,5.0,5.8,5.3,1.2,4.0,4.7,5.1,1.0,1.1,1.3,1.1,-0.2,0.8,1.1,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,499.0,451.0,48.0,190.0,295.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2020-12,226910,345167,224623.0,118881,259607.0,208458,167191,84.3,84.9,84.0,86.0,85.5,83.8,83.7,6.8,7.7,7.1,3.2,6.0,6.2,7.1,0.4,0.4,0.6,0.4,-0.4,0.3,0.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,605.0,554.0,51.0,275.0,308.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-01,227764,344721,225848.0,120807,258476.0,209529,168456,84.7,84.8,84.4,87.4,85.1,84.3,84.4,7.4,7.7,8.1,5.5,4.9,7.0,8.1,0.4,-0.1,0.5,1.6,-0.4,0.5,0.8,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,483.0,442.0,41.0,195.0,285.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-02,230265,346867,228402.0,123533,261143.0,212083,170939,85.6,85.3,85.4,89.3,86.0,85.3,85.6,8.2,7.9,9.0,7.9,4.7,8.0,9.2,1.1,0.6,1.1,2.3,1.0,1.2,1.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,605.0,539.0,66.0,256.0,347.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-03,232114,347823,230254.0,126298,263603.0,214018,172995,86.3,85.5,86.1,91.3,86.8,86.1,86.6,8.6,7.5,9.6,10.3,3.9,8.6,10.2,0.8,0.3,0.8,2.2,0.9,0.9,1.2,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,825.0,735.0,90.0,328.0,494.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-04,230944,346160,228691.0,125647,265420.0,212751,172254,85.8,85.1,85.5,90.9,87.4,85.6,86.3,10.7,9.5,11.6,13.2,6.9,10.7,12.3,-0.5,-0.5,-0.7,-0.5,0.7,-0.6,-0.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,471.0,417.0,54.0,196.0,275.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-05,229106,343549,226794.0,124392,263908.0,210981,170938,85.2,84.5,84.8,89.9,86.9,84.8,85.6,10.0,9.0,11.2,12.0,5.0,9.9,11.7,-0.8,-0.8,-0.8,-1.0,-0.6,-0.8,-0.8,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,416.0,356.0,60.0,164.0,251.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-06,234671,351276,232804.0,127373,266483.0,216018,175923,87.2,86.4,87.0,92.1,87.8,86.9,88.1,12.6,11.6,13.9,14.8,7.0,12.2,14.6,2.4,2.2,2.6,2.4,1.0,2.4,2.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,939.0,827.0,112.0,417.0,516.0
http://landregistry.data.gov.uk/data/ukhpi/region/shropshire/month/2021-07,236150,353140,234119.0,128143,269389.0,217816,176917,87.8,86.8,87.5,92.7,88.7,87.6,88.6,10.9,9.8,11.8,12.5,6.9,10.7,12.9,0.6,0.5,0.6,0.6,1.1,0.8,0.6,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/shropshire,350.0,316.0,34.0,124.0,226.0
