_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-01,298265,583003,298594.0,212077,227121.0,389347,301353,87.0,86.0,86.1,90.9,91.5,85.3,84.7,-2.4,-2.1,-2.4,-3.5,-2.1,-1.5,-1.3,1.0,1.2,0.9,0.9,1.9,1.0,1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,85.0,84.0,1.0,9.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-02,300385,587288,300658.0,213105,229851.0,392346,304159,87.6,86.6,86.7,91.3,92.6,86.0,85.5,-0.3,0.3,0.0,-1.9,-1.5,0.9,1.2,0.7,0.7,0.7,0.5,1.2,0.8,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,92.0,82.0,10.0,12.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-03,298437,584423,298422.0,211505,229962.0,390060,302451,87.1,86.2,86.1,90.6,92.7,85.5,85.1,0.2,0.9,0.5,-1.3,-0.9,1.4,1.6,-0.6,-0.5,-0.7,-0.8,0.0,-0.6,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,70.0,67.0,3.0,8.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-04,294963,579134,294870.0,208448,227562.0,385429,299883,86.1,85.4,85.0,89.3,91.7,84.4,84.3,-1.5,-0.1,-1.1,-3.3,-2.9,-0.3,0.1,-1.2,-0.9,-1.2,-1.4,-1.0,-1.2,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,40.0,37.0,3.0,4.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-05,289682,567699,288564.0,205457,227039.0,378077,293570,84.5,83.7,83.2,88.0,91.5,82.8,82.6,-3.6,-2.5,-3.8,-4.7,-2.5,-2.8,-2.8,-1.8,-2.0,-2.1,-1.4,-0.2,-1.9,-2.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,41.0,40.0,1.0,5.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-06,295599,579906,295174.0,208654,229242.0,387164,300491,86.2,85.5,85.1,89.4,92.4,84.8,84.5,-2.7,-1.3,-2.8,-4.3,-2.1,-1.5,-1.6,2.0,2.2,2.3,1.6,1.0,2.4,2.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,71.0,70.0,1.0,11.0,59.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-07,303448,594374,303611.0,214263,233241.0,397611,308371,88.5,87.6,87.6,91.8,94.0,87.1,86.7,-3.4,-2.2,-3.3,-5.0,-3.8,-2.1,-2.4,2.7,2.5,2.9,2.7,1.7,2.7,2.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,62.0,60.0,2.0,7.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-08,309082,607673,310250.0,216598,234104.0,406971,315625,90.2,89.6,89.5,92.8,94.3,89.2,88.8,-1.7,0.0,-1.2,-4.1,-3.7,0.2,-0.2,1.9,2.2,2.2,1.1,0.4,2.4,2.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,68.0,65.0,3.0,10.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-09,309907,611379,310938.0,216929,235195.0,408204,316540,90.4,90.2,89.7,92.9,94.8,89.4,89.0,-2.6,-0.6,-2.1,-5.0,-4.4,-0.6,-1.3,0.3,0.6,0.2,0.2,0.5,0.3,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,98.0,92.0,6.0,8.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-10,308640,612370,310250.0,215040,232270.0,407371,316124,90.0,90.3,89.5,92.1,93.6,89.3,88.9,1.6,4.0,2.1,-1.0,-0.1,3.3,3.0,-0.4,0.2,-0.2,-0.9,-1.2,-0.2,-0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,112.0,110.0,2.0,8.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-11,307478,611016,309664.0,214010,229464.0,405412,315492,89.7,90.1,89.3,91.7,92.5,88.8,88.7,2.1,4.2,2.6,-0.2,0.8,3.5,3.8,-0.4,-0.2,-0.2,-0.5,-1.2,-0.5,-0.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,86.0,86.0,,10.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2020-12,305815,607918,308396.0,212509,226872.0,403087,314500,89.2,89.6,88.9,91.0,91.4,88.3,88.4,3.6,5.5,4.2,1.1,1.8,4.6,5.5,-0.5,-0.5,-0.4,-0.7,-1.1,-0.6,-0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,86.0,81.0,5.0,14.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-01,304033,598855,307022.0,212025,224161.0,399857,312591,88.7,88.3,88.5,90.8,90.3,87.6,87.9,1.9,2.7,2.8,0.0,-1.3,2.7,3.7,-0.6,-1.5,-0.4,-0.2,-1.2,-0.8,-0.6,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,130.0,98.0,32.0,35.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-02,308081,599929,311067.0,216482,229099.0,403074,316192,89.9,88.5,89.7,92.7,92.3,88.3,88.9,2.6,2.2,3.5,1.6,-0.3,2.7,4.0,1.3,0.2,1.3,2.1,2.2,0.8,1.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,147.0,131.0,16.0,20.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-03,311278,598564,314357.0,220376,233502.0,405190,318992,90.8,88.3,90.7,94.4,94.1,88.8,89.7,4.3,2.4,5.3,4.2,1.5,3.9,5.5,1.0,-0.2,1.1,1.8,1.9,0.5,0.9,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,166.0,152.0,14.0,19.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-04,312598,600727,315461.0,221956,238142.0,405942,320033,91.2,88.6,91.0,95.1,96.0,88.9,90.0,6.0,3.7,7.0,6.5,4.6,5.3,6.7,0.4,0.4,0.4,0.7,2.0,0.2,0.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,144.0,134.0,10.0,21.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-05,314590,606161,317491.0,222918,239351.0,408965,322280,91.8,89.4,91.6,95.5,96.5,89.6,90.6,8.6,6.8,10.0,8.5,5.4,8.2,9.8,0.6,0.9,0.6,0.4,0.5,0.7,0.7,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,99.0,88.0,11.0,11.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-06,316941,610369,320076.0,224198,237767.0,411087,325735,92.5,90.0,92.3,96.0,95.8,90.1,91.6,7.2,5.3,8.4,7.4,3.7,6.2,8.4,0.7,0.7,0.8,0.6,-0.7,0.5,1.1,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,280.0,277.0,3.0,33.0,246.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-07,317309,611375,320332.0,224371,239979.0,412774,325565,92.6,90.2,92.4,96.1,96.7,90.4,91.6,4.6,2.9,5.5,4.7,2.9,3.8,5.6,0.1,0.2,0.1,0.1,0.9,0.4,-0.1,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,63.0,56.0,7.0,10.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-08,316583,612929,319771.0,222718,236713.0,413679,325080,92.4,90.4,92.2,95.4,95.4,90.6,91.4,2.4,0.9,3.1,2.8,1.1,1.6,3.0,-0.2,0.3,-0.2,-0.7,-1.4,0.2,-0.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,83.0,75.0,8.0,18.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-09,317326,616815,320500.0,222544,237616.0,416513,325528,92.6,91.0,92.4,95.3,95.8,91.3,91.5,2.4,0.9,3.1,2.6,1.0,2.0,2.8,0.2,0.6,0.2,-0.1,0.4,0.7,0.1,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,186.0,183.0,3.0,18.0,167.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-10,322669,634592,326337.0,224672,234557.0,425200,331562,94.1,93.6,94.1,96.3,94.5,93.2,93.2,4.5,3.6,5.2,4.5,1.0,4.4,4.9,1.7,2.9,1.8,1.0,-1.3,2.1,1.9,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,92.0,84.0,8.0,13.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-11,327685,645714,331383.0,227880,238631.0,432287,336729,95.6,95.2,95.6,97.6,96.2,94.7,94.7,6.6,5.7,7.0,6.5,4.0,6.6,6.7,1.6,1.8,1.5,1.4,1.7,1.7,1.6,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,94.0,90.0,4.0,7.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/slough/month/2021-12,325862,646947,329678.0,225605,235186.0,431304,334978,95.1,95.4,95.1,96.7,94.8,94.5,94.2,6.6,6.4,6.9,6.2,3.7,7.0,6.5,-0.6,0.2,-0.5,-1.0,-1.4,-0.2,-0.5,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/slough,116.0,110.0,6.0,16.0,98.0
